Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health and Social Care,Department of Health and Social Care,16/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AB SCIENTIFIC LTD,6878," 82,560.00 ",,EC1V 2NX,SME,,,
Department of Health and Social Care,Department of Health and Social Care,23/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AB SCIENTIFIC LTD,6923," 103,200.00 ",,EC1V 2NX,SME,,,
Department of Health and Social Care,Department of Health and Social Care,20/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABINGDON HEALTH LTD,59," 31,680.00 ",,YO41 1LZ,SME,,,
Department of Health and Social Care,Department of Health and Social Care,01/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABINGDON HEALTH LTD,57," 62,400.00 ",,YO41 1LZ,SME,,,
Department of Health and Social Care,Department of Health and Social Care,03/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABLE SERVICES SUPPLIES LTD,INV-01060," 677,400.00 ",PPE - Masks,W12 7SB,SME,,,
Department of Health and Social Care,Department of Health and Social Care,20/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABLE SERVICES SUPPLIES LTD,INV-01069," 677,400.00 ",PPE - Masks,W12 7SB,SME,,,
Department of Health and Social Care,Department of Health and Social Care,02/07/2020,Consultancy/Professional Advice,GLOBAL AND PUBLIC HEALTH,ACCENTURE UK LTD,3003474661," 395,630.41 ",,EC3M 3BD,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,14/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ACF TECHNOLOGIES UK LTD,40440," 27,600.00 ",,GU21 6LE,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,15/07/2020,Revenue Grants to non-profit institutions,GLOBAL AND PUBLIC HEALTH,ACTION ON SMOKING AND HEALTH,ERS-637852-191861," 65,000.00 ",,EC1N 8JY,VCS,,,
Department of Health and Social Care,Department of Health and Social Care,27/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AIR CHARTER SERVICE LTD,644733674," 200,482.90 ",,RH10 1UH,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,06/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AIR CHARTER SERVICE LTD,640633831," 1,448,148.74 ",,RH10 1UH,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,21/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AIR CHARTER SERVICE LTD,643605144," 1,948,103.16 ",,RH10 1UH,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,27/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AIR CHARTER SERVICE LTD,644745222," 2,886,188.36 ",,RH10 1UH,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,17/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AIR CHARTER SERVICE LTD,642712366," 3,347,996.48 ",,RH10 1UH,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,16/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AIR CHARTER SERVICE LTD,642746335," 3,879,510.36 ",,RH10 1UH,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,14/07/2020,Radio communications,FINANCE AND GROUP OPERATIONS,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-748," 3,598,195.10 ",,SL1 2EJ,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,07/07/2020,Radio communications,FINANCE AND GROUP OPERATIONS,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-749," 241,018.18 ",,SL1 2EJ,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,07/07/2020,Radio communications,FINANCE AND GROUP OPERATIONS,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-752," 70,000.00 ",,SL1 2EJ,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,16/07/2020,Radio communications,FINANCE AND GROUP OPERATIONS,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-750," 23,820.00 ",,SL1 2EJ,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,16/07/2020,Radio communications,FINANCE AND GROUP OPERATIONS,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-750," 3,628.00 ",,SL1 2EJ,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,01/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AIYA TECHNOLOGY HK LTD,639825854," 578,160.00 ",,RH10 1UH,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,08/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AIYA TECHNOLOGY HK LTD,641079320," 770,880.00 ",,RH10 1UH,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,09/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AIYA TECHNOLOGY HK LTD,641484417," 1,541,760.00 ",,RH10 1UH,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,15/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AIYA TECHNOLOGY HK LTD,642636050," 1,541,760.00 ",,RH10 1UH,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,06/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AIYA TECHNOLOGY HK LTD,640868534," 2,522,880.00 ",,RH10 1UH,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,13/07/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ERS-637607-191509," 32,188.00 ",,L12 2AP,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,13/07/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ERS-637532-191508," 56,697.00 ",,L12 2AP,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,06/07/2020,Additions PDC Capital Support NHS FT Permanent,Holding CT Core,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,HAFS-30939," 96,876.00 ",,L12 2AP,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,08/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ALLIED PUBLICITY SERVICES MANCHESTER LTD TA APS GROUP,C41406," 689,630.73 ",,SK3 0ZP,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,14/07/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,ALPHA BIOMICS LTD,2020-0003," 58,610.00 ",,SW4 0PA,SME,,,
Department of Health and Social Care,Department of Health and Social Care,02/07/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,ANASYST LTD,NIHR050620," 39,061.00 ",,TS1 3BX,SME,,,
Department of Health and Social Care,Department of Health and Social Care,16/07/2020,Revenue Grants to non-profit institutions,ACUTE CARE AND WORKFORCE,ANTHONY NOLAN TRUST,ERS-637868-191881," 164,188.00 ",,NW3 2NU,VCS,,,
Department of Health and Social Care,Department of Health and Social Care,27/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ARCO LTD,938609483," 360,676.80 ",,HU1 2SJ,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,01/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ARCO LTD,938278115," 128,380.00 ",,HU1 2SJ,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,01/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ARCO LTD,938250254," 134,260.00 ",,HU1 2SJ,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,01/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ARCO LTD,938313783," 156,800.00 ",,HU1 2SJ,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,01/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ARCO LTD,938303581," 160,720.00 ",,HU1 2SJ,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,03/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ARCO LTD,938205071," 114,015.60 ",,HU1 2SJ,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,03/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ARCO LTD,938303580," 114,015.60 ",,HU1 2SJ,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,03/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ARCO LTD,938309165," 114,015.60 ",,HU1 2SJ,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,03/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ARCO LTD,938205071," 3,353.40 ",,HU1 2SJ,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,03/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ARCO LTD,938303580," 3,353.40 ",,HU1 2SJ,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,03/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ARCO LTD,938309165," 3,353.40 ",,HU1 2SJ,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,14/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ASCOT SIGNS LTD,3143," 2,290,000.00 ",,BT47 6UQ,SME,,,
Department of Health and Social Care,Department of Health and Social Care,06/07/2020,Additions PDC Capital Support NHS FT Permanent,Holding CT Core,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,HAFS-30940," 429,383.00 ",,KT16 0PZ,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,14/07/2020,Revenue Grants to non-profit institutions,FINANCE AND GROUP OPERATIONS,ASSOCIATION OF AIR AMBULANCES (CHARITY) LTD,ERS-637719-191721," 3,000,000.00 ",,EC1A 7BL,VCS,,,
Department of Health and Social Care,Department of Health and Social Care,02/07/2020,Outsourcing Contract,COMMUNITY CARE,ASSOCIATION OF DIRECTORS OF ADULT SOCIAL SERVICES,5655," 323,268.00 ",,SW8 2LL,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,13/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ASTRAZENECA UK LTD,7910045539," 6,696,357.60 ",,CB2 0AA,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,31/07/2020,Outsourcing Contract,FINANCE AND GROUP OPERATIONS,ATOS IT SOLUTIONS AND SERVICES LTD,5584340160JUNE," 1,154,782.09 ",,WS11 0JA,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,17/07/2020,Outsourcing Contract,FINANCE AND GROUP OPERATIONS,ATOS IT SOLUTIONS AND SERVICES LTD,5584340932," 48,484.80 ",,WS11 0JA,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,08/07/2020,Outsourcing Contract,FINANCE AND GROUP OPERATIONS,ATOS IT SOLUTIONS AND SERVICES LTD,5584340520," 39,835.99 ",,WS11 0JA,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,03/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AVENTIS SOLUTIONS LTD,DHSC2191-4," 2,200,000.00 ",PPE - Masks,SK9 1NJ,SME,,,
Department of Health and Social Care,Department of Health and Social Care,17/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AVENTIS SOLUTIONS LTD,DHSC2191-7," 2,200,000.00 ",PPE - Masks,SK9 1NJ,SME,,,
Department of Health and Social Care,Department of Health and Social Care,21/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AVENTIS SOLUTIONS LTD,DHSC2191-8," 2,200,000.00 ",PPE - Masks,SK9 1NJ,SME,,,
Department of Health and Social Care,Department of Health and Social Care,09/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AVENTIS SOLUTIONS LTD,DHSC2191-5," 3,300,000.00 ",PPE - Masks,SK9 1NJ,SME,,,
Department of Health and Social Care,Department of Health and Social Care,13/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AVENTIS SOLUTIONS LTD,DHSC2191-6," 3,300,000.00 ",PPE - Masks,SK9 1NJ,SME,,,
Department of Health and Social Care,Department of Health and Social Care,23/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AYANDA CAPITAL LTD,INV-00015DHSC," 8,008,331.99 ",PPE - Masks,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,20/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AYANDA CAPITAL LTD,INV-014DHSC," 24,025,000.00 ",PPE - Masks,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,23/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AYANDA CAPITAL LTD,INV-00015DHSC," 14,970,001.34 ",PPE - Masks,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,27/07/2020,Storage costs,COMMUNITY CARE,B BRAUN MEDICAL LTD,62719863," 23,042.35 ",,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,27/07/2020,Storage costs,COMMUNITY CARE,B BRAUN MEDICAL LTD,44020," 46,283.60 ",,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,28/07/2020,Storage costs,COMMUNITY CARE,B BRAUN MEDICAL LTD,62719862," 46,283.60 ",,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,30/07/2020,Agency staff (temp admin),GLOBAL AND PUBLIC HEALTH,BAE SYSTEMS APPLIED INTELLIGENCE,1001036868," 442,190.17 ",,GU2 7YP,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,21/07/2020,Printing,COMMUNITY CARE,BANNER GROUP LTD TA BANNER,5694105," 31,824.00 ",,NR3 1PD,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,21/07/2020,Printing,COMMUNITY CARE,BANNER GROUP LTD TA BANNER,5694104," 77,688.00 ",,NR3 1PD,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,01/07/2020,Printing,COMMUNITY CARE,BANNER GROUP LTD TA BANNER,5622769," 109,512.00 ",,NR3 1PD,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,24/07/2020,Revenue Grants to local authorities,COMMUNITY CARE,BARKING AND DAGENHAM LONDON BOROUGH COUNCIL,ERS-638355-192161," 501,436.50 ",,RM10 7BY,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,24/07/2020,Revenue Grants to local authorities,COMMUNITY CARE,BARKING AND DAGENHAM LONDON BOROUGH COUNCIL,ERS-638355-192161," 138,849.00 ",,RM10 7BY,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,06/07/2020,Additions PDC Capital Support NHS T Permanent,Holding CT Core,BARKING HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST,HAFS-30941," 209,664.00 ",,WF3 1WE,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,24/07/2020,Revenue Grants to local authorities,COMMUNITY CARE,BARNET LONDON BOROUGH COUNCIL,ERS-638356-192162," 1,782,257.00 ",,NW4 4BG,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,24/07/2020,Revenue Grants to local authorities,COMMUNITY CARE,BARNET LONDON BOROUGH COUNCIL,ERS-638356-192162," 219,384.00 ",,NW4 4BG,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,06/07/2020,Additions PDC Capital Support NHS T Permanent,Holding CT Core,"BARNET, ENFIELD & HARINGEY MENTAL HEALTH NHS TRUST",HAFS-30942," 87,207.00 ",,N15 3TH,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,06/07/2020,Additions PDC Capital Support NHS FT Permanent,Holding CT Core,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,HAFS-30943," 304,830.00 ",,S75 2PY,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,24/07/2020,Revenue Grants to local authorities,COMMUNITY CARE,BARNSLEY METROPOLITAN BOROUGH COUNCIL,ERS-638357-192163," 1,501,129.00 ",,S70 2TJ,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,24/07/2020,Revenue Grants to local authorities,COMMUNITY CARE,BARNSLEY METROPOLITAN BOROUGH COUNCIL,ERS-638357-192163," 263,762.00 ",,S70 2TJ,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,13/07/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,BARTS HEALTH NHS TRUST,ERS-637632-191633," 121,624.00 ",,E1 8PR,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,02/07/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,BARTS HEALTH NHS TRUST,ERS-636686-191160," 170,470.00 ",,E1 8PR,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,13/07/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,BARTS HEALTH NHS TRUST,ERS-637558-191632," 82,601.00 ",,E1 8PR,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,06/07/2020,Additions PDC Capital Support NHS T Permanent,Holding CT Core,BARTS HEALTH NHS TRUST,HAFS-30944," 139,185.00 ",,E1 8PR,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,24/07/2020,Revenue Grants to local authorities,COMMUNITY CARE,BATH AND NORTH EAST SOMERSET COUNCIL,ERS-638358-192164," 1,094,598.50 ",,BA1 5AW,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,24/07/2020,Revenue Grants to local authorities,COMMUNITY CARE,BATH AND NORTH EAST SOMERSET COUNCIL,ERS-638358-192164," 131,646.00 ",,BA1 5AW,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,01/07/2020,Outsourcing Contract,FINANCE AND GROUP OPERATIONS,BDO LLP,1992649," 25,000.00 ",,W1U 7EU,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,29/07/2020,Outsourcing Contract,FINANCE AND GROUP OPERATIONS,BDO LLP,2026704," 30,000.00 ",,W1U 7EU,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,15/07/2020,Revenue Grants to non-profit institutions,COMMUNITY CARE,BEAT,ERS-637747-191741," 45,000.00 ",,NR1 1SZ,VCS,,,
Department of Health and Social Care,Department of Health and Social Care,24/07/2020,Revenue Grants to local authorities,COMMUNITY CARE,BEDFORD BOROUGH COUNCIL,ERS-638359-192165," 1,108,556.50 ",,MK40 1SH,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,24/07/2020,Revenue Grants to local authorities,COMMUNITY CARE,BEDFORD BOROUGH COUNCIL,ERS-638359-192165," 159,418.00 ",,MK40 1SH,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,16/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,BEIJING YUANLONG YATO CULTURE DISSEMINATION CO LTD,642843548," 602,918.89 ",,RH10 1UH,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,24/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,BEIJING YUANLONG YATO CULTURE DISSEMINATION CO LTD,644542287," 1,185,138.74 ",,RH10 1UH,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,09/07/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,BELFAST QUEENS UNIVERSITY OF,80016156," 33,371.20 ",,BT7 1NN,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,20/07/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,BELLAGIO GLOBAL LTD,2020-007-002," 182,000.00 ",PPE - Gloves,M1 3BE,LARGE,,,
