Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,
Department of Health and Social Care,Department of Health and Social Care,03/06/2021,Consultancy/Professional Advice,NHSX,2020 DELIVERY LTD TA THE PSC,4638,"110,711.26",,SE1 9LQ,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,03/06/2021,Consultancy/Professional Advice,NHSX,2020 DELIVERY LTD TA THE PSC,4624,"73,368.00",,SE1 9LQ,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,15/06/2021,Consultancy/Professional Advice,Global Health,2T SECURITY LTD,444,"397,530.00",,HP6 6BQ,Micro,,,,
Department of Health and Social Care,Department of Health and Social Care,03/06/2021,Consultancy/Professional Advice,Global Health,2T SECURITY LTD,443,"82,530.00",,HP6 6BQ,Micro,,,,
Department of Health and Social Care,Department of Health and Social Care,02/06/2021,Outsourcing Contract,Global Health,4C ASSOCIATES LTD,SIN001521,"275,670.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,11/06/2021,Outsourcing Contract,Global Health,4C ASSOCIATES LTD,SIN001568,"447,169.20",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,11/06/2021,Outsourcing Contract,Global Health,4C ASSOCIATES LTD,SIN001569,"345,917.40",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,11/06/2021,School Fruit and Veg Scheme,Global Health,A G Axton,8647,"84,694.58",,,SME,,,,
Department of Health and Social Care,Department of Health and Social Care,08/06/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,855216711,"31,745.73",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,08/06/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,855216435,"7,816.78",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,08/06/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,855216711,"21,535.05",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,08/06/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,855216435,"4,211.22",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,08/06/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,855216320,"163,208.92",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,08/06/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,855216435,"122,573.89",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,08/06/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,855216711,"68,212.63",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,08/06/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,855216320,"35,616.30",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,08/06/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,855216435,"21,389.31",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,08/06/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,855216711,"6,806.34",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,08/06/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751592054,"1,460,131.21",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,08/06/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751592054,"48,591.46",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,08/06/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751592054,"22,489.92",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,08/06/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751592054,"14,397.26",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,08/06/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751592054,"8,946.00",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,08/06/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751592054,"8,547.12",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,08/06/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751592054,"8,318.64",,SL6 4XE,Large,,,,
