Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health and Social Care,Department of Health and Social Care,30/06/2022,Other programme expenditure,Social Care Group,BROOKES PUBLISHING CO ,FCP0000839,45612.01,Invoice Number SR22015,,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,23/06/2022,Additions-SW LIC,Social Care Group,HEADUP LTD,FCP0000812,483534.08,EBANKGO01837571 - INV 1006 IN AU DOLLARS,,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,30/06/2022,Revenue Grants to local authorities,Social Care Group,WARWICKSHIRE COUNTY COUNCIL,ICTF2 TEST 30.06.22,-187562,ICTF2 TESTING REFUND WARWICKSHIRE,CV34 4RH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,30/06/2022,Revenue Grants to local authorities,Social Care Group,WARWICKSHIRE COUNTY COUNCIL,ICTF2 IPC 30.06.22,-316973,ICTF2 IPC REFUND WARWICKSHIRE,CV34 4RH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,30/06/2022,Revenue Grants to local authorities,Social Care Group,CHESHIRE EAST UNITARY AUTHORITY,ICTF2 IPC 28.06.22,-134550.06,ICTF2 IOC REFUND CHESHIRE EAST,CW10 0HU,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,30/06/2022,Revenue Grants to local authorities,Social Care Group,CHESHIRE EAST UNITARY AUTHORITY,ICTF TEST 28.06.22,-66764.08,ICTF2 TESTING REFUND CHESHIRE EAST,CW10 0HU,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/06/2022,Revenue Grants to local authorities,Social Care Group,GLOUCESTERSHIRE COUNTY COUNCIL,ICTF2 TEST,-26399,ICTF2 TESTING REFUND GLOUCESTERSHIRE,GL1 2TG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/06/2022,Revenue Grants to local authorities,Social Care Group,BRISTOL CITY COUNCIL,WCF 27.06.22,-122736,WCF REFUND BRISTOL,BS1 5TR,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,29/06/2022,Publicity & advertising,Social Care Group,KANTAR PUBLIC UK LIMITED,262100316,56250,Vacancy & Application Tracking - Scoping Phase,SE1 2QY,Large,,,
Department of Health and Social Care,Department of Health and Social Care,24/06/2022,Revenue Grants to local authorities,Social Care Group,KENT COUNTY COUNCIL,ICF2 140622,-53243,ICF2 REFUND KENT,ME14 1XQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,23/06/2022,Revenue Grants to local authorities,Social Care Group,KENT COUNTY COUNCIL,WCF 14.06.22,-83230,WCF REFUND KENT COUNCIL,ME14 1XQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,21/06/2022,Consultancy/Professional Advice,Social Care Group,THINK AHEAD,10030,2166959,Think Ahead- Mental health social work graduate programme FY,WC2N 6DF,Micro,,,
Department of Health and Social Care,Department of Health and Social Care,17/06/2022,Publicity & advertising,Social Care Group,KANTAR PUBLIC UK LIMITED,402117838,56250,Vacancy & Application Tracking - Scoping Phase,SE1 2QY,Large,,,
Department of Health and Social Care,Department of Health and Social Care,14/06/2022,Publicity & advertising,Social Care Group,OMD GROUP LTD,E49413,49240.66,Marketing services.,N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,14/06/2022,Publicity & advertising,Social Care Group,OMD GROUP LTD,E49413,244.46,ASC campaign  - OMD January 2022 OLV,N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,13/06/2022,Revenue Grants to local authorities,Social Care Group,SUTTON LONDON BOROUGH COUNCIL,ICTF2 TEST 07.06.22,-34053.29,ICTF2 TESTING REFUND SUTTON,SM1 1EA,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,13/06/2022,Revenue Grants to local authorities,Social Care Group,SANDWELL METROPOPLITAN BOROUGH COUNCIL,ICTF2 IPC 06.06.22,-145220.43,ICTF2 IPC REFUND SANDWELL,B69 3DE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,13/06/2022,Revenue Grants to local authorities,Social Care Group,NORTH YORKSHIRE COUNTY COUNCIL,ICTF2 TEST 10.05.22,-491536.73,ICTF2 TESTING REFUND NORTH YORKSHIRE,DL6 1DF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,13/06/2022,Revenue Grants to local authorities,Social Care Group,NORTH YORKSHIRE COUNTY COUNCIL,ICTF2 IPC 10.05.22,-787073.75,ICTF2 IPC REFUND NORTH YORKSHIRE,DL6 1DF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,13/06/2022,Revenue Grants to local authorities,Social Care Group,BEDFORD BOROUGH COUNCIL,ICTF2 TEST 10.06.22,-57095.13,ICTF2 TESTING REFUND BEDFORD,MK40 1SH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,13/06/2022,Revenue Grants to local authorities,Social Care Group,BEDFORD BOROUGH COUNCIL,ICTF2 IPC 10.06.22,-54631.72,ICTF2 IPC REFUND BEDFORD,MK40 1SH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/06/2022,Revenue Grants to local authorities,Social Care Group,WALTHAM FOREST LONDON BOROUGH COUNCIL,WALTHAM FOREST REF,-31960.28,LA Grants (ICTF2 Testing refunds),E17 4JF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/06/2022,Revenue Grants to local authorities,Social Care Group,WALTHAM FOREST LONDON BOROUGH COUNCIL,WALTHAM FOREST IPC,-56251.32,LA Grants (ICTF2 IPC refunds),E17 4JF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/06/2022,Revenue Grants to local authorities,Social Care Group,STAFFORDSHIRE COUNTY COUNCIL,STAFFORDSHIRE REF,-25834,LA Grants (ICTF2 Testing refunds),ST16 2NF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/06/2022,Revenue Grants to local authorities,Social Care Group,LEEDS CITY COUNCIL,LEEDS CC - TESTING,-359894.09,LA Grants (ICTF2 Testing refunds),LS2 8JR,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/06/2022,Revenue Grants to local authorities,Social Care Group,LEEDS CITY COUNCIL,LEEDS CC - IPC REF,-480579.02,LA Grants (ICTF2 IPC refunds),LS2 8JR,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,10/06/2022,Revenue Grants to local authorities,Social Care Group,CORNWALL COUNCIL,CORNWALL ICTF1 REF,-25811.56,LA Grants (ICTF1  RTF refunds),TR1 3AY,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,30/06/2022,"SFVS - product & distribution cost, during June 2022",Public Health,GW Price,974567,31245.427,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,30/06/2022,"SFVS - product & distribution cost, during June 2022",Public Health,GW Price,974574,44122.189,SFVS - product & distribution cost,,SME,,,
