Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health and Social Care,Department of Health and Social Care,23/06/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751470559, 426.00 ,Test Kits,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,23/06/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751470565, 852.00 ,Test Kits,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,23/06/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751470558," 1,278.00 ",Test Kits,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,23/06/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751470560," 1,278.00 ",Test Kits,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,23/06/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751470556," 1,704.00 ",Test Kits,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,23/06/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751470557," 1,704.00 ",Test Kits,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,23/06/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751470555," 2,556.00 ",Test Kits,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,23/06/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751470561," 2,556.00 ",Test Kits,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,23/06/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751470562," 2,556.00 ",Test Kits,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,23/06/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751470563," 2,556.00 ",Test Kits,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,23/06/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751470566," 2,556.00 ",Test Kits,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,23/06/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751470567," 3,408.00 ",Test Kits,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,25/06/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751473628," 26,085.89 ",Test Kits,,LARGE,,,
