Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health and Social Care,Department of Health and Social Care,09/03/2020,Additions-PDC permanent,Holding CT Core,2GETHER NHS FOUNDATION TRUST,HAFS-29953," 110,000.00 ",,GL1 1LY,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,19/03/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,ABERDEEN UNIVERSITY OF,ERS-629058-186118," 44,511.60 ",,AB24 3FX,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,19/03/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,ABERDEEN UNIVERSITY OF,ERS-629046-186117," 42,996.17 ",,AB24 3FX,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,19/03/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,ABERDEEN UNIVERSITY OF,ERS-628795-186112," 45,238.00 ",,AB24 3FX,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,19/03/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,ABERDEEN UNIVERSITY OF,ERS-629102-186119," 58,697.91 ",,AB24 3FX,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,19/03/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,ABERDEEN UNIVERSITY OF,ERS-629123-186120," 100,586.60 ",,AB24 3FX,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,19/03/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,ABERDEEN UNIVERSITY OF,ERS-629016-186116," 84,471.69 ",,AB24 3FX,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,19/03/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,ABERDEEN UNIVERSITY OF,ERS-628605-185602," 124,201.37 ",,AB24 3FX,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,19/03/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,ABERDEEN UNIVERSITY OF,ERS-629258-185603," 88,424.89 ",,AB24 3FX,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,19/03/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,ABERDEEN UNIVERSITY OF,ERS-628731-186110," 199,153.29 ",,AB24 3FX,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,19/03/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,ABERDEEN UNIVERSITY OF,ERS-628577-185601," 69,014.59 ",,AB24 3FX,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,19/03/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,ABERDEEN UNIVERSITY OF,ERS-629002-186115," 138,225.93 ",,AB24 3FX,PUBLIC,,,
