Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,
Department of Health and Social Care,Department of Health and Social Care,10/05/2021,Contractor/ Staff Substitution,Global Health,2T SECURITY LTD,432,"316,192.50",,HP6 6BQ,Micro,,,,
Department of Health and Social Care,Department of Health and Social Care,10/05/2021,Contractor/ Staff Substitution,Global Health,2T SECURITY LTD,428,"25,330.80",,HP6 6BQ,Micro,,,,
Department of Health and Social Care,Department of Health and Social Care,10/05/2021,Contractor/ Staff Substitution,Global Health,2T SECURITY LTD,420,"15,998.40",,HP6 6BQ,Micro,,,,
Department of Health and Social Care,Department of Health and Social Care,10/05/2021,Contractor/ Staff Substitution,Global Health,2T SECURITY LTD,421,"3,999.60",,HP6 6BQ,Micro,,,,
Department of Health and Social Care,Department of Health and Social Care,06/05/2021,Outsourcing Contract,Global Health,4C ASSOCIATES LTD,SIN001515,"208,593.60",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,06/05/2021,Contractor/ Staff Substitution,Global Health,4C ASSOCIATES LTD,SIN001515,"95,986.80",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,06/05/2021,Contractor/ Staff Substitution,Global Health,4C ASSOCIATES LTD,SIN001515,"79,920.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,06/05/2021,Contractor/ Staff Substitution,Global Health,4C ASSOCIATES LTD,SIN001515,"48,988.80",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,06/05/2021,Contractor/ Staff Substitution,Global Health,4C ASSOCIATES LTD,SIN001515,"19,428.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,06/05/2021,Contractor/ Staff Substitution,Global Health,4C ASSOCIATES LTD,SIN001515,"19,166.40",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,06/05/2021,Contractor/ Staff Substitution,Global Health,4C ASSOCIATES LTD,SIN001515,"14,652.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,27/05/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,855216178,"131,488.88",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,27/05/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,855216176,"131,488.88",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,27/05/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,855216709,"93,750.25",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,27/05/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,855216709,"37,738.63",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,26/05/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,851021099,-71.7,,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,11/05/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751548659,"4,859,802.62",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,26/05/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751569424,"1,925,897.12",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,11/05/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751548659,"270,175.20",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,26/05/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751569424,"169,221.90",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,26/05/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751569424,"1,935.90",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,26/05/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751569424,501.9,,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,11/05/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751548659,430.2,,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,26/05/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751569424,71.7,,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,26/05/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751569424,71.7,,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,26/05/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751569424,71.7,,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,11/05/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751548659,18,,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,26/05/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,851022164,-430.2,,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,26/05/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,851021100,-71.7,,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,26/05/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,851021063,-71.7,,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,26/05/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,851022591,-501.9,,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,26/05/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,851020969,"-1,935.90",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,06/05/2021,Other programme expenditure,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92584935,"24,000.00",,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,06/05/2021,Additions-P&M,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92459964,"24,000.00",,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,06/05/2021,Additions-P&M,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92445191,"21,000.00",,SK7 5BW,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,04/05/2021,Other programme expenditure,Global Health,ABBOTT RAPID DIAGNOSTICS LTD,92584951,"18,000.00",,SK7 5BW,Medium,,,,
