Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health and Social Care,Department of Health and Social Care,28/05/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,A PLUS INTERNATIONAL EXPRESS PARCELS UK LTD,NHS20200520," 144,480.00 ",PPE - Gowns,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,01/05/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,ABINGDON HEALTH LTD,48," 2,500,000.00 ",,YO41 1LZ,SME,,,
Department of Health and Social Care,Department of Health and Social Care,05/05/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ACF TECHNOLOGIES UK LTD,40409," 48,000.00 ",,GU21 6LE,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,14/05/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ACF TECHNOLOGIES UK LTD,40419," 26,850.00 ",,GU21 6LE,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,05/05/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ACF TECHNOLOGIES UK LTD,40409," 3,222.00 ",,GU21 6LE,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,05/05/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ACF TECHNOLOGIES UK LTD,40409," 3,240.00 ",,GU21 6LE,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,05/05/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ACF TECHNOLOGIES UK LTD,40409," 1,200.00 ",,GU21 6LE,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,05/05/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ACF TECHNOLOGIES UK LTD,40409," 4,800.00 ",,GU21 6LE,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,05/05/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ACF TECHNOLOGIES UK LTD,40409," 14,400.00 ",,GU21 6LE,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,05/05/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ACF TECHNOLOGIES UK LTD,40409," 24,000.00 ",,GU21 6LE,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,04/05/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AIR CHARTER SERVICE LTD,629123127," 1,085,027.43 ",Air Freight,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,01/05/2020,Radio communications,FINANCE AND GROUP OPERATIONS,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-727," 27,448.00 ",,SL1 2EJ,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,31/05/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AIYA TECHNOLOGY HK LIMITED,633695123," 309,816.00 ",PPE - Gowns,RH10 1UH,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,16/05/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AIYA TECHNOLOGY HK LTD,631308382," 418,500.00 ",PPE - Gowns,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,27/05/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AIYA TECHNOLOGY HK LTD,633031506," 93,693.60 ",PPE - Gowns,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,06/05/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AIYA TECHNOLOGY HK LTD,629631652," 3,432,000.00 ",PPE - Gowns,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,12/05/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AIYA TECHNOLOGY HK LTD,630315279," 334,800.00 ",PPE - Gowns,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,04/05/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AIYA TECHNOLOGY HK LTD,629089472," 83,700.00 ",PPE - Gowns,,LARGE,,,
Department of Health and Social Care,Department of Health and Social Care,07/05/2020,Capital Grants to non-profit institutions,COMMUNITY CARE,ALABARE CHRISTIAN CARE AND SUPPORT,ERS-631588-187481," 99,040.00 ",,SP2 7UD,VCS,,,
Department of Health and Social Care,Department of Health and Social Care,14/05/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ERS-631916-187633," 32,188.00 ",,L12 2AP,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,14/05/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ERS-631816-187632," 56,697.00 ",,L12 2AP,PUBLIC,,,
