Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,
Department of Health and Social Care,Department of Health and Social Care,15/11/2021,Outsourcing Contract,GLOBAL AND PUBLIC HEALTH, IIDL ,FCP0000465,"28,898.60",IIMHL - INVOICE 2021-126 - 2021 IIDL MEMBERSHIP FEE - GBP TO USA,,SME,,,,
Department of Health and Social Care,Department of Health and Social Care,08/11/2021,Consultancy/Professional Advice,Global Health,4C ASSOCIATES LTD,SIN001714,"17,280.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,08/11/2021,Consultancy/Professional Advice,Global Health,4C ASSOCIATES LTD,SIN001714,"17,280.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,08/11/2021,Consultancy/Professional Advice,Global Health,4C ASSOCIATES LTD,SIN001714,"18,240.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,22/11/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,855217706,"115,073.25",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,22/11/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,855217694,"188,735.22",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,22/11/2021,Service charge - ICT,NHSX,ACCURX LIMITED,PLUS01636,"3,615.76",,N1 5AA,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,22/11/2021,Service charge - ICT,NHSX,ACCURX LIMITED,PLUS01388-1,"69,132.41",,N1 5AA,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,19/11/2021,Storage costs,Global Health,ACTAVO BUILDING SOLUTIONS UK LIMITED,223995,"659,718.94",,WF4 3FU,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,08/11/2021,"SFVS - product & distribution cost, during October 2021",Public Health,AG Axtons,INV-4521,"66,230.46",,,SME,,,,
Department of Health and Social Care,Department of Health and Social Care,04/11/2021,Additions NCB PDC,Default Group,AIREDALE NHS FOUNDATION TRUST,PF00006252,"686,000.00",,BD20 6TD,Govn,,,,
Department of Health and Social Care,Department of Health and Social Care,29/11/2021,Additions NCB PDC,Default Group,AIREDALE NHS FOUNDATION TRUST,PF00006376,"2,487,000.00",,BD20 6TD,Govn,,,,
Department of Health and Social Care,Department of Health and Social Care,18/11/2021,Other programme expenditure,Global Health,AIRFINITY LTD,INV-1419,"20,400.00",,WC2H 9JQ,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,18/11/2021,Other programme expenditure,Global Health,AIRFINITY LTD,INV-1787,"24,600.00",,WC2H 9JQ,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,18/11/2021,Other programme expenditure,Global Health,AIRFINITY LTD,INV-1788,"24,600.00",,WC2H 9JQ,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,18/11/2021,Other programme expenditure,Global Health,AIRFINITY LTD,INV-1789,"24,600.00",,WC2H 9JQ,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,18/11/2021,Other programme expenditure,Global Health,AIRFINITY LTD,INV-1790,"24,600.00",,WC2H 9JQ,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,18/11/2021,Other programme expenditure,Global Health,AIRFINITY LTD,INV-1791,"24,600.00",,WC2H 9JQ,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,24/11/2021,Telephone costs,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-888,"4,237.73",,SL1 2EJ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,23/11/2021,Telephone costs,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-887,"3,628.00",,SL1 2EJ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,23/11/2021,Telephone costs,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-887,"23,820.00",,SL1 2EJ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,24/11/2021,Telephone costs,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-890,"-2,332.00",,SL1 2EJ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,24/11/2021,Telephone costs,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-885,"2,332.00",,SL1 2EJ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,23/11/2021,Telephone costs,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-887,"3,628.00",,SL1 2EJ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,09/11/2021,Telephone costs,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-881,"184,782.43",,SL1 2EJ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,24/11/2021,Telephone costs,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-885,"3,648,741.56",,SL1 2EJ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,30/11/2021,Consultancy/Professional Advice,NHSX,AKAMAI TECHNOLOGIES LIMITED,PO555069,"38,662.79",,EC4A 3TW,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,12/11/2021,Research & development,Chief Scientific Advisor,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ASI0017190,"32,568.00",,L12 2AP,Govn,,,,
Department of Health and Social Care,Department of Health and Social Care,12/11/2021,Research & development,Chief Scientific Advisor,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ASI0017283,"57,520.00",,L12 2AP,Govn,,,,
Department of Health and Social Care,Department of Health and Social Care,17/11/2021,Agency staff (temp admin),Finance and Group Operations,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,C2441367,-356.14,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,16/11/2021,Agency staff (temp admin),Social Care Group,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2441350,1.1,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,08/11/2021,Agency staff (temp admin),Social Care Group,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2436897,55.18,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,02/11/2021,Agency staff (temp admin),Social Care Group,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2411527,220.68,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,16/11/2021,Agency staff (temp admin),Finance and Group Operations,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2441367,356.14,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,17/11/2021,Agency staff (temp admin),Finance and Group Operations,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,C2441369,356.14,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,16/11/2021,Agency staff (temp admin),Social Care Group,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2441350,380.68,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,16/11/2021,Agency staff (temp admin),Social Care Group,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2441350,390.6,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,02/11/2021,Agency staff (temp admin),Finance and Group Operations,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2432716,419.45,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,23/11/2021,Agency staff (temp admin),Social Care Group,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2334651B,430.33,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,23/11/2021,Agency staff (temp admin),Finance and Group Operations,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2445724,466.93,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,23/11/2021,Agency staff (temp admin),Social Care Group,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2445710,496.54,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,26/11/2021,Agency staff (temp admin),Finance and Group Operations,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2450197,597.5,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,02/11/2021,Agency staff (temp admin),Social Care Group,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2411527,606.88,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,23/11/2021,Agency staff (temp admin),Social Care Group,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2445708,617.9,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,11/11/2021,Agency staff (temp admin),Finance and Group Operations,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2436914,625.21,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,26/11/2021,Agency staff (temp admin),Social Care Group,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2450182,645.49,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,11/11/2021,Agency staff (temp admin),Social Care Group,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2436848,684.11,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,11/11/2021,Agency staff (temp admin),Social Care Group,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2428536,695.15,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,02/11/2021,Agency staff (temp admin),Finance and Group Operations,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2428560,708.62,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,02/11/2021,Agency staff (temp admin),Finance and Group Operations,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2432719,708.62,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,08/11/2021,Agency staff (temp admin),Finance and Group Operations,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2436852,708.62,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,16/11/2021,Agency staff (temp admin),Finance and Group Operations,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2441373,708.62,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,23/11/2021,Agency staff (temp admin),Finance and Group Operations,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2445730,708.62,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,26/11/2021,Agency staff (temp admin),Finance and Group Operations,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2450202,708.62,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,08/11/2021,Agency staff (temp admin),Social Care Group,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2436897,717.2,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,26/11/2021,Agency staff (temp admin),Social Care Group,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2450180,750.31,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,02/11/2021,Agency staff (temp admin),Social Care Group,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2432698,772.38,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,16/11/2021,Agency staff (temp admin),Social Care Group,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2441351,772.38,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,23/11/2021,Agency staff (temp admin),Social Care Group,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2329812B,783.42,,EC2N 3AQ,Large,,,,
