Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,
Department of Health and Social Care,Department of Health and Social Care,16/11/2020,Consultancy/Professional Advice,FINANCE AND GROUP OPERATIONS,2i TESTING LTD,2509," 48,700.00 ",,EH2 1DJ,SME,,,,
Department of Health and Social Care,Department of Health and Social Care,16/11/2020,Professional fees,GLOBAL AND PUBLIC HEALTH,2T SECURITY LTD,389," 38,317.50 ",,HP6 6BQ,SME,,,,
Department of Health and Social Care,Department of Health and Social Care,16/11/2020,Professional fees,GLOBAL AND PUBLIC HEALTH,2T SECURITY LTD,396," 289,867.50 ",,HP6 6BQ,SME,,,,
Department of Health and Social Care,Department of Health and Social Care,11/11/2020,Revenue Grants to non-profit institutions,COMMUNITY CARE,42ND STREET,ERS-648850-199123," 37,473.00 ",,M4 5AG,VCS,,,,
Department of Health and Social Care,Department of Health and Social Care,27/11/2020,Outsourcing Contract,GLOBAL AND PUBLIC HEALTH,4C ASSOCIATES LTD,SIN001420," 403,300.00 ",,W6 7JP,SME,,,,
Department of Health and Social Care,Department of Health and Social Care,27/11/2020,Outsourcing Contract,GLOBAL AND PUBLIC HEALTH,4C ASSOCIATES LTD,SIN001431," 308,125.00 ",,W6 7JP,SME,,,,
Department of Health and Social Care,Department of Health and Social Care,10/11/2020,School Fruit and Veg Scheme,GLOBAL AND PUBLIC HEALTH,A G Axton,8364," 76,712.15 ",,,SME,,,,
Department of Health and Social Care,Department of Health and Social Care,16/11/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,A PLUS INTERNATIONAL EXPRESS PARCELS UK LTD,NHS20200918," 1,444,800.00 ",,TW14 0AF,SME,,,,
Department of Health and Social Care,Department of Health and Social Care,29/11/2020,Outsourcing Contract,GLOBAL AND PUBLIC HEALTH,AB SCIENTIFIC LTD,7350," 66,720.00 ",,EC1V 2NX,SME,,,,
Department of Health and Social Care,Department of Health and Social Care,03/11/2020,Outsourcing Contract,GLOBAL AND PUBLIC HEALTH,AB SCIENTIFIC LTD,7416," 116,760.00 ",,EC1V 2NX,SME,,,,
Department of Health and Social Care,Department of Health and Social Care,03/11/2020,Outsourcing Contract,GLOBAL AND PUBLIC HEALTH,AB SCIENTIFIC LTD,7526," 133,440.00 ",,EC1V 2NX,SME,,,,
Department of Health and Social Care,Department of Health and Social Care,16/11/2020,Outsourcing Contract,GLOBAL AND PUBLIC HEALTH,AB SCIENTIFIC LTD,7651," 116,760.00 ",,EC1V 2NX,SME,,,,
Department of Health and Social Care,Department of Health and Social Care,01/11/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481318, 13.52 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,01/11/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481318, 53.96 ,,SL6 4XE,LARGE,,,,
