Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,
Department of Health and Social Care,Department of Health and Social Care,01/10/2021,Consultancy/Professional Advice,Global Health,4C ASSOCIATES LTD,SIN001630,410.54,,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2021,Consultancy/Professional Advice,Global Health,4C ASSOCIATES LTD,SIN001680,"11,880.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,01/10/2021,Consultancy/Professional Advice,Global Health,4C ASSOCIATES LTD,SIN001630,"12,960.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2021,Consultancy/Professional Advice,Global Health,4C ASSOCIATES LTD,SIN001680,"17,100.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2021,Consultancy/Professional Advice,Global Health,4C ASSOCIATES LTD,SIN001680,"20,520.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2021,Consultancy/Professional Advice,Global Health,4C ASSOCIATES LTD,SIN001680,"21,090.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,01/10/2021,Consultancy/Professional Advice,Global Health,4C ASSOCIATES LTD,SIN001630,"23,760.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,01/10/2021,Consultancy/Professional Advice,Global Health,4C ASSOCIATES LTD,SIN001630,"46,740.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2021,Research & development,Chief Scientific Advisor,ABERDEEN UNIVERSITY OF,ASI0016437,"69,826.92",,AB24 3FX,Govn,,,,
Department of Health and Social Care,Department of Health and Social Care,06/10/2021,Service charge - ICT,NHSX,ACCURX LIMITED,PLUS00623-808,"142,106.24",,N1 5AA,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,05/10/2021,Service charge - ICT,NHSX,ACCURX LIMITED,PLUS00570-567,"200,514.27",,N1 5AA,Medium,,,,
