Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,,
Department of Health and Social Care,Department of Health and Social Care,15/10/2020,Consultancy/Professional Advice,GLOBAL AND PUBLIC HEALTH,4C ASSOCIATES LTD,SIN001392," 1,012,391.40 ",,W6 7JP,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751510795, 27.05 ,,SL6 4XE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751510795, 193.54 ,,SL6 4XE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751510795, 593.60 ,,SL6 4XE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751510795," 1,195.20 ",,SL6 4XE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2020,Outsourcing Contract,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751510795," 1,241.17 ",,SL6 4XE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751510795," 1,854.00 ",,SL6 4XE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,30/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751503100," 2,130.00 ",,SL6 4XE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751510795," 2,255.57 ",,SL6 4XE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751510795," 4,185.79 ",,SL6 4XE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751510795," 5,390.64 ",,SL6 4XE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751510795," 8,982.86 ",,SL6 4XE,LARGE,,,,,
