Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,
Department of Health and Social Care,Department of Health and Social Care,01/09/2021,Consultancy/Professional Advice,NHSX,2020 DELIVERY LTD TA THE PSC,4651,"86,122.34",,SE1 9LQ,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,15/09/2021,Consultancy/Professional Advice,Global Health,2T SECURITY LTD,457,"773,010.00",,HP6 6BQ,Micro,,,,
Department of Health and Social Care,Department of Health and Social Care,30/09/2021,Telephone installation & maintenance,Global Health,3D LIFE PRINTS UK LIMITED,INV-0688,"1,800.00",,L12 2AP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,30/09/2021,Telephone installation & maintenance,Global Health,3D LIFE PRINTS UK LIMITED,INV-0688,"3,672.00",,L12 2AP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,30/09/2021,Telephone installation & maintenance,Global Health,3D LIFE PRINTS UK LIMITED,INV-0684,"61,081.20",,L12 2AP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,10/09/2021,Revenue Grants to non-profit institutions,NHS and Workforce,42ND STREET,ASI0013960,"33,337.00",,M4 5AG,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,27/09/2021,Consultancy/Professional Advice,Global Health,4C ASSOCIATES LTD,SIN001652,"21,660.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,27/09/2021,Consultancy/Professional Advice,Global Health,4C ASSOCIATES LTD,SIN001652,"38,880.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,27/09/2021,Consultancy/Professional Advice,Global Health,4C ASSOCIATES LTD,SIN001652,"11,400.00",,W6 7JP,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,27/09/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,855217158,"10,095.58",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,27/09/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,855216858,"4,547.84",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,27/09/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,855217158,"15,235.96",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,27/09/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,855217158,"8,301.25",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,27/09/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,855216983,"16,145.08",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,27/09/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,855216858,"28,368.20",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,27/09/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,855217158,"47,353.23",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,10/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751617341,763.2,,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,28/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,855216810,"1,406.40",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,30/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751637448,"4,836.42",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,10/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,855216909,"19,965.60",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,27/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751580975,"207,624.47",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,27/09/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,855216858,"4,317.54",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,27/09/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,855216983,"7,027.92",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,27/09/2021,Other programme expenditure,Global Health,ABBOTT LABORATORIES LTD,855217158,"16,615.09",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,30/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,851022948,"-3,195.00",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,30/09/2021,Additions purchased - Finished Goods & Consumables,Global Health,ABBOTT LABORATORIES LTD,751637448,84.67,,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,30/09/2021,Additions purchased - Finished Goods & Consumables,Global Health,ABBOTT LABORATORIES LTD,751637448,94.67,,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,30/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751627794,366.1,,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,30/09/2021,Additions purchased - Finished Goods & Consumables,Global Health,ABBOTT LABORATORIES LTD,751637448,377.75,,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,10/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751617341,415.93,,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,28/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,855216810,532.3,,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,10/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751617341,570.41,,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,10/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751617341,617.69,,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,10/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751617341,780.78,,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,10/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751617341,"1,107.96",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,10/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751617341,"1,242.02",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,30/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751637448,"1,242.02",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,28/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,855216810,"1,242.02",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,10/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751617341,"1,249.25",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,30/09/2021,Additions purchased - Finished Goods & Consumables,Global Health,ABBOTT LABORATORIES LTD,751637448,"1,312.51",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,30/09/2021,Additions purchased - Finished Goods & Consumables,Global Health,ABBOTT LABORATORIES LTD,751637448,"1,347.66",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,30/09/2021,Additions purchased - Finished Goods & Consumables,Global Health,ABBOTT LABORATORIES LTD,751637448,"1,609.92",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,27/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751580975,"1,774.32",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,10/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751617341,"1,805.06",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,30/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751627794,"1,917.00",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,30/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751627794,"2,129.18",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,30/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751637448,"2,342.34",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,30/09/2021,Additions purchased - Finished Goods & Consumables,Global Health,ABBOTT LABORATORIES LTD,751637448,"2,372.83",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,27/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751580975,"2,654.65",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,28/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,855216810,"2,654.65",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,30/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751627794,"3,195.00",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,30/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751601497,"3,294.86",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,30/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751627794,"3,747.74",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,10/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751617341,"3,770.71",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,30/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751637448,"4,848.47",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,30/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751601497,"6,742.42",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,27/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751580975,"6,844.90",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,28/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,855216810,"6,844.90",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,27/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751580975,"7,486.78",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,30/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751637448,"7,486.78",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,28/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,855216810,"7,486.78",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,27/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751580975,"7,668.00",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,28/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,855216810,"7,668.00",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,10/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751617341,"7,700.51",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,30/09/2021,Additions purchased - Finished Goods & Consumables,Global Health,ABBOTT LABORATORIES LTD,751637448,"7,875.07",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,10/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751617341,"7,902.71",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,30/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751637448,"8,072.28",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,27/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751580975,"8,863.68",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,10/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751617341,"8,863.68",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,28/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,855216810,"8,863.68",,SL6 4XE,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,30/09/2021,Outsourcing Contract,Global Health,ABBOTT LABORATORIES LTD,751601497,"9,993.98",,SL6 4XE,Large,,,,
