Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,
Department of Health and Social Care,Department of Health and Social Care,17/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,4C ASSOCIATES LTD,SIN001401," 145,458.00 ",,W6 7JP,SME,,,,
Department of Health and Social Care,Department of Health and Social Care,17/09/2020,Outsourcing Contract,GLOBAL AND PUBLIC HEALTH,AB SCIENTIFIC LTD,7224," 66,720.00 ",,EC1V 2NX,SME,,,,
Department of Health and Social Care,Department of Health and Social Care,24/09/2020,Outsourcing Contract,GLOBAL AND PUBLIC HEALTH,AB SCIENTIFIC LTD,7286," 66,720.00 ",,EC1V 2NX,SME,,,,
Department of Health and Social Care,Department of Health and Social Care,28/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,855215668," 78,914.78 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,28/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,855215669," 111,998.21 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481321, 328.13 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,28/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,855215668," 12,961.06 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,28/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,855215669," 15,586.08 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751482874, 656.26 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481315," 4,429.73 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481321," 4,429.73 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751482874," 5,085.98 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481316," 5,414.11 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481314," 4,429.73 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751479367," 4,593.79 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481320," 6,562.56 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481321, 164.06 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481315, 492.19 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481320, 820.32 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481314, 492.19 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481316, 492.19 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751479367, 656.26 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751479367, 359.38 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481315, 359.38 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481320, 449.22 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481321, 269.53 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481314, 359.38 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481316, 359.38 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481314, 169.49 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481321, 169.49 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481320, 254.23 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751479367, 593.21 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481315, 169.49 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481316, 169.49 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751482874, 677.95 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481316, 150.00 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481314, 150.00 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481320, 150.00 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481321, 150.00 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751482874, 450.00 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481315," 20,677.74 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481316," 20,677.74 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481321," 20,677.74 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751482874," 24,798.95 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481320," 30,980.76 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481314," 20,677.74 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751479367," 21,855.23 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,28/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,855215668," 15,338.66 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,28/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,855215669," 18,219.96 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481314, 13.52 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481315, 13.52 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481321, 13.52 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,28/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,855215669, 297.53 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751479367, 13.52 ,,SL6 4XE,LARGE,,,,
