Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
DHSC,DHSC,01/02/2020,EPC Control Account,Holding CT Core,THE ROYAL BANK OF SCOTLAND PLC,8748001-27-FEB-20,25462.47,,SS1 9AJ,LARGE,,,
DHSC,DHSC,01/02/2020,Policy Payments,FINANCE AND GROUP OPERATIONS,ANGLIAN COMMUNITY ENTERPRISE ACE CIC,7000021450,44952,19/20 Agenda for Change Uplift for Local Authority commissioned Public Health Services – Anglian Community Enterprise,CO4 9YQ,VCS,,,
DHSC,DHSC,01/02/2020,Outsourcing Contract,GROUP OPERATIONS,ATOS IT SOLUTIONS AND SERVICES LTD,5584327854,-41007.76,CSIP Service Management Project – Agile Delivery of MVP,WS11 0JA,LARGE,,,
DHSC,DHSC,01/02/2020,Outsourcing Contract,FINANCE AND GROUP OPERATIONS,ATOS IT SOLUTIONS AND SERVICES LTD,5584327854,2613.76,CSIP Service Management Project – Agile Delivery of MVP expenses,WS11 0JA,LARGE,,,
DHSC,DHSC,01/02/2020,Outsourcing Contract,FINANCE AND GROUP OPERATIONS,ATOS IT SOLUTIONS AND SERVICES LTD,5584327854,38394,CSIP Service Management Project – Agile Delivery of MVP,WS11 0JA,LARGE,,,
DHSC,DHSC,01/02/2020,Policy Payments,FINANCE AND GROUP OPERATIONS,BROMLEY HEALTHCARE CIC,25582458,140490,19/20 Agenda for Change Uplift for Local Authority commissioned Public Health Services – Bromley Healthcare,WF3 1WE,PUBLIC,,,
DHSC,DHSC,01/02/2020,Radio communications,FINANCE AND GROUP OPERATIONS,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-705,3628,Future  Service Help  Desk CP8a - Service charges  (Scotland & Wales)  to December 2019 - CCN # 132,SL1 2EJ,LARGE,,,
DHSC,DHSC,01/02/2020,Radio communications,FINANCE AND GROUP OPERATIONS,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-705,26622.35,Future  Service Help  Desk CP8a - Milestone payment  (England ) - CCN # 132,SL1 2EJ,LARGE,,,
DHSC,DHSC,01/02/2020,Consultancy/Professional Advice,CHIEF SCIENTIFIC ADVISOR,TECHNOLOGY STRATEGY BOARD TSB TA INNOVATE UK,CIN-1000540,404625.79,Test beds FY 1920 TB W1,SN2 1BS,PUBLIC,,,
DHSC,DHSC,01/02/2020,Consultancy/Professional Advice,CHIEF SCIENTIFIC ADVISOR,TECHNOLOGY STRATEGY BOARD TSB TA INNOVATE UK,CIN-1000386,317589.44,Test Beds Wave 1. Grant Q4 2018/19,SN2 1BS,PUBLIC,,,
DHSC,DHSC,01/02/2020,Consultancy/Professional Advice,GLOBAL AND PUBLIC HEALTH,CABINET OFFICE,3779309,43559.4,Reciprocal healthcare support: extension to cover invoice shortfall,CF14 3UW,PUBLIC,,,
DHSC,DHSC,01/02/2020,Consultancy/Professional Advice,GLOBAL AND PUBLIC HEALTH,CABINET OFFICE,3779309,450180,Reciprocal healthcare support,CF14 3UW,PUBLIC,,,
