Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,13/05/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,482172,Single use military equipment asset under construction - capital in year addition,"£37,701,386.95"
Ministry of Defence,Ministry of Defence,04/05/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,480633,Property dwellings private finance initiative - service concession arrangement service charge,"£27,717,124.90"
Ministry of Defence,Ministry of Defence,01/05/2020,Development costs for military equipment,Defence Equipment and Support,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",,2000014312,Intangible single use military equipment asset  - in year capital addition,"£13,907,880.65"
Ministry of Defence,Ministry of Defence,04/05/2020,Design services and minor equipment purchases,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,480504,Equipment support non-project costs,"£13,711,754.14"
Ministry of Defence,Ministry of Defence,04/05/2020,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,SW1X 7EN,480578,Utilities consumed - electricity,"£12,969,805.85"
Ministry of Defence,Ministry of Defence,26/05/2020,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,SW1X 7EN,484412,Utilities consumed - electricity,"£11,439,073.88"
Ministry of Defence,Ministry of Defence,15/05/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,CF10 2GE,482955,Property non dwellings private finance initiative - service concession arrangement service charge,"£8,740,838.54"
Ministry of Defence,Ministry of Defence,11/05/2020,"Purchase of munitions, other inventory or fuel",Defence Equipment and Support,BP OIL INTERNATIONAL LIMITED,E14 5NJ,2000014368,Raw materials and consumable aviation fuel inventory purchased,"£8,699,243.10"
Ministry of Defence,Ministry of Defence,22/05/2020,IT and communication services,Joint Forces Command,FUJITSU SERVICES LIMITED,EC2A 1SL,484129,Information technology services,"£7,878,931.16"
Ministry of Defence,Ministry of Defence,12/05/2020,Design services and minor equipment purchases,Defence Equipment and Support,BABCOCK DSG LTD,SP11 8HT,481927,Equipment support non-project costs,"£7,373,096.55"
Ministry of Defence,Ministry of Defence,19/05/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7UT,483346,Property dwellings private finance initiative - service concession arrangement service charge,"£7,197,531.00"
Ministry of Defence,Ministry of Defence,15/05/2020,Fees for professional services,Army Command,CAPITA BUSINESS SERVICES LTD,DL1 9HN,482866,Fees for professional services excluding legal fees,"£6,881,685.97"
Ministry of Defence,Ministry of Defence,05/05/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,480922,Estate management,"£6,864,801.45"
Ministry of Defence,Ministry of Defence,13/05/2020,General services and support,Defence Equipment and Support,AQUILA AIR TRAFFIC MANAGEMENT SERVICES LIMITED,PO15 7FL,482258,Defence equipment CLS/IOS service charge,"£6,337,899.28"
Ministry of Defence,Ministry of Defence,06/05/2020,Estate management,Army Command,HOLDFAST TRAINING SERVICES LIMITED,W1U 1QX,481275,Estate + facilities management services - accommodation inventory + service,"£6,236,831.44"
Ministry of Defence,Ministry of Defence,26/05/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,484466,Estate core services charge,"£6,200,674.13"
Ministry of Defence,Ministry of Defence,04/05/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,IBM UNITED KINGDOM LIMITED,SE1 9PZ,480722,Fiscal asset under construction - capital in year addition,"£5,947,203.60"
Ministry of Defence,Ministry of Defence,04/05/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,480598,Single use military equipment asset under construction - capital in year addition,"£5,734,342.99"
Ministry of Defence,Ministry of Defence,13/05/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,H M REVENUE & CUSTOMS,BX5 5AB,482224,Fiscal asset under construction - capital in year addition,"£5,681,150.00"
Ministry of Defence,Ministry of Defence,26/05/2020,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,484494,Utilities consumed - gas,"£5,480,431.99"
Ministry of Defence,Ministry of Defence,11/05/2020,Development costs for military equipment,Defence Equipment and Support,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",,2000014364,Intangible single use military equipment asset  - in year capital addition,"£5,383,741.38"
Ministry of Defence,Ministry of Defence,15/05/2020,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,VOLKERSTEVIN LIMITED,PR2 5PE,482748,Fiscal asset under construction - capital in year addition,"£5,318,370.95"
Ministry of Defence,Ministry of Defence,19/05/2020,General services and support,Defence Equipment and Support,ROLLS-ROYCE PLC,BS34 7QE,6000055555,Defence equipment CLS/IOS service charge,"£5,284,646.80"
Ministry of Defence,Ministry of Defence,20/05/2020,Purchase of inventory and services ,Head Office and Corporate Services,Merrill Lynch International,EC1A 1HQ,2000014446,Cost of other material consumed,"£5,249,090.87"
Ministry of Defence,Ministry of Defence,13/05/2020,Government Procurement Card,Ministry of Defence,Royal Bank of Scotland,,13695,Monthly GPC,"£4,833,865.05"
Ministry of Defence,Ministry of Defence,22/05/2020,Purchase of inventory and services ,Head Office and Corporate Services,MORGAN STANLEY & CO. INTERNATIONAL PLC,EC14 4QA,2000014467,Cost of other material consumed,"£4,632,619.10"
Ministry of Defence,Ministry of Defence,14/05/2020,Government Procurement Card,Ministry of Defence,Royal Bank of Scotland,,13696,Monthly GPC,"£4,601,534.04"
Ministry of Defence,Ministry of Defence,22/05/2020,Purchase of inventory and services ,Head Office and Corporate Services,GOLDMAN SACHS INTERNATIONAL,EC4A 2BB,2000014478,Cost of other material consumed,"£4,528,546.53"
Ministry of Defence,Ministry of Defence,07/05/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,ORGANISATION FOR JOINT ARMAMENTS CO-OPERATION EXECUTIVE ADMIN,,6000055430,Fiscal asset under construction - capital in year addition,"£4,482,425.85"
Ministry of Defence,Ministry of Defence,11/05/2020,"Purchase of munitions, other inventory or fuel",Defence Equipment and Support,MOTOR OIL (HELLAS) CORINTH REFINERIES S.A,,2000014367,Raw materials and consumable marine fuel inventory purchased,"£4,448,420.71"
Ministry of Defence,Ministry of Defence,01/05/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,OCCAR-EA,,6000055356,Single use military equipment asset under construction - capital in year addition,"£4,428,992.45"
Ministry of Defence,Ministry of Defence,15/05/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ANCALA WATER SERVICES (ESTATES) LIMITED,S75 3JR,482880,Property non dwellings private finance initiative - service concession arrangement service charge,"£4,422,321.62"
Ministry of Defence,Ministry of Defence,22/05/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,484177,Estate core services charge,"£4,359,506.79"
Ministry of Defence,Ministry of Defence,22/05/2020,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,484361,Fiscal asset under construction - capital in year addition,"£4,050,679.00"
Ministry of Defence,Ministry of Defence,20/05/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,SEVERN TRENT SERVICES DEFENCE LIMITED,CV3 9NT,483710,Property non dwellings private finance initiative - service concession arrangement service charge,"£3,976,154.03"
Ministry of Defence,Ministry of Defence,15/05/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,ROHDE & SCHWARZ UK LIMITED,GU51 2UZ,482685,Single use military equipment asset under construction - capital in year addition,"£3,943,197.67"
Ministry of Defence,Ministry of Defence,12/05/2020,Spend on Inventory - General,Defence Equipment and Support,BABCOCK DSG LTD,SP11 8HT,481927,Spend on Inventory - General,"£3,907,327.73"
Ministry of Defence,Ministry of Defence,27/05/2020,Spend on Inventory - General,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,484601,Spend on Inventory - General,"£3,735,929.80"
Ministry of Defence,Ministry of Defence,01/05/2020,Design services and minor equipment purchases,Defence Equipment and Support,OCCAR-EA,,6000055359,Equipment support project costs,"£3,690,074.60"
Ministry of Defence,Ministry of Defence,13/05/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,6000055474,Single use military equipment asset under construction - capital in year addition,"£3,582,991.82"
Ministry of Defence,Ministry of Defence,22/05/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,COMPASS CONTRACT SERVICES (U.K.) LIMITED,B45 9PZ,484060,Estate management,"£3,503,269.90"
Ministry of Defence,Ministry of Defence,04/05/2020,General services and support,Defence Equipment and Support,LEONARDO MW LTD,BA20 2YB,480591,Defence equipment CLS/IOS service charge,"£3,473,614.00"
Ministry of Defence,Ministry of Defence,22/05/2020,Spend on Inventory - General,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,484086,Spend on Inventory - General,"£3,454,911.61"
Ministry of Defence,Ministry of Defence,01/05/2020,Inventory Accruals,Defence Equipment and Support,LEONARDO MW LTD,BA20 2YB,480407,Contract Expenditure on Capital Spares that are managed by DE+S Inventory Systems.,"£3,262,532.40"
Ministry of Defence,Ministry of Defence,13/05/2020,Design services and minor equipment purchases,Defence Equipment and Support,ORGANISATION FOR JOINT ARMAMENTS CO-OPERATION EXECUTIVE ADMIN,,6000055470,Equipment support non-project costs,"£3,250,239.22"
Ministry of Defence,Ministry of Defence,26/05/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES (HOUSING) LIMITED,WV3 0SR,484467,Works - estate management,"£3,218,712.45"
Ministry of Defence,Ministry of Defence,04/05/2020,Rental of plant and machinery,Defence Equipment and Support,ALC (SPC) LIMITED,OX25 2LD,480631,Plant + machinery private finance initiative - service concession arrangements service charge,"£3,192,469.67"
Ministry of Defence,Ministry of Defence,05/05/2020,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,WATES CONSTRUCTION LIMITED,KT22 7SW,481026,Fiscal asset under construction - capital in year addition,"£3,175,123.30"
Ministry of Defence,Ministry of Defence,22/05/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,484308,Fiscal asset under construction - capital in year addition,"£3,021,128.40"
Ministry of Defence,Ministry of Defence,01/05/2020,General services and support,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,2000014313,Defence equipment CLS/IOS service charge,"£2,995,646.26"
Ministry of Defence,Ministry of Defence,15/05/2020,Design services and minor equipment purchases,Defence Equipment and Support,BAE SYSTEMS (OPERATIONS) LIMITED,PR4 1AX,482667,Equipment support non-project costs,"£2,942,816.00"
Ministry of Defence,Ministry of Defence,15/05/2020,Spend on Inventory - General,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,482726,Spend on Inventory - General,"£2,844,583.41"
Ministry of Defence,Ministry of Defence,15/05/2020,Development costs for military equipment,Defence Equipment and Support,RAFAEL ADVANCED DEFENSE SYSTEMS LTD,,3206592,Intangible single use military equipment asset  - in year capital addition,"£2,783,986.80"
Ministry of Defence,Ministry of Defence,26/05/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,INTERSERVE (DEFENCE) LTD,BS32 4NH,6000055734,Estate management,"£2,775,880.65"
Ministry of Defence,Ministry of Defence,01/05/2020,Design services and minor equipment purchases,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,480436,Equipment support non-project costs,"£2,717,421.19"
Ministry of Defence,Ministry of Defence,19/05/2020,IT and communication services,Army Command,BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,PR1 1BA,483394,Information technology services,"£2,700,325.71"
Ministry of Defence,Ministry of Defence,05/05/2020,Transport hire charges,Defence Equipment and Support,FORELAND SHIPPING LTD,EC3A 7BT,481107,Transport other operating lease,"£2,541,824.00"
Ministry of Defence,Ministry of Defence,22/05/2020,Design services and minor equipment purchases,Defence Equipment and Support,LOCKHEED MARTIN UK LIMITED,PO9 1SA,484303,Equipment support non-project costs,"£2,486,876.64"
Ministry of Defence,Ministry of Defence,22/05/2020,Externally delivered education and training,Navy Command,BABCOCK MARINE TRAINING LIMITED,BS23 6BS,484265,External military training,"£2,476,637.48"
Ministry of Defence,Ministry of Defence,05/05/2020,Property leases,Joint Forces Command,DEFENCE MANAGEMENT (WATCHFIELD) LIMITED,SN6 8TS,480933,Property non dwellings private finance initiative - service concession arrangement service charge,"£2,445,382.42"
Ministry of Defence,Ministry of Defence,15/05/2020,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,Kier Graham Defence Limited,SG19 2BD,482972,Fiscal asset under construction - capital in year addition,"£2,434,060.62"
Ministry of Defence,Ministry of Defence,18/05/2020,Transport hire charges,Army Command,BABCOCK LAND LIMITED,BH23 6BS,483156,Transport other operating lease,"£2,346,454.16"
Ministry of Defence,Ministry of Defence,28/05/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,THALES UK LIMITED,RH10 9HA,484884,Fiscal asset under construction - capital in year addition,"£2,285,402.40"
Ministry of Defence,Ministry of Defence,06/05/2020,Spend on Inventory - General,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,481296,Spend on Inventory - General,"£2,260,997.25"
Ministry of Defence,Ministry of Defence,19/05/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES (HOUSING) LIMITED,WV3 0SR,483385,Works - estate management,"£2,243,917.88"
Ministry of Defence,Ministry of Defence,12/05/2020,Design services and minor equipment purchases,Defence Equipment and Support,SIERRA NEVADA CORPORATION,,2000014373,Equipment support project costs,"£2,207,062.59"
Ministry of Defence,Ministry of Defence,05/05/2020,"Purchase of munitions, other inventory or fuel",Defence Equipment and Support,MOTOR OIL (HELLAS) CORINTH REFINERIES S.A,,2000014345,Raw materials and consumable aviation fuel inventory purchased,"£2,201,653.97"
Ministry of Defence,Ministry of Defence,18/05/2020,IT and communication services,Joint Forces Command,CGI IT UK LIMITED,CF31 9AP,483095,Information technology services,"£2,187,880.98"
Ministry of Defence,Ministry of Defence,12/05/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES (HOUSING) LIMITED,WV3 0SR,481962,Estate management,"£2,185,322.79"
Ministry of Defence,Ministry of Defence,19/05/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES (HOUSING) LIMITED,WV3 0SR,483385,Estate management,"£2,185,322.79"
Ministry of Defence,Ministry of Defence,27/05/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES (HOUSING) LIMITED,WV3 0SR,484669,Estate management,"£2,185,322.79"
Ministry of Defence,Ministry of Defence,04/05/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES (HOUSING) LIMITED,WV3 0SR,480718,Estate management,"£2,185,322.77"
Ministry of Defence,Ministry of Defence,07/05/2020,Design services and minor equipment purchases,Defence Equipment and Support,RAYTHEON SYSTEMS LIMITED,CM17 9NA,481514,Equipment support non-project costs,"£2,023,086.21"
Ministry of Defence,Ministry of Defence,18/05/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,SODEXO LTD,M50 0AL,483015,Estate management,"£1,995,524.26"
Ministry of Defence,Ministry of Defence,19/05/2020,Research and development,Defence Equipment and Support,FOREIGN & COMMONWEALTH OFFICE SERVICES,MK19 7BH,483289,Research and development excluding defence science and technology laboratory,"£1,970,917.98"
Ministry of Defence,Ministry of Defence,06/05/2020,Property leases,Army Command,DEFENCE TRAINING SERVICES LIMITED,BA2 3RH,481165,Property non dwellings private finance initiative - service concession arrangement service charge,"£1,953,313.57"
Ministry of Defence,Ministry of Defence,26/05/2020,Design services and minor equipment purchases,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,484461,Equipment support project costs,"£1,951,088.59"
