Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,09/04/2021,Development costs for military equipment,Defence Equipment and Support,OCCAR-EA,,3207738,Development costs for military equipment,"£46,552,471.02"
Ministry of Defence,Ministry of Defence,07/04/2021,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,547065,Property dwellings private finance initiative - service concession arrangement service charge,"£27,656,436.62"
Ministry of Defence,Ministry of Defence,06/04/2021,Development costs for military equipment,Defence Equipment and Support,ROSYTH ROYAL DOCKYARD LTD,KY11 2YD,546680,Intangible single use military equipment asset  - in year capital addition,"£22,453,063.97"
Ministry of Defence,Ministry of Defence,14/04/2021,Purchase of buildings and military equipment ,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,2000017105,Single use military equipment asset under construction - capital in year addition,"£14,576,197.07"
Ministry of Defence,Ministry of Defence,09/04/2021,IT and communication services,Strategic Command,BOXXE LIMITED,YO61 1ET,548005,Information technology services,"£13,769,861.66"
Ministry of Defence,Ministry of Defence,09/04/2021,Government Procurement Card,Ministry of Defence,Royal Bank of Scotland,,14188,Monthly GPC Payment,"£10,851,348.57"
Ministry of Defence,Ministry of Defence,29/04/2021,Development costs for military equipment,Defence Equipment and Support,RHEINMETALL BAE SYSTEMS LAND LIMITED,NP15 1XL,551775,Intangible single use military equipment asset  - in year capital addition,"£10,800,000.00"
Ministry of Defence,Ministry of Defence,16/04/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES (HOUSING) LIMITED,WV3 0SR,549423,Estate Management,"£9,407,615.48"
Ministry of Defence,Ministry of Defence,29/04/2021,"Purchase of munitions, other inventory or fuel",Defence Equipment and Support,MOTOR OIL (HELLAS) CORINTH REFINERIES S.A,,2000017203,Raw materials and consumable aviation fuel inventory purchased,"£8,914,880.51"
Ministry of Defence,Ministry of Defence,07/04/2021,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,CF10 2GE,547478,Property non dwellings private finance initiative - service concession arrangement service charge,"£8,586,123.86"
Ministry of Defence,Ministry of Defence,23/04/2021,Purchase of buildings and military equipment ,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,550631,Single use military equipment asset under construction - capital in year addition,"£7,645,337.00"
Ministry of Defence,Ministry of Defence,20/04/2021,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7UT,549706,Property dwellings private finance initiative - service concession arrangement service charge,"£7,136,967.74"
Ministry of Defence,Ministry of Defence,22/04/2021,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,550288,Utilities consumed - gas,"£7,054,127.56"
Ministry of Defence,Ministry of Defence,13/04/2021,Development costs for military equipment,Strategic Command,AIRBUS DEFENCE AND SPACE LIMITED,SG1 2AS,548481,Intangible fiscal asset  - in year capital addition,"£6,752,514.54"
Ministry of Defence,Ministry of Defence,19/04/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES (HOUSING) LIMITED,WV3 0SR,549485,Works - estate management,"£6,517,349.97"
