Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,22/10/2021,Assets under Construction,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,586109,SUME AUC Capital Additions,"£39,733,493.87"
Ministry of Defence,Ministry of Defence,11/10/2021,P+M General Services,Defence Nuclear Organisation,AWE PLC,RG7 4PR,583466,P+M General Services,"£36,179,509.32"
Ministry of Defence,Ministry of Defence,18/10/2021,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,584812,Prop Dw SCA Serv Chrge+ Off BS,"£28,156,004.47"
Ministry of Defence,Ministry of Defence,21/10/2021,P+M General Services,Defence Nuclear Organisation,AWE PLC,RG7 4PR,585852,P+M General Services,"£17,445,840.52"
Ministry of Defence,Ministry of Defence,27/10/2021,P+M General Services,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,586906,P+M General Services,"£17,050,589.72"
Ministry of Defence,Ministry of Defence,05/10/2021,P+M General Services,Defence Nuclear Organisation,AWE PLC,RG7 4PR,582381,P+M General Services,"£15,022,958.38"
Ministry of Defence,Ministry of Defence,19 Oct 2021,Assets under Construction,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,2000018498,SUME AUC Capital Additions,"£14,656,309.54"
Ministry of Defence,Ministry of Defence,08/10/2021,Raw Materials + Consumables,Defence Equipment and Support,MOTOR OIL (HELLAS) CORINTH REFINERIES S.A,,2000018423,RMC Oil Fuel & Lubricants,"£14,288,658.02"
Ministry of Defence,Ministry of Defence,04/10/2021,P+M General Services,Defence Nuclear Organisation,AWE PLC,RG7 4PR,581764,P+M General Services,"£14,020,803.85"
Ministry of Defence,Ministry of Defence,04/10/2021,Assets under Construction,Defence Nuclear Organisation,AWE PLC,RG7 4PR,581764,Fiscal AUC Capital Additions,"£13,990,287.68"
Ministry of Defence,Ministry of Defence,19/10/2021,Heating Oil+Utilities Consumed,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS LIMITED,SW1X 7EN,585192,Electricity,"£12,696,323.65"
Ministry of Defence,Ministry of Defence,27/10/2021,Assets under Construction,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,586785,SUME AUC Capital Additions,"£12,333,297.10"
Ministry of Defence,Ministry of Defence,27/10/2021,P+M General Services,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,586785,P+M General Services,"£11,376,662.71"
Ministry of Defence,Ministry of Defence,08/10/2021,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,CF10 2GE,583299,Prop NonDw SCA Srv Chrg+Off BS,"£9,115,483.50"
Ministry of Defence,Ministry of Defence,04/10/2021,Raw Materials + Consumables,Defence Equipment and Support,KUWAIT PETROLEUM INTERNATIONAL AVIATION COMPANY (UK) LTD,GU21 5BH,2000018391,RMC Oil Fuel & Lubricants,"£8,621,427.52"
Ministry of Defence,Ministry of Defence,21/10/2021,Raw Materials + Consumables,Defence Equipment and Support,VITOL AVIATION UK LTD,SW1E 5LB,2000018531,RMC Oil Fuel & Lubricants,"£8,292,541.53"
Ministry of Defence,Ministry of Defence,21/10/2021,Raw Materials + Consumables,Defence Equipment and Support,VITOL AVIATION UK LTD,SW1E 5LB,2000018530,RMC Oil Fuel & Lubricants,"£7,340,783.65"
Ministry of Defence,Ministry of Defence,25/10/2021,Assets under Construction,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,586188,SUME AUC Capital Additions,"£6,962,774.42"
Ministry of Defence,Ministry of Defence,22/10/2021,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7UT,586032,Prop Dw SCA Serv Chrge+ Off BS,"£6,846,634.67"
Ministry of Defence,Ministry of Defence,27/10/2021,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,586821,Estate+Facilities Mgmnt Servs,"£6,045,138.90"
Ministry of Defence,Ministry of Defence,11/10/2021,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,14558,Monthly GPC Payment,"£5,976,483.73"
Ministry of Defence,Ministry of Defence,18 Oct 2021,Assets under Construction,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,2208571,SUME AUC Capital Additions,"£5,815,759.49"
Ministry of Defence,Ministry of Defence,28/10/2021,P+M General Services,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,587160,P+M General Services,"£5,657,572.20"
Ministry of Defence,Ministry of Defence,27/10/2021,CL MonthEnd Accruals Balance,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,586906,CL MonthEnd Accruals Balance,"£5,604,299.34"
Ministry of Defence,Ministry of Defence,19/10/2021,Defence Equip General Services,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,585210,Defence Eqpt Serv Chrge+Off BS,"£5,458,002.46"
Ministry of Defence,Ministry of Defence,12/10/2021,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,14562,Monthly GPC Payment,"£5,246,855.41"
Ministry of Defence,Ministry of Defence,08/10/2021,CL MonthEnd Accruals Balance,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,583220,CL MonthEnd Accruals Balance,"£5,011,586.46"
Ministry of Defence,Ministry of Defence,11/10/2021,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,14559,Monthly GPC Payment,"£4,777,238.31"
Ministry of Defence,Ministry of Defence,15/10/2021,CL MonthEnd Accruals Balance,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,584605,CL MonthEnd Accruals Balance,"£4,743,186.10"
Ministry of Defence,Ministry of Defence,26/10/2021,P+M General Services,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,586556,P+M General Services,"£4,636,871.09"
Ministry of Defence,Ministry of Defence,08/10/2021,Heating Oil+Utilities Consumed,Air Command,EDF ENERGY CUSTOMERS LIMITED,SW1X 7EN,583318,Electricity,"£4,589,063.97"
Ministry of Defence,Ministry of Defence,26/10/2021,P+M General Services,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,586556,P+M General Services,"£4,542,523.73"
Ministry of Defence,Ministry of Defence,05/10/2021,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,582278,Estate+Facilities Mgmnt Servs,"£4,466,266.85"
Ministry of Defence,Ministry of Defence,06/10/2021,P+M General Services,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,582589,P+M General Services,"£4,000,000.00"
Ministry of Defence,Ministry of Defence,26/10/2021,Assets under Construction,Defence Equipment and Support,QIOPTIQ LTD,LL17 0LL,586619,SUME AUC Capital Additions,"£3,735,504.00"
Ministry of Defence,Ministry of Defence,04/10/2021,Assets under Construction,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,6000065417,SUME AUC Capital Additions,"£3,675,872.92"
Ministry of Defence,Ministry of Defence,07/10/2021,Assets under Construction,Defence Equipment and Support,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",,2000018418,SUME AUC Capital Additions,"£3,634,231.88"
Ministry of Defence,Ministry of Defence,14/10/2021,Assets under Construction,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,2000018468,SUME AUC Capital Additions,"£3,629,174.12"
Ministry of Defence,Ministry of Defence,19/10/2021,Defence Equip General Services,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,2000018498,Defence Eqpt Serv Chrge+Off BS,"£3,196,694.88"
Ministry of Defence,Ministry of Defence,15/10/2021,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,584652,Estate+Facilities Mgmnt Servs,"£3,130,477.17"
Ministry of Defence,Ministry of Defence,25/10/2021,Intangibles SUME,Defence Nuclear Organisation,BAE SYSTEMS MARINE LTD,LA14 1AF,586159,Intangible Cap Additions In Yr,"£3,035,808.43"
Ministry of Defence,Ministry of Defence,14/10/2021,Assets under Construction,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,584255,SUME AUC Capital Additions,"£2,981,709.00"
Ministry of Defence,Ministry of Defence,07/10/2021,Rental Payments - Transport,Strategic Command,FORELAND SHIPPING LTD,EC3A 7BT,582721,Rental Payments-Transport-Oth,"£2,598,264.00"
Ministry of Defence,Ministry of Defence,05/10/2021,P+M General Services,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,PO3 5PQ,582315,P+M General Services,"£2,586,469.20"
Ministry of Defence,Ministry of Defence,22/10/2021,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,585982,Fiscal AUC Capital Additions,"£2,536,024.66"
Ministry of Defence,Ministry of Defence,27/10/2021,Decom+Restoration Liab Nuclear,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,586785,Decom+Restoration Liab Nuclear,"£2,435,658.87"
Ministry of Defence,Ministry of Defence,19/10/2021,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE (DEFENCE) LIMITED,BS32 4NH,6000065620,Estate+Facilities Mgmnt Servs,"£2,368,160.86"
Ministry of Defence,Ministry of Defence,14/10/2021,CL MonthEnd Accruals Balance,Defence Equipment and Support,ROLLS-ROYCE POWER ENGINEERING PLC,DE24 8BJ,584467,CL MonthEnd Accruals Balance,"£2,357,280.00"
Ministry of Defence,Ministry of Defence,20/10/2021,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,Kier Graham Defence Limited,G33 6HZ,585565,Fiscal AUC Capital Additions,"£2,295,407.26"
Ministry of Defence,Ministry of Defence,22/10/2021,Assets under Construction,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,6000065842,SUME AUC Capital Additions,"£2,220,547.20"
Ministry of Defence,Ministry of Defence,26/10/2021,Rental Payments - Transport,Army Command,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,586643,Rental Payments-Transport-Oth,"£2,216,382.71"
Ministry of Defence,Ministry of Defence,08/10/2021,P+M General Services,Strategic Command,MET OFFICE,EX1 3PB,583319,P+M General Services,"£2,214,232.00"
Ministry of Defence,Ministry of Defence,25/10/2021,P+M General Services,Defence Equipment and Support,BABCOCK INTEGRATED TECHNOLOGY  LIMITED,BS3 2HQ,586189,P+M General Services,"£2,139,999.60"
Ministry of Defence,Ministry of Defence,08/10/2021,Rental Payments - Buildings,Army Command,DEFENCE TRAINING SERVICES LIMITED,BA2 3RH,583225,Prop NonDw SCA Srv Chrg+Off BS,"£2,074,449.31"
Ministry of Defence,Ministry of Defence,27/10/2021,P+M General Services,Defence Equipment and Support,THALES UK LIMITED,RH10 9HA,586882,P+M General Services,"£2,010,219.48"
Ministry of Defence,Ministry of Defence,12/10/2021,P+M General Services,Defence Equipment and Support,THALES UK LIMITED,RH10 9HA,583782,P+M General Services,"£1,923,709.60"
Ministry of Defence,Ministry of Defence,08/10/2021,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,SODEXO LTD,M50 0AL,583211,Estate+Facilities Mgmnt Servs,"£1,856,064.92"
Ministry of Defence,Ministry of Defence,22/10/2021,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,585982,Estate+Facilities Mgmnt Servs,"£1,781,678.67"
Ministry of Defence,Ministry of Defence,13/10/2021,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,FALCON SUPPORT SERVICES LIMITED,M1 4HB,584182,Prop Dw SCA Serv Chrge+ Off BS,"£1,747,844.50"
Ministry of Defence,Ministry of Defence,18/10/2021,CL MonthEnd Accruals Balance,Defence Equipment and Support,LEONARDO UK LTD,SS14 3EL,584886,CL MonthEnd Accruals Balance,"£1,654,798.35"
Ministry of Defence,Ministry of Defence,05/10/2021,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,582278,Fiscal AUC Capital Additions,"£1,578,552.02"
Ministry of Defence,DECA,04/10/2021,DECA - Prev Business Stream 3,Direct Materials,Muirhead Aerospace Ltd,UB2 5NH,ALB02,Cost of Goods sold,"£1,563,080.40"
Ministry of Defence,Ministry of Defence,05/10/2021,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,GALLIFORD TRY BUILDING 2014 LIMITED,G33 1AP,582372,Fiscal AUC Capital Additions,"£1,503,284.14"
Ministry of Defence,Ministry of Defence,28/10/2021,Telecomms + IT non capital,Strategic Command,CGI IT UK LIMITED,CF31 9AP,587009,IT+Comms Rental Payments,"£1,502,598.38"
Ministry of Defence,Ministry of Defence,13/10/2021,Telecomms + IT non capital,Strategic Command,ORACLE CORPORATION U K LTD,RG6 1RA,583973,IT+Comms Rental Payments,"£1,499,431.95"
Ministry of Defence,Ministry of Defence,08/10/2021,Fuels Non Utilities Consumed,Strategic Command,FORELAND SHIPPING LTD,EC3A 7BT,583388,Fuels Non Utilities Consumed,"£1,447,711.22"
Ministry of Defence,Ministry of Defence,04/10/2021,Fees for Prof Services,Strategic Command,KPMG LLP,WD17 1DE,581752,Fees for Other Prof Services,"£1,401,122.40"
Ministry of Defence,Ministry of Defence,07/10/2021,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,14553,Monthly GPC Payment,"£1,295,959.49"
Ministry of Defence,Ministry of Defence,08/10/2021,CL MonthEnd Accruals Balance,Defence Nuclear Organisation,TPG MARITIME LIMITED,PO3 5FP,583139,CL MonthEnd Accruals Balance,"£1,278,000.00"
