Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,09/09/2021,Purchase of buildings and military equipment ,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,578253,Single use military equipment asset under construction - capital in year addition,"£52,047,968.18"
Ministry of Defence,Ministry of Defence,08/09/2021,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,577684,Fiscal asset under construction - capital in year addition,"£39,790,007.73"
Ministry of Defence,Ministry of Defence,03/09/2021,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,576958,Property dwellings private finance initiative - service concession arrangement service charge,"£27,604,331.84"
Ministry of Defence,Ministry of Defence,10/09/2021,Purchase of buildings and military equipment ,Defence Equipment and Support,ORGANISATION FOR JOINT ARMAMENTS CO-OPERATION EXECUTIVE ADMIN,,6000064517,Fiscal asset under construction - capital in year addition,"£18,101,628.01"
Ministry of Defence,Ministry of Defence,28/09/2021,Design services and minor equipment purchases,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,580826,Equipment support non-project costs,"£15,786,205.80"
Ministry of Defence,Ministry of Defence,01/09/2021,Design services and minor equipment purchases,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,576268,Equipment support non-project costs,"£14,675,631.66"
Ministry of Defence,Ministry of Defence,23/09/2021,Purchase of buildings and military equipment ,Defence Equipment and Support,ORGANISATION FOR JOINT ARMAMENTS CO-OPERATION EXECUTIVE ADMIN,,6000065082,Fiscal asset under construction - capital in year addition,"£13,618,651.34"
Ministry of Defence,Ministry of Defence,28/09/2021,Design services and minor equipment purchases,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,580733,Equipment support non-project costs,"£9,880,907.62"
Ministry of Defence,Ministry of Defence,20/09/2021,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,CF10 2GE,579092,Property non dwellings private finance initiative - service concession arrangement service charge,"£9,119,407.41"
Ministry of Defence,Ministry of Defence,24/09/2021,Purchase of buildings and military equipment ,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,580063,Single use military equipment asset under construction - capital in year addition,"£9,042,809.02"
Ministry of Defence,Ministry of Defence,20/09/2021,"Purchase of munitions, other inventory or fuel",Defence Equipment and Support,SHELL U.K. OIL PRODUCTS LTD,SE1 7NA,2000018284,Raw materials and consumable aviation fuel inventory purchased,"£8,985,371.81"
Ministry of Defence,Ministry of Defence,22/09/2021,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7UT,579462,Property dwellings private finance initiative - service concession arrangement service charge,"£7,139,365.17"
Ministry of Defence,Ministry of Defence,24/09/2021,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS LIMITED,SW1X 7EN,580193,Utilities consumed - electricity,"£6,745,603.46"
Ministry of Defence,Ministry of Defence,24/09/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,580298,Estate core services charge,"£6,283,884.38"
Ministry of Defence,Ministry of Defence,16/08/2021,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,14499,Monthly GPC Payment,"£5,751,975.44"
Ministry of Defence,Ministry of Defence,24/09/2021,Purchase of buildings and military equipment ,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,2208497,Single use military equipment asset under construction - capital in year addition,"£5,590,824.12"
Ministry of Defence,Ministry of Defence,28/09/2021,Purchase of buildings and military equipment ,Defence Equipment and Support,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",,2000018347,Single use military equipment asset under construction - capital in year addition,"£5,477,350.36"
Ministry of Defence,Ministry of Defence,22/09/2021,General services and support,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,579512,Defence equipment CLS/IOS service charge,"£5,458,002.46"
Ministry of Defence,Ministry of Defence,09/08/2021,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,14480,Monthly GPC Payment,"£5,130,786.20"
Ministry of Defence,Ministry of Defence,10/09/2021,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ANCALA WATER SERVICES (ESTATES) LIMITED,S75 3JR,578445,Property non dwellings private finance initiative - service concession arrangement service charge,"£4,504,118.70"
Ministry of Defence,Ministry of Defence,23/09/2021,Purchase of buildings and military equipment ,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,579634,Single use military equipment asset under construction - capital in year addition,"£4,491,472.00"
Ministry of Defence,Ministry of Defence,23/09/2021,Design services and minor equipment purchases,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,579634,Equipment support project costs,"£4,383,451.00"
Ministry of Defence,Ministry of Defence,27/09/2021,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS LIMITED,SW1X 7EN,580499,Utilities consumed - electricity,"£4,173,101.35"
Ministry of Defence,Ministry of Defence,13/08/2021,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,14496,Monthly GPC Payment,"£4,113,516.04"
Ministry of Defence,Ministry of Defence,03/09/2021,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,SEVERN TRENT SERVICES DEFENCE LIMITED,CV3 9NT,576870,Property non dwellings private finance initiative - service concession arrangement service charge,"£4,004,143.70"
Ministry of Defence,Ministry of Defence,20/09/2021,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,SEVERN TRENT SERVICES DEFENCE LIMITED,CV3 9NT,579004,Property non dwellings private finance initiative - service concession arrangement service charge,"£4,004,143.70"
Ministry of Defence,Ministry of Defence,23/09/2021,Purchase of buildings and military equipment ,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,2000018301,Single use military equipment asset under construction - capital in year addition,"£3,730,925.84"
Ministry of Defence,Ministry of Defence,09/09/2021,Purchase of buildings and military equipment ,Defence Equipment and Support,ORGANISATION FOR JOINT ARMAMENTS CO-OPERATION EXECUTIVE ADMIN,,6000064473,Fiscal asset under construction - capital in year addition,"£3,244,632.64"
Ministry of Defence,Ministry of Defence,22/09/2021,General services and support,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,2000018292,Defence equipment CLS/IOS service charge,"£3,170,901.97"
Ministry of Defence,Ministry of Defence,01/09/2021,"Purchase of munitions, other inventory or fuel",Defence Equipment and Support,BP OIL INTERNATIONAL LIMITED,E14 5NJ,2000018117,Raw materials and consumable aviation fuel inventory purchased,"£2,787,798.34"
Ministry of Defence,Ministry of Defence,23/09/2021,Design services and minor equipment purchases,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,2000018301,Equipment support project costs,"£2,750,670.16"
Ministry of Defence,Ministry of Defence,20/09/2021,Spend on Inventory - General,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,578919,Spend on Inventory - General,"£2,658,934.34"
Ministry of Defence,Ministry of Defence,27/09/2021,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,Kier Graham Defence Limited,G33 6HZ,580562,Fiscal asset under construction - capital in year addition,"£2,653,155.85"
Ministry of Defence,Ministry of Defence,20/09/2021,Design services and minor equipment purchases,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,579176,Equipment support non-project costs,"£2,602,554.23"
Ministry of Defence,Ministry of Defence,03/09/2021,Transport hire charges,Strategic Command,FORELAND SHIPPING LTD,EC3A 7BT,576921,Transport other operating lease,"£2,598,264.00"
Ministry of Defence,Ministry of Defence,24/09/2021,Purchase of buildings and military equipment ,Defence Nuclear Organisation,AWE PLC,RG7 4PR,580309,Fiscal asset under construction - capital in year addition,"£2,511,280.60"
Ministry of Defence,Ministry of Defence,24/09/2021,General services and support,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,PO3 5PQ,580162,Defence equipment CLS/IOS service charge,"£2,485,387.00"
Ministry of Defence,Ministry of Defence,10/09/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE (DEFENCE) LIMITED,BS32 4NH,6000064518,Estate + facilities management services - accommodation inventory + service,"£2,381,877.86"
Ministry of Defence,Ministry of Defence,24/09/2021,Spend on Inventory - General,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,580144,Spend on Inventory - General,"£2,363,731.89"
Ministry of Defence,Ministry of Defence,24/09/2021,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,580298,Fiscal asset under construction - capital in year addition,"£2,306,392.51"
