Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,15/12/2021,Assets under Construction,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,2000018905,SUME AUC Capital Additions,"£147,226,141.85"
Ministry of Defence,Ministry of Defence,15/12/2021,Intangibles SUME,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,2000018905,Intangible Cap Additions In Yr,"£104,075,751.95"
Ministry of Defence,Ministry of Defence,15/12/2021,Assets under Construction,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,596946,SUME AUC Capital Additions,"£62,135,853.85"
Ministry of Defence,Ministry of Defence,20/12/2021,P+M General Services,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,598095,P+M General Services,"£15,917,206.81"
Ministry of Defence,Ministry of Defence,08/12/2021,Heating Oil+Utilities Consumed,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS LIMITED,SW1X 7EN,595488,Electricity,"£14,229,884.63"
Ministry of Defence,Ministry of Defence,20/12/2021,Raw Materials + Consumables,Defence Equipment and Support,MOTOR OIL (HELLAS) CORINTH REFINERIES S.A,,2000018956,RMC Oil Fuel & Lubricants,"£13,884,510.01"
Ministry of Defence,Ministry of Defence,20/12/2021,Assets under Construction,Defence Equipment and Support,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",,2000018947,SUME AUC Capital Additions,"£13,163,731.72"
Ministry of Defence,Ministry of Defence,15/12/2021,Assets under Construction,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,596897,SUME AUC Capital Additions,"£11,591,382.95"
Ministry of Defence,Ministry of Defence,20 Dec 2021,Assets under Construction,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,598272,SUME AUC Capital Additions,"£11,314,407.98"
Ministry of Defence,Ministry of Defence,08/12/2021,Assets under Construction,Defence Equipment and Support,LOCKHEED MARTIN UK LIMITED,EC4N 6EU,595205,Fiscal AUC Capital Additions,"£10,676,774.40"
Ministry of Defence,Ministry of Defence,16/12/2021,Fuels Non Utilities Consumed,Defence Equipment and Support,KUWAIT PETROLEUM INTERNATIONAL AVIATION COMPANY (UK) LTD,GU21 5BH,2000018921,Aviation Fuel Consumed,"£10,405,822.50"
Ministry of Defence,Ministry of Defence,20/12/2021,P+M General Services,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,598328,P+M General Services,"£10,113,281.47"
Ministry of Defence,Ministry of Defence,15/12/2021,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,CF10 2GE,597164,Prop NonDw SCA Srv Chrg+Off BS,"£8,874,168.88"
Ministry of Defence,Ministry of Defence,20/12/2021,Fuels Non Utilities Consumed,Defence Equipment and Support,MOTOR OIL (HELLAS) CORINTH REFINERIES S.A,,2000018957,Aviation Fuel Consumed,"£8,626,211.82"
Ministry of Defence,Ministry of Defence,10/12/2021,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,16499,Monthly GPC Payment,"£8,421,132.36"
Ministry of Defence,Ministry of Defence,02/12/2021,Raw Materials + Consumables,Defence Equipment and Support,VITOL AVIATION UK LTD,SW1E 5LB,2000018821,RMC Oil Fuel & Lubricants,"£8,290,989.54"
Ministry of Defence,Ministry of Defence,01/12/2021,P+M General Services,Defence Equipment and Support,ORGANISATION FOR JOINT ARMAMENTS CO-OPERATION EXECUTIVE ADMIN,,6000066415,P+M General Services,"£8,241,372.86"
Ministry of Defence,Ministry of Defence,06/12/2021,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,16484,Monthly GPC Payment,"£8,104,758.24"
Ministry of Defence,Ministry of Defence,16/12/2021,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7UT,597513,Prop Dw SCA Serv Chrge+ Off BS,"£7,163,404.27"
