Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,22/11/2021,Assets under Construction,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,591893,SUME AUC Capital Additions,"£45,316,495.75"
Ministry of Defence,Ministry of Defence,08/11/2021,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,VOLKERSTEVIN LIMITED,PR2 5PE,588949,Fiscal AUC Capital Additions,"£28,515,977.26"
Ministry of Defence,Ministry of Defence,29/11/2021,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,593400,Prop Dw SCA Serv Chrge+ Off BS,"£28,398,503.99"
Ministry of Defence,Ministry of Defence,03/11/2021,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,587820,Prop Dw SCA Serv Chrge+ Off BS,"£25,417,572.03"
Ministry of Defence,Ministry of Defence,29/11/2021,P+M General Services,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,593437,P+M General Services,"£15,213,028.71"
Ministry of Defence,Ministry of Defence,12/11/2021,Raw Materials + Consumables,Defence Equipment and Support,UNIOIL SUPPLY A/S,,2000018687,RMC Oil Fuel & Lubricants,"£13,231,132.83"
Ministry of Defence,Ministry of Defence,15/11/2021,Heating Oil+Utilities Consumed,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS LIMITED,SW1X 7EN,590467,Electricity,"£12,933,031.02"
Ministry of Defence,Ministry of Defence,23/11/2021,Assets under Construction,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,592284,SUME AUC Capital Additions,"£10,314,886.17"
Ministry of Defence,Ministry of Defence,16/11/2021,Assets under Construction,Defence Equipment and Support,AIRBUS HELICOPTERS UK LIMITED,OX5 1QZ,6000066109,Fiscal AUC Capital Additions,"£9,894,482.08"
Ministry of Defence,Ministry of Defence,08/11/2021,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,14613,Monthly GPC Payment,"£9,137,620.25"
Ministry of Defence,Ministry of Defence,22/11/2021,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,CF10 2GE,592035,Prop NonDw SCA Srv Chrg+Off BS,"£8,793,704.67"
Ministry of Defence,Ministry of Defence,26/11/2021,P+M General Services,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,593090,P+M General Services,"£8,624,084.69"
Ministry of Defence,Ministry of Defence,29/11/2021,P+M General Services,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,593290,P+M General Services,"£8,395,359.19"
Ministry of Defence,Ministry of Defence,26/11/2021,Assets under Construction,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,593090,SUME AUC Capital Additions,"£8,369,737.04"
Ministry of Defence,Ministry of Defence,25/11/2021,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,592727,Estate+Facilities Mgmnt Servs,"£7,238,898.86"
Ministry of Defence,Ministry of Defence,24/11/2021,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7UT,592499,Prop Dw SCA Serv Chrge+ Off BS,"£7,131,304.35"
Ministry of Defence,Ministry of Defence,09/11/2021,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,14617,Monthly GPC Payment,"£7,040,348.31"
