Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,05/01/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,599524,Prop Dw SCA Serv Chrge+ Off BS,"£28,381,319.12"
Ministry of Defence,Ministry of Defence,27/01/2022,P+M General Services,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,604130,P+M General Services,"£27,011,876.28"
Ministry of Defence,Ministry of Defence,24/01/2022,Assets under Construction,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,603171,SUME AUC Capital Additions,"£24,829,849.61"
Ministry of Defence,Ministry of Defence,28/01/2022,Heating Oil+Utilities Consumed,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS LIMITED,SW1X 7EN,604495,Electricity,"£13,381,584.38"
Ministry of Defence,Ministry of Defence,05/01/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,599482,Estate+Facilities Mgmnt Servs,"£13,317,652.09"
Ministry of Defence,Ministry of Defence,28/01/2022,P+M General Services,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,604287,P+M General Services,"£9,637,067.30"
Ministry of Defence,Ministry of Defence,27/01/2022,P+M General Services,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,603975,P+M General Services,"£8,921,734.20"
Ministry of Defence,Ministry of Defence,21/01/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,CF10 2GE,602941,Prop NonDw SCA Srv Chrg+Off BS,"£8,873,179.24"
Ministry of Defence,Ministry of Defence,28/01/2022,Assets under Construction,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,604287,SUME AUC Capital Additions,"£8,204,761.51"
Ministry of Defence,Ministry of Defence,28/01/2022,Fuels Non Utilities Consumed,Defence Equipment and Support,HARVEST ENERGY AVIATION LIMITED,KT13 0TJ,2000019155,Aviation Fuel Consumed,"£7,654,154.40"
Ministry of Defence,Ministry of Defence,20/01/2022,P+M General Services,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,602587,P+M General Services,"£7,385,392.66"
Ministry of Defence,Ministry of Defence,13/01/2022,Heating Oil+Utilities Consumed,DEFENCE INFRASTRUCTURE ORGANISATION,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,601054,Gas,"£7,352,848.55"
Ministry of Defence,Ministry of Defence,25/01/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7UT,603409,Prop Dw SCA Serv Chrge+ Off BS,"£7,124,907.29"
Ministry of Defence,Ministry of Defence,21/01/2022,Assets under Construction,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,602859,SUME AUC Capital Additions,"£6,406,983.00"
Ministry of Defence,Ministry of Defence,20/01/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,602587,CL MonthEnd Accruals Balance,"£6,264,226.97"
Ministry of Defence,Ministry of Defence,13/01/2022],Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,16567,Monthly GPC Payment,"£5,426,953.01"
Ministry of Defence,Ministry of Defence,25/01/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,603612,Estate+Facilities Mgmnt Servs,"£5,415,033.91"
Ministry of Defence,Ministry of Defence,18/01/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,602102,Estate+Facilities Mgmnt Servs,"£5,262,742.74"
Ministry of Defence,Ministry of Defence,18/01/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,601912,CL MonthEnd Accruals Balance,"£4,709,877.06"
Ministry of Defence,Ministry of Defence,05/01/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,599482,Fiscal AUC Capital Additions,"£4,663,577.45"
Ministry of Defence,Ministry of Defence,12/01/2022,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,16565,Monthly GPC Payment,"£4,612,303.16"
Ministry of Defence,Ministry of Defence,19/01/2022,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,16575,Monthly GPC Payment,"£4,300,318.91"
Ministry of Defence,Ministry of Defence,06/01/2022,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,16554,Monthly GPC Payment,"£3,864,252.86"
Ministry of Defence,Ministry of Defence,24/01/2022,Assets under Construction,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,6000067361,SUME AUC Capital Additions,"£3,791,580.49"
