Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,17/04/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,478256,Single use military equipment asset under construction - capital in year addition,"£71,936,250.56"
Ministry of Defence,Ministry of Defence,03/04/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,475624,Property dwellings private finance initiative - service concession arrangement service charge,"£24,552,621.54"
Ministry of Defence,Ministry of Defence,03/04/2020,Development costs for military equipment,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,475972,Intangible single use military equipment asset  - in year capital addition,"£14,301,314.63"
Ministry of Defence,Ministry of Defence,17/04/2020,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,478177,Fiscal asset under construction - capital in year addition,"£10,591,518.52"
Ministry of Defence,Ministry of Defence,17/04/2020,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,478026,Utilities consumed - gas,"£9,816,272.84"
Ministry of Defence,Ministry of Defence,20/04/2020,Government Procurement Card,Ministry of Defence,Royal Bank of Scotland,,13660,Monthly GPC Payment,"£9,239,039.77"
Ministry of Defence,Ministry of Defence,03/04/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES (HOUSING) LIMITED,WV3 0SR,475635,Estate management,"£8,741,291.14"
Ministry of Defence,Ministry of Defence,07/04/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,CF10 2GE,476733,Property non dwellings private finance initiative - service concession arrangement service charge,"£8,165,658.47"
Ministry of Defence,Ministry of Defence,07/04/2020,"Purchase of munitions, other inventory or fuel",Defence Equipment and Support,KUWAIT PETROLEUM INTERNATIONAL AVIATION COMPANY (UK) LTD,GU21 5BH,2000014131,Raw materials and consumable aviation fuel inventory purchased,"£7,627,430.71"
Ministry of Defence,Ministry of Defence,21/04/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7UT,478614,Property dwellings private finance initiative - service concession arrangement service charge,"£7,196,152.78"
Ministry of Defence,Ministry of Defence,17/04/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES (HOUSING) LIMITED,WV3 0SR,478180,Works - estate management,"£7,005,729.03"
Ministry of Defence,Ministry of Defence,07/04/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,476605,Single use military equipment asset under construction - capital in year addition,"£6,746,207.00"
Ministry of Defence,Ministry of Defence,16/04/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,477934,Estate management,"£6,591,958.37"
Ministry of Defence,Ministry of Defence,24/04/2020,"Purchase of munitions, other inventory or fuel",Defence Equipment and Support,KUWAIT PETROLEUM INTERNATIONAL AVIATION COMPANY (UK) LTD,GU21 5BH,2000014252,Raw materials and consumable aviation fuel inventory purchased,"£6,568,931.54"
Ministry of Defence,Ministry of Defence,16/04/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,477977,Estate core services charge,"£6,200,674.13"
Ministry of Defence,Ministry of Defence,16/04/2020,Estate management,Army Command,HOLDFAST TRAINING SERVICES LIMITED,W1U 1QX,477871,Estate + facilities management services - accommodation inventory + service,"£6,184,816.61"
Ministry of Defence,Ministry of Defence,17/04/2020,Fees for professional services,Army Command,CAPITA BUSINESS SERVICES LTD,DL1 9HN,478053,Fees for professional services excluding legal fees,"£5,790,151.79"
Ministry of Defence,Ministry of Defence,17/04/2020,General services and support,Defence Equipment and Support,ROLLS-ROYCE PLC,BS34 7QE,6000055138,Defence equipment CLS/IOS service charge,"£5,541,140.52"
Ministry of Defence,Ministry of Defence,23/04/2020,Purchase of inventory and services ,Head Office and Corporate Services,MORGAN STANLEY & CO. INTERNATIONAL PLC,EC14 4QA,2000014227,Cost of other material consumed,"£5,501,152.17"
Ministry of Defence,Ministry of Defence,06/04/2020,Government Procurement Card,Ministry of Defence,Royal Bank of Scotland,,13653,Monthly GPC Payment,"£5,440,023.15"
Ministry of Defence,Ministry of Defence,21/04/2020,Government Procurement Card,Ministry of Defence,Royal Bank of Scotland,,13661,Monthly GPC Payment,"£5,397,637.40"
Ministry of Defence,Ministry of Defence,14/04/2020,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,Kier Graham Defence Limited,SG19 2BD,477512,Fiscal asset under construction - capital in year addition,"£5,384,031.53"
Ministry of Defence,Ministry of Defence,14/04/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,477353,Works services - excluding United States forces/NATO + married quarters,"£5,351,201.34"
Ministry of Defence,Ministry of Defence,08/04/2020,General services and support,Defence Equipment and Support,AQUILA AIR TRAFFIC MANAGEMENT SERVICES LIMITED,PO15 7FL,476924,Defence equipment CLS/IOS service charge,"£5,074,602.26"
Ministry of Defence,Ministry of Defence,17/04/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,6000055123,Single use military equipment asset under construction - capital in year addition,"£4,673,212.33"
Ministry of Defence,Ministry of Defence,23/04/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ANCALA WATER SERVICES (ESTATES) LIMITED,S75 3JR,479170,Property non dwellings private finance initiative - service concession arrangement service charge,"£4,176,874.66"
Ministry of Defence,Ministry of Defence,17/04/2020,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES (HOUSING) LIMITED,WV3 0SR,478180,Fiscal asset under construction - capital in year addition,"£4,122,494.12"
Ministry of Defence,Ministry of Defence,29/04/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,SEVERN TRENT SERVICES DEFENCE LIMITED,CV3 9NT,480132,Property non dwellings private finance initiative - service concession arrangement service charge,"£4,068,780.42"
Ministry of Defence,Ministry of Defence,22/04/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,478906,Estate core services charge,"£4,000,442.72"
Ministry of Defence,Ministry of Defence,24/04/2020,Transport hire charges,Army Command,BABCOCK LAND LIMITED,BH23 6BS,10368,Transport other operating lease,"£3,931,829.30"
Ministry of Defence,Ministry of Defence,29/04/2020,Fees for professional services,Head Office and Corporate Services,CSC COMPUTER SCIENCES LIMITED.,GU11 1PZ,480097,Fees for professional services excluding legal fees,"£3,916,270.98"
Ministry of Defence,Ministry of Defence,03/04/2020,IT and communication services,Joint Forces Command,BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,PR1 1BA,475809,Information technology services,"£3,849,296.97"
Ministry of Defence,Ministry of Defence,27/04/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,479524,Works services - excluding United States forces/NATO + married quarters,"£3,822,377.67"
Ministry of Defence,Ministry of Defence,20/04/2020,Purchase of inventory and services ,Head Office and Corporate Services,GOLDMAN SACHS INTERNATIONAL,EC4A 2BB,2000014198,Cost of other material consumed,"£3,761,808.93"
Ministry of Defence,Ministry of Defence,03/04/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,ATLAS ELEKTRONIK UK LIMITED,DT2 8ZB,475952,Fiscal asset under construction - capital in year addition,"£3,675,438.10"
Ministry of Defence,Ministry of Defence,03/04/2020,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,GALLIFORD TRY BUILDING 2014 LIMITED,G33 1AP,476061,Fiscal asset under construction - capital in year addition,"£3,434,552.40"
Ministry of Defence,Ministry of Defence,22/04/2020,Design services and minor equipment purchases,Defence Equipment and Support,ORGANISATION FOR JOINT ARMAMENTS CO-OPERATION EXECUTIVE ADMIN,,6000055184,Equipment support non-project costs,"£3,236,864.98"
Ministry of Defence,Ministry of Defence,03/04/2020,Rental of plant and machinery,Defence Equipment and Support,ALC (SPC) LIMITED,OX25 2LD,475620,Plant + machinery private finance initiative - service concession arrangements service charge,"£3,192,469.67"
Ministry of Defence,Ministry of Defence,14/04/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,477420,Property dwellings private finance initiative - service concession arrangement service charge,"£3,160,910.49"
Ministry of Defence,Ministry of Defence,03/04/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,475632,Works services - excluding United States forces/NATO + married quarters,"£3,062,495.28"
Ministry of Defence,Ministry of Defence,27/04/2020,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,479524,Fiscal asset under construction - capital in year addition,"£3,054,668.43"
Ministry of Defence,Ministry of Defence,21/04/2020,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,BALFOUR BEATTY REGIONAL CONSTRUCTION LIMITED,PE37 7XD,478612,Fiscal asset under construction - capital in year addition,"£3,035,510.90"
Ministry of Defence,Ministry of Defence,03/04/2020,General services and support,Defence Equipment and Support,LEONARDO MW LTD,BA20 2YB,476267,Defence equipment CLS/IOS service charge,"£3,032,788.00"
Ministry of Defence,Ministry of Defence,29/04/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,INTERSERVE (DEFENCE) LTD,BS32 4NH,6000055333,Estate management,"£3,015,491.75"
Ministry of Defence,Ministry of Defence,03/04/2020,IT and communication services,Air Command,ATOS IT SERVICES UK LIMITED,WV10 6UH,475756,Computer equipment costing below the capitalisation threshold,"£2,953,325.92"
Ministry of Defence,Ministry of Defence,03/04/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,RAFAEL ADVANCED DEFENSE SYSTEMS LTD,,3206453,Single use military equipment asset under construction - capital in year addition,"£2,951,745.60"
Ministry of Defence,Ministry of Defence,21/04/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,ARAMARK DEFENCE SERVICES LIMITED,WV3 0SR,478577,Estate management,"£2,806,497.09"
Ministry of Defence,Ministry of Defence,14/04/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,477353,Works - estate management,"£2,803,660.25"
Ministry of Defence,Ministry of Defence,08/04/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,476947,Works services - excluding United States forces/NATO + married quarters,"£2,772,185.81"
Ministry of Defence,Ministry of Defence,17/04/2020,Development costs for military equipment,Defence Equipment and Support,RAFAEL ADVANCED DEFENSE SYSTEMS LTD,,3206494,Intangible single use military equipment asset  - in year capital addition,"£2,759,293.20"
Ministry of Defence,Ministry of Defence,28/04/2020,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,VOLKERSTEVIN LIMITED,PR2 5PE,479759,Fiscal asset under construction - capital in year addition,"£2,755,277.04"
Ministry of Defence,Ministry of Defence,20/04/2020,Spend on Inventory - General,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,478455,Spend on Inventory - General,"£2,733,935.04"
Ministry of Defence,Ministry of Defence,17/04/2020,Fuel for military use,Defence Equipment and Support,CERTAS ENERGY UK LIMITED,WA3 6XG,478145,Cost of ground diesel fuel consumed,"£2,595,474.91"
Ministry of Defence,Ministry of Defence,03/04/2020,Design services and minor equipment purchases,Defence Equipment and Support,THALES UK LIMITED,RH10 9HA,475713,Equipment support non-project costs,"£2,564,420.49"
Ministry of Defence,Ministry of Defence,03/04/2020,Transport hire charges,Defence Equipment and Support,FORELAND SHIPPING LTD,EC3A 7BT,475704,Transport other operating lease,"£2,541,824.00"
Ministry of Defence,Ministry of Defence,07/04/2020,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,VOLKERFITZPATRICK LIMITED,EN11 9BX,476622,Fiscal asset under construction - capital in year addition,"£2,523,748.76"
Ministry of Defence,Ministry of Defence,16/04/2020,Spend on Inventory - General,Defence Equipment and Support,BABCOCK DSG LTD,SP11 8HT,477941,Spend on Inventory - General,"£2,488,066.71"
Ministry of Defence,Ministry of Defence,23/04/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES (HOUSING) LIMITED,WV3 0SR,479110,Works - estate management,"£2,461,237.45"
Ministry of Defence,Ministry of Defence,03/04/2020,Property leases,Joint Forces Command,DEFENCE MANAGEMENT (WATCHFIELD) LIMITED,SN6 8TS,475970,Property non dwellings private finance initiative - service concession arrangement service charge,"£2,445,382.42"
