Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,13/04/2022,Assets under Construction,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,2000019794,SUME AUC Capital Additions,"£79,473,718.59"
Ministry of Defence,Ministry of Defence,21/04/2022,Assets under Construction,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,620944,SUME AUC Capital Additions,"£77,467,624.98"
Ministry of Defence,Ministry of Defence,28/04/2022,Assets under Construction,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000019879,SUME AUC Capital Additions,"£45,875,750.67"
Ministry of Defence,Ministry of Defence,05/04/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,618210,Prop Dw SCA Serv Chrge+ Off BS,"£29,181,334.37"
Ministry of Defence,Ministry of Defence,05/04/2022,Telecomms + IT non capital,Strategic Command,BOXXE LIMITED,YO31 7RE,617529,IT+Comms Rental Payments,"£18,027,055.19"
Ministry of Defence,Ministry of Defence,19/04/2022,Heating Oil+Utilities Consumed,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS LIMITED,SW1X 7EN,620277,Electricity,"£16,670,358.35"
Ministry of Defence,Ministry of Defence,27/04/2022,Assets under Construction,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,621755,SUME AUC Capital Additions,"£15,298,424.60"
Ministry of Defence,Ministry of Defence,26/04/2022,P+M General Services,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,621638,P+M General Services,"£14,964,263.83"
Ministry of Defence,Ministry of Defence,12/04/2022,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,EMP 16755,Monthly GPC Payment,"£13,007,377.51"
Ministry of Defence,Ministry of Defence,05/04/2022,Raw Materials + Consumables,Defence Equipment and Support,KUWAIT PETROLEUM INTERNATIONAL AVIATION COMPANY (UK) LTD,GU21 5BH,2000019682,RMC Oil Fuel & Lubricants,"£12,801,816.53"
Ministry of Defence,Ministry of Defence,21/04/2022,Intangibles SUME,Defence Nuclear Organisation,BAE SYSTEMS MARINE LTD,LA14 1AF,620729,Intangible Cap Additions In Yr,"£12,442,656.86"
Ministry of Defence,Ministry of Defence,21/04/2022,Assets under Construction,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,6000069007,SUME AUC Capital Additions,"£11,654,483.10"
Ministry of Defence,Ministry of Defence,04/04/2022,Raw Materials + Consumables,Defence Equipment and Support,VITOL AVIATION UK LTD,SW1E 5LB,2000019622,RMC Oil Fuel & Lubricants,"£11,318,533.52"
Ministry of Defence,Ministry of Defence,08/04/2022,Assets under Construction,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,2209264,SUME AUC Capital Additions,"£11,008,870.49"
Ministry of Defence,Ministry of Defence,21/04/2022,Defence Equip General Services,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,620757,Defence Eqpt Serv Chrge+Off BS,"£10,812,178.12"
Ministry of Defence,Ministry of Defence,08/04/2022,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,EMP 16747,Monthly GPC Payment,"£9,086,874.44"
Ministry of Defence,Ministry of Defence,06/04/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,CF10 2GE,618359,Prop NonDw SCA Srv Chrg+Off BS,"£8,871,838.28"
Ministry of Defence,Ministry of Defence,05/04/2022,Assets under Construction,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,618060,Fiscal AUC Capital Additions,"£8,596,584.66"
Ministry of Defence,Ministry of Defence,11/04/2022,Environmental Pmnts,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY LIMITED,G74 5PG,619424,Environmental Pmnts,"£7,881,620.00"
Ministry of Defence,Ministry of Defence,21/04/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7UT,620903,Prop Dw SCA Serv Chrge+ Off BS,"£7,553,924.11"
Ministry of Defence,Ministry of Defence,26/04/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,VIVO DEFENCE SERVICES LIMITED,NE12 8EX,621407,Estate+Facilities Mgmnt Servs,"£6,496,564.97"
Ministry of Defence,Ministry of Defence,21/04/2022,Defence Equip General Services,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,2000019832,Defence Eqpt Serv Chrge+Off BS,"£5,678,157.71"
Ministry of Defence,Ministry of Defence,07/04/2022,Assets under Construction,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,618736,SUME AUC Capital Additions,"£5,662,745.00"
Ministry of Defence,Ministry of Defence,06/04/2022,Assets under Construction,Navy Command,DAMEN WORKBOATS B.V.,,3208931,SUME AUC Capital Additions,"£5,651,228.00"
Ministry of Defence,Ministry of Defence,12/04/2022,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,EMP 16754,Monthly GPC Payment,"£5,497,023.63"
Ministry of Defence,Ministry of Defence,04 Apr 2022,Raw Materials + Consumables,Defence Equipment and Support,MOTOR OIL (HELLAS) CORINTH REFINERIES S.A,,2000019621,RMC Oil Fuel & Lubricants,"£5,332,864.20"
Ministry of Defence,Ministry of Defence,08/04/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,619120,Fiscal AUC Capital Additions,"£5,311,232.88"
Ministry of Defence,Ministry of Defence,08/04/2022,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,EMP 16746,Monthly GPC Payment,"£5,171,869.03"
Ministry of Defence,Ministry of Defence,07/04/2022,Assets under Construction,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,2000019722,SUME AUC Capital Additions,"£5,089,968.68"
Ministry of Defence,Ministry of Defence,25/04/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,621283,CL MonthEnd Accruals Balance,"£4,920,463.23"
Ministry of Defence,Ministry of Defence,20/04/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,Kier Graham Defence Limited,G33 6HZ,620569,Fiscal AUC Capital Additions,"£4,644,941.06"
Ministry of Defence,Ministry of Defence,07/04/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,618834,CL MonthEnd Accruals Balance,"£4,488,289.75"
