Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,18/02/2022,Assets under Construction,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,608446,SUME AUC Capital Additions,"£32,892,593.00"
Ministry of Defence,Ministry of Defence,02/02/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,604824,Prop Dw SCA Serv Chrge+ Off BS,"£28,098,975.10"
Ministry of Defence,Ministry of Defence,17/02/2022,Raw Materials + Consumables,Defence Equipment and Support,MOTOR OIL (HELLAS) CORINTH REFINERIES S.A,,2000019278,RMC Oil Fuel & Lubricants,"£16,181,588.12"
Ministry of Defence,Ministry of Defence,18/02/2022,Heating Oil+Utilities Consumed,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS LIMITED,SW1X 7EN,608439,Electricity,"£14,342,259.36"
Ministry of Defence,Ministry of Defence,17/02/2022,P+M General Services,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,608186,P+M General Services,"£12,532,569.27"
Ministry of Defence,Ministry of Defence,23/02/2022,P+M General Services,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,609339,P+M General Services,"£12,305,740.74"
Ministry of Defence,Ministry of Defence,14/02/2022,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,EMP 16624,Monthly GPC Payment,"£8,962,995.35"
Ministry of Defence,Ministry of Defence,18/02/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,CF10 2GE,608600,Prop NonDw SCA Srv Chrg+Off BS,"£8,875,469.69"
Ministry of Defence,Ministry of Defence,23/02/2022,Assets under Construction,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,609339,SUME AUC Capital Additions,"£8,474,524.54"
Ministry of Defence,Ministry of Defence,21 Feb 2022,Assets under Construction,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,6000067805,SUME AUC Capital Additions,"£8,157,092.21"
Ministry of Defence,Ministry of Defence,10/02/2022,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,EMP 16618,Monthly GPC Payment,"£7,755,844.69"
Ministry of Defence,Ministry of Defence,01/02/2022,P+M General Services,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,604618,P+M General Services,"£7,642,802.81"
Ministry of Defence,Ministry of Defence,15/02/2022,Heating Oil+Utilities Consumed,DEFENCE INFRASTRUCTURE ORGANISATION,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,607583,Gas,"£7,533,914.79"
Ministry of Defence,Ministry of Defence,17/02/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7UT,608165,Prop Dw SCA Serv Chrge+ Off BS,"£7,123,700.08"
Ministry of Defence,Ministry of Defence,15/02/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,607661,Estate+Facilities Mgmnt Servs,"£6,826,390.49"
Ministry of Defence,Ministry of Defence,15/02/2022,P+M General Services,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000019257,P+M General Services,"£6,477,739.38"
Ministry of Defence,Ministry of Defence,10/02/2022,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,EMP 16617,Monthly GPC Payment,"£6,163,863.38"
Ministry of Defence,Ministry of Defence,21/02/2022,Assets under Construction,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,608789,SUME AUC Capital Additions,"£6,103,276.40"
Ministry of Defence,Ministry of Defence,15/02/2022,Raw Materials + Consumables,Defence Equipment and Support,BP Singapore Pte Limited,,2000019264,RMC Oil Fuel & Lubricants,"£5,539,440.81"
Ministry of Defence,Ministry of Defence,03/02/2022,Defence Equip General Services,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,605425,Defence Eqpt Serv Chrge+Off BS,"£5,458,002.46"
Ministry of Defence,Ministry of Defence,09/02/2022,Defence Equip General Services,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,606409,Defence Eqpt Serv Chrge+Off BS,"£5,458,002.46"
Ministry of Defence,Ministry of Defence,11/02/2022,Defence Equip General Services,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,607168,Defence Eqpt Serv Chrge+Off BS,"£5,458,002.46"
Ministry of Defence,Ministry of Defence,01/02/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,604618,CL MonthEnd Accruals Balance,"£5,008,754.93"
Ministry of Defence,Ministry of Defence,10/02/2022,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,EMP 16620,Monthly GPC Payment,"£4,969,159.04"
Ministry of Defence,Ministry of Defence,11/02/2022,Intangibles SUME,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000019239,Intangible Cap Additions In Yr,"£4,714,130.21"
Ministry of Defence,Ministry of Defence,01/02/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,ANCALA WATER SERVICES (ESTATES) LIMITED,S75 3JR,604711,Prop NonDw SCA Srv Chrg+Off BS,"£4,676,165.65"
Ministry of Defence,Ministry of Defence,23/02/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,ANCALA WATER SERVICES (ESTATES) LIMITED,S75 3JR,609371,Prop NonDw SCA Srv Chrg+Off BS,"£4,636,396.53"
Ministry of Defence,Ministry of Defence,18/02/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,Kier Graham Defence Limited,G33 6HZ,608682,Fiscal AUC Capital Additions,"£4,467,789.38"
Ministry of Defence,Ministry of Defence,24/02/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,609601,Estate+Facilities Mgmnt Servs,"£4,151,096.69"
Ministry of Defence,Ministry of Defence,08/02/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,SEVERN TRENT SERVICES DEFENCE LIMITED,CV3 9NT,606249,Prop NonDw SCA Srv Chrg+Off BS,"£4,041,958.60"
Ministry of Defence,Ministry of Defence,21/02/2022,Assets under Construction,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000019283,SUME AUC Capital Additions,"£3,772,963.02"
