Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,12/07/2022,Telecomms + IT non capital,Strategic Command,BOXXE LIMITED,YO31 7RE,635295,IT+Comms Rental Payments,"£67,645,014.65"
Ministry of Defence,Ministry of Defence,20/07/2022,Assets under Construction,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,636633,SUME AUC Capital Additions,"£48,521,064.48"
Ministry of Defence,Ministry of Defence,11/07/2022,Raw Materials + Consumables,Defence Equipment and Support,KUWAIT PETROLEUM INTERNATIONAL AVIATION COMPANY (UK) LTD,GU21 5BH,2000020426,RMC Oil Fuel & Lubricants,"£34,140,190.12"
Ministry of Defence,Ministry of Defence,27/07/2022,Intangibles SUME,Defence Equipment and Support,OCCAR-EA,,6000071099,Intangible Cap Additions In Yr,"£30,684,561.40"
Ministry of Defence,Ministry of Defence,04/07/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,633667,Prop Dw SCA Serv Chrge+ Off BS,"£29,241,312.98"
Ministry of Defence,Ministry of Defence,14/07/2022,Raw Materials + Consumables,Defence Equipment and Support,MOTOR OIL (HELLAS) CORINTH REFINERIES S.A,,2000020465,RMC Oil Fuel & Lubricants,"£26,970,991.75"
Ministry of Defence,Ministry of Defence,18/07/2022,Heating Oil+Utilities Consumed,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS LIMITED,SW1X 7EN,636336,Electricity,"£17,388,981.53"
Ministry of Defence,Ministry of Defence,21/07/2022,Assets under Construction,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000020503,SUME AUC Capital Additions,"£17,388,684.20"
Ministry of Defence,Ministry of Defence,26/07/2022,P+M General Services,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,637657,P+M General Services,"£17,068,102.08"
Ministry of Defence,Ministry of Defence,27/07/2022,Assets under Construction,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,637909,SUME AUC Capital Additions,"£15,683,983.76"
Ministry of Defence,Ministry of Defence,27/07/2022,P+M General Services,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,637909,P+M General Services,"£14,437,165.86"
Ministry of Defence,Ministry of Defence,22/07/2022,Assets under Construction,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,6000071050,SUME AUC Capital Additions,"£12,928,721.25"
Ministry of Defence,Ministry of Defence,05/07/2022,Raw Materials + Consumables,Defence Equipment and Support,MOTOR OIL (HELLAS) CORINTH REFINERIES S.A,,2000020398,RMC Oil Fuel & Lubricants,"£11,092,058.01"
Ministry of Defence,Ministry of Defence,11/07/2022,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,16956,Monthly GPC Payment,"£10,218,070.23"
Ministry of Defence,Ministry of Defence,13/07/2022,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,16958,Monthly GPC Payment,"£9,318,290.14"
Ministry of Defence,Ministry of Defence,08/07/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,CF10 2GE,634687,Prop NonDw SCA Srv Chrg+Off BS,"£9,159,023.31"
Ministry of Defence,Ministry of Defence,19/07/2022,Assets under Construction,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000020485,SUME AUC Capital Additions,"£8,850,680.07"
Ministry of Defence,Ministry of Defence,18/07/2022,Heating Oil+Utilities Consumed,DEFENCE INFRASTRUCTURE ORGANISATION,TOTALENERGIES GAS & POWER LIMITED,RH1 1RX,636328,Gas,"£8,485,851.05"
Ministry of Defence,Ministry of Defence,26/07/2022,P+M General Services,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,637760,P+M General Services,"£8,094,113.99"
Ministry of Defence,Ministry of Defence,27/07/2022,Intangibles SUME,Defence Equipment and Support,OCCAR-EA,,3209314,Intangible Cap Additions In Yr,"£7,641,725.56"
Ministry of Defence,Ministry of Defence,27/07/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,VIVO DEFENCE SERVICES LIMITED,NE12 8EX,638000,Estate+Facilities Mgmnt Servs,"£7,120,431.83"
Ministry of Defence,Ministry of Defence,22/07/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,637270,Fiscal AUC Capital Additions,"£6,568,264.11"
Ministry of Defence,Ministry of Defence,21/07/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7UT,636974,Prop Dw SCA Serv Chrge+ Off BS,"£6,105,400.28"
Ministry of Defence,Ministry of Defence,06/07/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,VINCI CONSTRUCTION UK LIMITED,WD24 4WW,634121,Estate+Facilities Mgmnt Servs,"£5,739,920.79"
Ministry of Defence,Ministry of Defence,28/07/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,VINCI CONSTRUCTION UK LIMITED,WD24 4WW,638311,Estate+Facilities Mgmnt Servs,"£5,721,954.83"
Ministry of Defence,Ministry of Defence,08/07/2022,Defence Equip General Services,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,634746,Defence Eqpt Serv Chrge+Off BS,"£5,474,844.05"
Ministry of Defence,Ministry of Defence,26/07/2022,Assets under Construction,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,637657,SUME AUC Capital Additions,"£5,394,286.92"
Ministry of Defence,Ministry of Defence,01/07/2022,Heating Oil+Utilities Consumed,DEFENCE INFRASTRUCTURE ORGANISATION,TOTALENERGIES GAS & POWER LIMITED,RH1 1RX,633009,Gas,"£5,332,544.92"
Ministry of Defence,Ministry of Defence,15/07/2022,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,16966,Monthly GPC Payment,"£4,931,774.89"
Ministry of Defence,Ministry of Defence,21/07/2022,Telecomms + IT non capital,Strategic Command,BOXXE LIMITED,YO31 7RE,637019,IT+Comms Rental Payments,"£4,806,852.45"
Ministry of Defence,Ministry of Defence,12/07/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,635150,CL MonthEnd Accruals Balance,"£4,800,705.87"
Ministry of Defence,Ministry of Defence,18/07/2022,Intangibles SUME,Defence Nuclear Organisation,BAE SYSTEMS MARINE LTD,LA14 1AF,636343,Intangible Cap Additions In Yr,"£4,709,467.68"
Ministry of Defence,Ministry of Defence,05/07/2022,P+M General Services,Strategic Command,MET OFFICE,EX1 3PB,633907,P+M General Services,"£4,680,936.00"
Ministry of Defence,Ministry of Defence,21/07/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,636992,CL MonthEnd Accruals Balance,"£4,482,507.14"
Ministry of Defence,Ministry of Defence,11/07/2022,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,16955,Monthly GPC Payment,"£4,373,070.70"
Ministry of Defence,Ministry of Defence,13/07/2022,Assets under Construction,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000020452,SUME AUC Capital Additions,"£3,909,982.13"
Ministry of Defence,Ministry of Defence,01/07/2022,Intangibles SUME,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000020372,Intangible Cap Additions In Yr,"£3,838,366.88"
Ministry of Defence,Ministry of Defence,26/07/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,637760,CL MonthEnd Accruals Balance,"£3,738,872.81"
Ministry of Defence,Ministry of Defence,04/07/2022,Telecomms + IT non capital,Head Office and Corporate Services,BOURNE VALLEY SYSTEMS LTD,SP11 6DT,633405,IT+Comms Rental Payments,"£3,487,663.72"
Ministry of Defence,Ministry of Defence,07/07/2022,P+M General Services,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,2000020411,P+M General Services,"£3,192,503.25"
Ministry of Defence,Ministry of Defence,07/07/2022,Assets under Construction,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,2000020411,Fiscal AUC Capital Additions,"£3,181,489.63"
Ministry of Defence,Ministry of Defence,08/07/2022,Defence Equip General Services,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,2000020420,Defence Eqpt Serv Chrge+Off BS,"£3,121,596.82"
Ministry of Defence,Ministry of Defence,22-Jul-22,Assets under Construction,Defence Equipment and Support,AIRBUS HELICOPTERS UK LIMITED,OX5 1QZ,6000071047,Fiscal AUC Capital Additions,"£3,094,103.31"
Ministry of Defence,Ministry of Defence,05/07/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,633894,CL MonthEnd Accruals Balance,"£3,017,270.86"
Ministry of Defence,Ministry of Defence,21/07/2022,P+M General Services,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000020503,P+M General Services,"£2,983,251.77"
Ministry of Defence,Ministry of Defence,27/07/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,ROBERTSON CONSTRUCTION GROUP LIMITED,IV30 6AE,637843,Fiscal AUC Capital Additions,"£2,916,218.50"
Ministry of Defence,Ministry of Defence,19/07/2022,Rental Payments - Transport,Army Command,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,636602,Rental Payments-Transport-Oth,"£2,692,605.08"
Ministry of Defence,Ministry of Defence,19/07/2022,Intangibles SUME,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000020485,Intangible Cap Additions In Yr,"£2,687,604.69"
Ministry of Defence,Ministry of Defence,12/07/2022,Rental Payments - Transport,Strategic Command,FORELAND SHIPPING LTD,EC3A 7BT,635121,Rental Payments-Transport-Oth,"£2,684,256.00"
Ministry of Defence,Ministry of Defence,26/07/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE (DEFENCE) LIMITED,BS32 4NH,6000071067,Estate+Facilities Mgmnt Servs,"£2,644,850.21"
Ministry of Defence,Ministry of Defence,18/07/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,SODEXO LTD,M50 0AL,636214,Estate+Facilities Mgmnt Servs,"£2,574,030.23"
Ministry of Defence,Ministry of Defence,20/07/2022,P+M General Services,Defence Equipment and Support,THALES UK LIMITED,RH10 9HA,636874,P+M General Services,"£2,564,012.00"
Ministry of Defence,Ministry of Defence,26/07/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE LIMITED,SE1 9SG,637619,Estate+Facilities Mgmnt Servs,"£2,541,688.61"
Ministry of Defence,Ministry of Defence,07/07/2022,P+M General Services,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,634521,P+M General Services,"£2,442,315.03"
Ministry of Defence,Ministry of Defence,20/07/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,COMPASS CONTRACT SERVICES (U.K.) LIMITED,B45 9PZ,636624,Estate+Facilities Mgmnt Servs,"£2,437,012.08"
Ministry of Defence,Ministry of Defence,14/07/2022,P+M General Services,Strategic Command,MET OFFICE,EX1 3PB,635881,P+M General Services,"£2,340,468.00"
Ministry of Defence,Ministry of Defence,04/07/2022,Rental Payments - Buildings,Army Command,DEFENCE TRAINING SERVICES LIMITED,BA2 3RH,633509,Prop NonDw SCA Srv Chrg+Off BS,"£2,231,852.63"
Ministry of Defence,Ministry of Defence,21/07/2022,Rental Payments - Transport,Army Command,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,636972,Rental Payments-Transport-Oth,"£2,168,340.58"
Ministry of Defence,Ministry of Defence,26/07/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,PINNACLE HOUSING LIMITED,WC1V 6PL,637705,Estate+Facilities Mgmnt Servs,"£2,142,085.50"
Ministry of Defence,Ministry of Defence,25/07/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,VIVO DEFENCE SERVICES LIMITED,NE12 8EX,637599,Estate+Facilities Mgmnt Servs,"£2,110,749.55"
Ministry of Defence,Ministry of Defence,19/07/2022,External Education + Training,Air Command,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,636602,External Training Mil.,"£2,034,493.79"
Ministry of Defence,Ministry of Defence,27/07/2022,Decom+Restoration Liab Nuclear,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,637909,Decom+Restoration Liab Nuclear,"£2,023,435.09"
Ministry of Defence,Ministry of Defence,21/07/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,COMPASS CONTRACT SERVICES (U.K.) LIMITED,B45 9PZ,636904,Estate+Facilities Mgmnt Servs,"£1,984,161.61"
Ministry of Defence,Ministry of Defence,19/07/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,636586,Fiscal AUC Capital Additions,"£1,967,446.42"
Ministry of Defence,Ministry of Defence,15/07/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,FALCON SUPPORT SERVICES LIMITED,M1 4HB,636122,Prop Dw SCA Serv Chrge+ Off BS,"£1,918,431.33"
Ministry of Defence,Ministry of Defence,22/07/2022,Fuels Non Utilities Consumed,Strategic Command,FORELAND SHIPPING LTD,EC3A 7BT,637325,Fuels Non Utilities Consumed,"£1,865,553.25"
Ministry of Defence,Ministry of Defence,27/07/2022,Heating Oil+Utilities Consumed,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS LIMITED,SW1X 7EN,638068,Electricity,"£1,856,786.42"
Ministry of Defence,Ministry of Defence,01/07/2022,P+M General Services,Defence Nuclear Organisation,JFD LIMITED,PA4 9RW,633094,P+M General Services,"£1,833,018.68"
Ministry of Defence,Ministry of Defence,27/07/2022,P+M General Services,Army Command,H M REVENUE & CUSTOMS,BX5 5AB,637879,P+M General Services,"£1,784,847.48"
Ministry of Defence,Ministry of Defence,15/07/2022,Telecomms + IT non capital,Army Command,BOXXE LIMITED,YO31 7RE,635985,IT+Comms Internal Costs,"£1,746,420.75"
Ministry of Defence,Ministry of Defence,08/07/2022,P+M General Services,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000020418,P+M General Services,"£1,744,875.14"
Ministry of Defence,Ministry of Defence,27/07/2022,P+M General Services,Defence Equipment and Support,H M REVENUE & CUSTOMS,BX5 5AB,637879,P+M General Services,"£1,741,623.00"
Ministry of Defence,Ministry of Defence,26/07/2022,Decom+Restoration Liab Nuclear,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,637657,Decom+Restoration Liab Nuclear,"£1,656,901.18"
Ministry of Defence,Ministry of Defence,04/07/2022,Food + Clothing Consumed,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,633362,Food + Clothing Consumed,"£1,647,175.05"
Ministry of Defence,Ministry of Defence,19/07/2022,Telecomms + IT non capital,Strategic Command,CAPGEMINI UK PLC,GU21 6DB,636550,IT+Comms Rental Payments,"£1,616,088.00"
Ministry of Defence,Ministry of Defence,19/07/2022,Fees for Prof Services,Head Office and Corporate Services,DELOITTE LLP,MK9 1FD,636534,Fees for Other Prof Services,"£1,608,260.80"
Ministry of Defence,Ministry of Defence,28/07/2022,Defence Equip General Services,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,638147,Defence Eqpt Serv Chrge+Off BS,"£1,587,375.00"
