Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,24/06/2022,Assets under Construction,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,632098,SUME AUC Capital Additions,"£44,447,856.91"
Ministry of Defence,Ministry of Defence,24/06/2022,Assets under Construction,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,631951,SUME AUC Capital Additions,"£33,574,755.18"
Ministry of Defence,Ministry of Defence,16/06/2022,Assets under Construction,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000020200,SUME AUC Capital Additions,"£32,274,363.68"
Ministry of Defence,Ministry of Defence,22/06/2022,Raw Materials + Consumables,Defence Equipment and Support,COMPANIA ESPANOLA DE PETROLEOS SA,,2000020251,RMC Oil Fuel & Lubricants,"£28,299,848.83"
Ministry of Defence,Ministry of Defence,24/06/2022,Assets under Construction,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000020275,SUME AUC Capital Additions,"£21,903,656.39"
Ministry of Defence,Ministry of Defence,29-Jun-22,Assets under Construction,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000020341,SUME AUC Capital Additions,"£15,352,821.84"
Ministry of Defence,Ministry of Defence,06/06/2022,Assets under Construction,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000020114,SUME AUC Capital Additions,"£13,368,608.75"
Ministry of Defence,Ministry of Defence,28/06/2022,P+M General Services,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,632647,P+M General Services,"£13,199,125.16"
Ministry of Defence,Ministry of Defence,07/06/2022,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,EMP 16871,Monthly GPC Payment,"£11,630,226.43"
Ministry of Defence,Ministry of Defence,28/06/2022,P+M General Services,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,632455,P+M General Services,"£11,247,291.84"
Ministry of Defence,Ministry of Defence,29/06/2022,P+M General Services,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000020341,P+M General Services,"£10,062,707.71"
Ministry of Defence,Ministry of Defence,20/06/2022,Heating Oil+Utilities Consumed,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS LIMITED,SW1X 7EN,630884,Electricity,"£9,685,886.03"
Ministry of Defence,Ministry of Defence,15/06/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,CF10 2GE,630456,Prop NonDw SCA Srv Chrg+Off BS,"£9,273,322.46"
Ministry of Defence,Ministry of Defence,24/06/2022,P+M General Services,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,632017,P+M General Services,"£8,459,187.27"
Ministry of Defence,Ministry of Defence,10/06/2022,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,EMP 16878,Monthly GPC Payment,"£8,408,362.89"
Ministry of Defence,Ministry of Defence,29/06/2022,Intangibles SUME,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000020341,Intangible Cap Additions In Yr,"£7,912,208.90"
