Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,02/03/2023,Intangibles Non SUME,Defence Equipment and Support,NAVANTIA UK LTD.,E1 8QN,676672,Intangible Cap Additions In Yr,"£42,557,171.16"
Ministry of Defence,Ministry of Defence,06 Mar 2023,Assets under Construction,Defence Equipment and Support,GREEN ISLAND CROWN AS,,3210089,SUME AUC Capital Additions,"£39,946,648.00"
Ministry of Defence,Ministry of Defence,21/03/2023,Assets under Construction,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,680240,SUME AUC Capital Additions,"£38,604,004.38"
Ministry of Defence,Ministry of Defence,01/03/2023,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,676254,Prop Dw SCA Serv Chrge+ Off BS,"£29,409,547.93"
Ministry of Defence,Ministry of Defence,22/03/2023,Assets under Construction,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000022147,SUME AUC Capital Additions,"£27,775,736.27"
Ministry of Defence,Ministry of Defence,28/03/2023,P+M General Services,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,681928,P+M General Services,"£22,135,703.60"
Ministry of Defence,Ministry of Defence,16/03/2023,Research+Development Expend,Defence Equipment and Support,LEONARDO UK LTD,LU1 3PG,679452,Research+Development Expend,"£19,511,121.17"
Ministry of Defence,Ministry of Defence,16/03/2023,Heating Oil+Utilities Consumed,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS LIMITED,SW1X 7EN,679495,Electricity,"£18,706,342.43"
Ministry of Defence,Ministry of Defence,03/03/2023,Heating Oil+Utilities Consumed,DEFENCE INFRASTRUCTURE ORGANISATION,TOTALENERGIES GAS & POWER LIMITED,RH1 1RX,676880,Gas,"£15,982,614.54"
Ministry of Defence,Ministry of Defence,28/03/2023,P+M General Services,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,681928,P+M General Services,"£14,866,374.46"
Ministry of Defence,Ministry of Defence,23/03/2023,Raw Materials + Consumables,Defence Equipment and Support,HARVEST ENERGY AVIATION LIMITED,KT13 0TJ,2000022162,RMC Oil Fuel & Lubricants,"£14,380,519.71"
Ministry of Defence,Ministry of Defence,10/03/2023,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,17608,Monthly GPC Payment,"£14,007,987.14"
