Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,04/05/2023,Telecomms + IT non capital,Strategic Command,BOXXE LIMITED,YO31 7RE,689419,IT+Comms Rental Payments,"£68,250,121.22"
Ministry of Defence,Ministry of Defence,19/05/2023,Assets under Construction,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,692464,SUME AUC Capital Additions,"£48,960,958.13"
Ministry of Defence,Ministry of Defence,03/05/2023,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,688964,Prop Dw SCA Serv Chrge+ Off BS,"£28,233,868.23"
Ministry of Defence,Ministry of Defence,03/05/2023,Assets under Construction,Defence Equipment and Support,ORGANISATION FOR JOINT ARMAMENTS CO-OPERATION EXECUTIVE ADMIN,,6000076093,Fiscal AUC Capital Additions,"£25,798,341.97"
Ministry of Defence,Ministry of Defence,24/05/2023,Research+Development Expend,Defence Equipment and Support,BAE SYSTEMS (OPERATIONS) LIMITED,PR4 1AX,693226,Research+Development Expend,"£23,919,433.21"
Ministry of Defence,Ministry of Defence,23/05/2023,Heating Oil+Utilities Consumed,DEFENCE INFRASTRUCTURE ORGANISATION,TOTALENERGIES GAS & POWER LIMITED,RH1 1RX,692970,Gas,"£22,142,573.88"
Ministry of Defence,Ministry of Defence,22/05/2023,Assets under Construction,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000022447,SUME AUC Capital Additions,"£19,304,178.46"
Ministry of Defence,Ministry of Defence,26/05/2023,P+M General Services,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,693653,P+M General Services,"£18,501,321.27"
Ministry of Defence,Ministry of Defence,17/05/2023,Assets under Construction,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000022419,SUME AUC Capital Additions,"£17,165,951.94"
Ministry of Defence,Ministry of Defence,04/05/2023,Research+Development Expend,Defence Equipment and Support,ROLLS-ROYCE PLC,BS34 7QE,689523,Research+Development Expend,"£15,875,214.00"
Ministry of Defence,Ministry of Defence,25/05/2023,P+M General Services,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,693347,P+M General Services,"£14,696,985.68"
Ministry of Defence,Ministry of Defence,19/05/2023,Assets under Construction,Defence Equipment and Support,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",,2000022440,SUME AUC Capital Additions,"£13,160,459.82"
Ministry of Defence,Ministry of Defence,26/05/2023,Raw Materials + Consumables,Strategic Command,MOTOR OIL (HELLAS) CORINTH REFINERIES S.A,,2000022479,RMC Oil Fuel & Lubricants,"£12,382,473.37"
Ministry of Defence,Ministry of Defence,11/05/2023,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,17753,Monthly GPC Payment,"£12,232,828.29"
Ministry of Defence,Ministry of Defence,17/05/2023,P+M General Services,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000022419,P+M General Services,"£11,821,729.54"
Ministry of Defence,Ministry of Defence,25/05/2023,Assets under Construction,Defence Equipment and Support,LOCKHEED MARTIN UK LIMITED,PO9 1SA,693429,SUME AUC Capital Additions,"£11,762,161.34"
Ministry of Defence,Ministry of Defence,02/05/2023,P+M General Services,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,688682,P+M General Services,"£10,771,400.84"
Ministry of Defence,Ministry of Defence,26/05/2023,P+M General Services,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,693534,P+M General Services,"£10,446,363.12"
Ministry of Defence,Ministry of Defence,05/05/2023,Raw Materials + Consumables,Strategic Command,HARVEST ENERGY AVIATION LIMITED,KT13 0TJ,2000022380,RMC Oil Fuel & Lubricants,"£9,713,501.65"
Ministry of Defence,Ministry of Defence,09/05/2023,Raw Materials + Consumables,Strategic Command,VITOL AVIATION UK LTD,SW1E 5LB,2000022386,RMC Oil Fuel & Lubricants,"£9,482,849.69"
Ministry of Defence,Ministry of Defence,17/05/2023,Raw Materials + Consumables,Strategic Command,HARVEST ENERGY AVIATION LIMITED,KT13 0TJ,2000022424,RMC Oil Fuel & Lubricants,"£9,335,069.21"
Ministry of Defence,Ministry of Defence,12/05/2023,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,CF10 2GE,690780,Prop NonDw SCA Srv Chrg+Off BS,"£9,119,553.05"
Ministry of Defence,Ministry of Defence,12/05/2023,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,17756,Monthly GPC Payment,"£8,188,777.76"
Ministry of Defence,Ministry of Defence,24/05/2023,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7UT,693176,Prop Dw SCA Serv Chrge+ Off BS,"£7,932,031.58"
Ministry of Defence,Ministry of Defence,02/05/2023,Raw Materials + Consumables,Strategic Command,BP SINGAPORE PTE LIMITED,,2000022366,RMC Oil Fuel & Lubricants,"£7,706,373.53"
