Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,24/04/2023,Assets under Construction,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,687473,SUME AUC Capital Additions,"£61,328,801.57"
Ministry of Defence,Ministry of Defence,04/04/2023,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,683333,Prop Dw SCA Serv Chrge+ Off BS,"£28,888,077.31"
Ministry of Defence,Ministry of Defence,27/04/2023,Assets under Construction,Strategic Command,L3HARRIS COMMUNICATIONS SYSTEMS  UK LIMITED,GU14 6FF,2000022358,SUME AUC Capital Additions,"£24,035,278.88"
Ministry of Defence,Ministry of Defence,11/04/2023,Telecomms + IT non capital,Strategic Command,BOXXE LIMITED,YO31 7RE,684103,IT+Comms Rental Payments,"£23,366,146.97"
Ministry of Defence,Ministry of Defence,25/04/2023,P+M General Services,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,687804,P+M General Services,"£22,894,710.63"
Ministry of Defence,Ministry of Defence,18/04/2023,Assets under Construction,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000022312,SUME AUC Capital Additions,"£19,539,382.22"
Ministry of Defence,Ministry of Defence,24/04/2023,Assets under Construction,Defence Equipment and Support,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",,2000022341,SUME AUC Capital Additions,"£16,261,267.63"
Ministry of Defence,Ministry of Defence,12/04/2023,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,17698,Monthly GPC Payment,"£14,380,218.39"
Ministry of Defence,Ministry of Defence,26/04/2023,P+M General Services,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,688244,P+M General Services,"£14,190,598.62"
Ministry of Defence,Ministry of Defence,03/04/2023,Research+Development Expend,Defence Equipment and Support,BAE SYSTEMS (OPERATIONS) LIMITED,PR4 1AX,682984,Research+Development Expend,"£12,383,844.00"
Ministry of Defence,Ministry of Defence,11/04/2023,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,17691,Monthly GPC Payment,"£12,065,414.58"
Ministry of Defence,Ministry of Defence,03/04/2023,Assets under Construction,Defence Equipment and Support,IAN EDGAR(LIVERPOOL)LIMITED,SK11 0LR,682955,SUME AUC Capital Additions,"£11,220,037.09"
Ministry of Defence,Ministry of Defence,14/04/2023,Assets under Construction,Defence Equipment and Support,TERADYNE LIMITED,RG12 2SJ,2000022300,Fiscal AUC Capital Additions,"£10,476,499.92"
Ministry of Defence,Ministry of Defence,27/04/2023,Heating Oil+Utilities Consumed,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS LIMITED,SW1X 7EN,688324,Electricity,"£10,099,531.78"
Ministry of Defence,Ministry of Defence,13/04/2023,Unrecov Grants Made,Head Office and Corporate Services,UK RESEARCH & INNOVATION,SN2 1FL,684629,Unrecov Grants Made,"£10,000,000.00"
Ministry of Defence,Ministry of Defence,06/04/2023,Fin Assets/Long Trm Loans,Defence Nuclear Organisation,SHEFFIELD FORGEMASTERS ENGINEERING LIMITED,S9 2RW,683737,Other-FinAssets Long Trm Loans,"£10,000,000.00"
Ministry of Defence,Ministry of Defence,14/04/2023,Raw Materials + Consumables,Strategic Command,COMPANIA ESPANOLA DE PETROLEOS SA,,2000022291,RMC Oil Fuel & Lubricants,"£9,403,393.35"
Ministry of Defence,Ministry of Defence,20/04/2023,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,SKANSKA CONSTRUCTION UK LIMITED,WD25 7GS,686655,Fiscal AUC Capital Additions,"£9,207,852.72"
Ministry of Defence,Ministry of Defence,19/04/2023,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,CF10 2GE,685721,Prop NonDw SCA Srv Chrg+Off BS,"£9,024,549.39"
Ministry of Defence,Ministry of Defence,18/04/2023,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,17712,Monthly GPC Payment,"£8,147,674.61"
Ministry of Defence,Ministry of Defence,24/04/2023,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7UT,687376,Prop Dw SCA Serv Chrge+ Off BS,"£7,926,192.61"
Ministry of Defence,Ministry of Defence,24/04/2023,Intangibles SUME,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000022338,Intangible Cap Additions In Yr,"£7,863,816.04"
Ministry of Defence,Ministry of Defence,26/04/2023,P+M General Services,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,688129,P+M General Services,"£7,322,851.02"
Ministry of Defence,Ministry of Defence,12/04/2023,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,VIVO DEFENCE SERVICES LIMITED,NE12 8EX,684434,Estate+Facilities Mgmnt Servs,"£7,087,689.64"
Ministry of Defence,Ministry of Defence,21/04/2023,CL MonthEnd Accruals Balance,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,686931,CL MonthEnd Accruals Balance,"£7,017,211.13"
Ministry of Defence,Ministry of Defence,27/04/2023,CL MonthEnd Accruals Balance,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,688387,CL MonthEnd Accruals Balance,"£6,763,566.37"
Ministry of Defence,Ministry of Defence,04/04/2023,Environmental Pmnts,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY LIMITED,G74 5PG,683357,Environmental Pmnts,"£6,669,300.00"
Ministry of Defence,Ministry of Defence,05/04/2023,CL MonthEnd Accruals Balance,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,683567,CL MonthEnd Accruals Balance,"£6,214,960.03"
Ministry of Defence,Ministry of Defence,27/04/2023,P+M General Services,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,688387,P+M General Services,"£5,958,431.65"
Ministry of Defence,Ministry of Defence,18/04/2023,CL MonthEnd Accruals Balance,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,685189,CL MonthEnd Accruals Balance,"£5,915,426.95"
Ministry of Defence,Ministry of Defence,20/04/2023,P+M General Services,Navy Command,SERCO LIMITED,RG27 9UY,686800,P+M General Services,"£5,769,926.31"
Ministry of Defence,Ministry of Defence,05/04/2023,Assets under Construction,Defence Equipment and Support,SUPACAT LIMITED,EX14 4LF,683689,SUME AUC Capital Additions,"£5,767,003.56"
Ministry of Defence,Ministry of Defence,17/04/2023,P+M General Services,Defence Equipment and Support,LOCKHEED MARTIN UK LIMITED,PO9 1SA,685020,P+M General Services,"£5,420,906.45"
Ministry of Defence,Ministry of Defence,27/04/2023,Defence Equip General Services,Defence Equipment and Support,BAE SYSTEMS (OPERATIONS) LIMITED,PR4 1AX,688379,Defence Eqpt Serv Chrge+Off BS,"£5,288,743.00"
Ministry of Defence,Ministry of Defence,05/04/2023,Assets under Construction,Air Command,SURREY SATELLITE TECHNOLOGY LTD,GU2 7YE,683577,Fiscal AUC Capital Additions,"£5,115,467.64"
Ministry of Defence,Ministry of Defence,11/04/2023,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,17690,Monthly GPC Payment,"£5,111,718.47"
Ministry of Defence,Ministry of Defence,27/04/2023,Assets under Construction,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000022355,SUME AUC Capital Additions,"£5,035,844.89"
Ministry of Defence,Ministry of Defence,13/04/2023,Defence Equip General Services,Defence Equipment and Support,BOEING DEFENCE UK LTD,BS16 1EJ,684642,Defence Eqpt Serv Chrge+Off BS,"£4,880,145.30"
Ministry of Defence,Ministry of Defence,25-Apr-23,Assets under Construction,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,687859,SUME AUC Capital Additions,"£4,818,436.05"
Ministry of Defence,Ministry of Defence,03/04/2023,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,SEVERN TRENT SERVICES DEFENCE LIMITED,CV3 9NT,682818,Prop NonDw SCA Srv Chrg+Off BS,"£4,294,304.44"
Ministry of Defence,Ministry of Defence,27/04/2023,Assets under Construction,Defence Equipment and Support,ORGANISATION FOR JOINT ARMAMENTS CO-OPERATION EXECUTIVE ADMIN,,6000076058,Fiscal AUC Capital Additions,"£4,247,168.55"
Ministry of Defence,Ministry of Defence,03/04/2023,Assets under Construction,Air Command,IAN EDGAR(LIVERPOOL)LIMITED,SK11 0LR,682955,Fiscal AUC Capital Additions,"£4,101,300.68"
Ministry of Defence,Ministry of Defence,11/04/2023,P+M General Services,Defence Equipment and Support,ORGANISATION FOR JOINT ARMAMENTS CO-OPERATION EXECUTIVE ADMIN,,6000075812,P+M General Services,"£4,070,273.49"
Ministry of Defence,Ministry of Defence,20/04/2023,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,REDS10 (UK) LIMITED,SE1 0HS,686743,Fiscal AUC Capital Additions,"£3,980,547.70"
Ministry of Defence,Ministry of Defence,26/04/2023,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE LIMITED,SE1 9SG,688168,Fiscal AUC Capital Additions,"£3,806,290.62"
Ministry of Defence,Ministry of Defence,21-Apr-23,Assets under Construction,Defence Equipment and Support,BOEING DEFENCE UK LTD,BS16 1EJ,686963,Fiscal AUC Capital Additions,"£3,580,457.39"
Ministry of Defence,Ministry of Defence,24/04/2023,Assets under Construction,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,6000076014,SUME AUC Capital Additions,"£3,335,272.67"
Ministry of Defence,Ministry of Defence,11/04/2023,P+M General Services,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000022268,P+M General Services,"£3,242,043.71"
Ministry of Defence,Ministry of Defence,06/04/2023,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE (DEFENCE) LIMITED,BS32 4NH,6000075785,Estate+Facilities Mgmnt Servs,"£3,100,009.78"
Ministry of Defence,Ministry of Defence,25/04/2023,P+M General Services,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,687804,P+M General Services,"£3,039,403.66"
Ministry of Defence,Ministry of Defence,13/04/2023,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,COMPASS CONTRACT SERVICES (U.K.) LIMITED,B45 9PZ,684476,Estate+Facilities Mgmnt Servs,"£3,011,319.43"
