Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,21/02/2023,Assets under Construction,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,674756,SUME AUC Capital Additions,"£32,139,230.89"
Ministry of Defence,Ministry of Defence,07/02/2023,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,671997,Prop Dw SCA Serv Chrge+ Off BS,"£29,464,236.52"
Ministry of Defence,Ministry of Defence,24/02/2023,Intangibles SUME,Defence Equipment and Support,OCCAR-EA,,6000074850,Intangible Cap Additions In Yr,"£24,551,654.44"
Ministry of Defence,Ministry of Defence,27/02/2023,Intangibles SUME,Defence Equipment and Support,OCCAR-EA,,6000074869,Intangible Cap Additions In Yr,"£24,551,654.43"
Ministry of Defence,Ministry of Defence,24/02/2023,P+M General Services,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,675776,P+M General Services,"£21,112,733.13"
Ministry of Defence,Ministry of Defence,10/02/2023,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,17524,Monthly GPC Payment,"£12,328,163.67"
Ministry of Defence,Ministry of Defence,27/02/2023,P+M General Services,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,675939,P+M General Services,"£11,419,071.89"
Ministry of Defence,Ministry of Defence,10/02/2023,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,17520,Monthly GPC Payment,"£11,208,849.06"
Ministry of Defence,Ministry of Defence,09/02/2023,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,VINCI CONSTRUCTION UK LIMITED,WD24 4WW,672617,Estate+Facilities Mgmnt Servs,"£11,077,022.92"
Ministry of Defence,Ministry of Defence,22/02/2023,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,CF10 2GE,675168,Prop NonDw SCA Srv Chrg+Off BS,"£9,000,424.45"
