Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,20/07/2021,Purchase of buildings and military equipment ,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,568248,Single use military equipment asset under construction - capital in year addition,"£47,267,846.51"
Ministry of Defence,Ministry of Defence,07/07/2021,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,565846,Property dwellings private finance initiative - service concession arrangement service charge,"£28,254,261.27"
Ministry of Defence,Ministry of Defence,23/07/2021,Development costs for military equipment,Defence Equipment and Support,ROSYTH ROYAL DOCKYARD LTD,KY11 2YD,569286,Intangible single use military equipment asset  - in year capital addition,"£22,882,103.41"
Ministry of Defence,Ministry of Defence,20/07/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES (HOUSING) LIMITED,WV3 0SR,568330,Estate + facilities management services - accommodation inventory + service,"£14,121,496.85"
Ministry of Defence,Ministry of Defence,20/07/2021,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,SW1X 7EN,568403,Utilities consumed - electricity,"£13,761,629.20"
Ministry of Defence,Ministry of Defence,28/07/2021,Design services and minor equipment purchases,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,570019,Equipment support non-project costs,"£13,456,662.13"
Ministry of Defence,Ministry of Defence,15/07/2021,Development costs for military equipment,Defence Equipment and Support,RHEINMETALL BAE SYSTEMS LAND LIMITED,NP15 1XL,567604,Intangible single use military equipment asset  - in year capital addition,"£12,000,000.00"
Ministry of Defence,Ministry of Defence,13/07/2021,"Purchase of munitions, other inventory or fuel",Defence Equipment and Support,UNIOIL SUPPLY A/S,,2000017765,Raw materials and consumable marine fuel inventory purchased,"£11,366,721.43"
Ministry of Defence,Ministry of Defence,16/07/2021,Purchase of buildings and military equipment ,Strategic Command,AIRBUS DEFENCE AND SPACE LIMITED,SG1 2AS,567785,Fiscal asset under construction - capital in year addition,"£10,951,008.28"
Ministry of Defence,Ministry of Defence,07/07/2021,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,CF10 2GE,565991,Property non dwellings private finance initiative - service concession arrangement service charge,"£9,115,052.25"
