Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,9/8/2022,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,17022,Monthly GPC Payment," £12,462,245.29 "
Ministry of Defence,Ministry of Defence,11/8/2022,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,17027,Monthly GPC Payment,"  £695,801.61 "
Ministry of Defence,Ministry of Defence,11/8/2022,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,17028,Monthly GPC Payment,"   £6,462,875.93 "
Ministry of Defence,Ministry of Defence,24/8/2022,Assets under Construction,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,643050,SUME AUC Capital Additions,"£31,658,837.60"
Ministry of Defence,Ministry of Defence,2/8/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,638739,Prop Dw SCA Serv Chrge+ Off BS,"£29,166,646.29"
Ministry of Defence,Ministry of Defence,25/8/2022,Raw Materials + Consumables,Defence Equipment and Support,MOTOR OIL (HELLAS) CORINTH REFINERIES S.A,,2000020787,RMC Oil Fuel & Lubricants,"£19,403,127.71"
Ministry of Defence,Ministry of Defence,25/8/2022,P+M General Services,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,643178,P+M General Services,"£18,191,935.49"
Ministry of Defence,Ministry of Defence,25/8/2022,Research+Development Expend,Defence Equipment and Support,BAE SYSTEMS (OPERATIONS) LIMITED,PR4 1AX,643256,Research+Development Expend,"£13,992,750.00"
Ministry of Defence,Ministry of Defence,25/8/2022,Raw Materials + Consumables,Defence Equipment and Support,VITOL AVIATION UK LTD,SW1E 5LB,2000020785,RMC Oil Fuel & Lubricants,"£12,378,048.14"
Ministry of Defence,Ministry of Defence,19/8/2022,Telecomms + IT non capital,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,642348,IT+Comms Rental Payments,"£11,116,846.18"
Ministry of Defence,Ministry of Defence,26/8/2022,P+M General Services,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,643315,P+M General Services,"£10,055,740.91"
Ministry of Defence,Ministry of Defence,25/8/2022,Raw Materials + Consumables,Defence Equipment and Support,MOTOR OIL (HELLAS) CORINTH REFINERIES S.A,,2000020786,RMC Oil Fuel & Lubricants,"£9,700,297.90"
Ministry of Defence,Ministry of Defence,25/8/2022,P+M General Services,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,643209,P+M General Services,"£9,206,068.82"
Ministry of Defence,Ministry of Defence,10/8/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,CF10 2GE,640279,Prop NonDw SCA Srv Chrg+Off BS,"£9,155,469.32"
Ministry of Defence,Ministry of Defence,22/8/2022,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,17031,Monthly GPC Payment,"£8,949,392.93"
Ministry of Defence,Ministry of Defence,9/8/2022,Raw Materials + Consumables,Defence Equipment and Support,BP Singapore Pte Limited,,2000020661,RMC Oil Fuel & Lubricants,"£7,833,226.83"
Ministry of Defence,Ministry of Defence,25/8/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7UT,643108,Prop Dw SCA Serv Chrge+ Off BS,"£7,576,754.63"
Ministry of Defence,Ministry of Defence,2/8/2022,Raw Materials + Consumables,Defence Equipment and Support,COMPANIA ESPANOLA DE PETROLEOS SA,,2000020591,RMC Oil Fuel & Lubricants,"£7,451,725.91"
Ministry of Defence,Ministry of Defence,4/8/2022,P+M General Services,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000020628,P+M General Services,"£7,285,822.84"
Ministry of Defence,Ministry of Defence,22/8/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,VIVO DEFENCE SERVICES LIMITED,NE12 8EX,642589,Estate+Facilities Mgmnt Servs,"£6,878,444.50"
Ministry of Defence,Ministry of Defence,24/8/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,642894,CL MonthEnd Accruals Balance,"£6,487,687.41"
Ministry of Defence,Ministry of Defence,19/8/2022,Defence Equip General Services,Defence Equipment and Support,BAE SYSTEMS (OPERATIONS) LIMITED,PR4 1AX,642253,Defence Eqpt Serv Chrge+Off BS,"£6,351,769.00"
Ministry of Defence,Ministry of Defence,26/8/2022,Raw Materials + Consumables,Defence Equipment and Support,BP INTERNATIONAL LIMITED,TW16 7BP,2000020798,RMC Oil Fuel & Lubricants,"£6,240,670.36"
Ministry of Defence,Ministry of Defence,2/8/2022,Heating Oil+Utilities Consumed,DEFENCE INFRASTRUCTURE ORGANISATION,TOTALENERGIES GAS & POWER LIMITED,RH1 1RX,638710,Gas,"£6,199,954.62"
