Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,21/10/2022,Assets under Construction,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,653057,SUME AUC Capital Additions,"£47,744,589.82"
Ministry of Defence,Ministry of Defence,03/10/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,649195,Prop Dw SCA Serv Chrge+ Off BS,"£29,232,933.90"
Ministry of Defence,Ministry of Defence,05/10/2022,Assets under Construction,Defence Nuclear Organisation,SHEFFIELD FORGEMASTERS ENGINEERING LIMITED,S9 2RW,649927,Fiscal AUC Capital Additions,"£26,000,000.00"
Ministry of Defence,Ministry of Defence,21/10/2022,Assets under Construction,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000021184,SUME AUC Capital Additions,"£18,706,752.24"
Ministry of Defence,Ministry of Defence,26/10/2022,P+M General Services,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,653614,P+M General Services,"£17,702,894.19"
Ministry of Defence,Ministry of Defence,26/10/2022,P+M General Services,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,653745,P+M General Services,"£17,678,585.69"
Ministry of Defence,Ministry of Defence,21/10/2022,Heating Oil+Utilities Consumed,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS LIMITED,SW1X 7EN,653050,Electricity,"£14,393,279.37"
Ministry of Defence,Ministry of Defence,07/10/2022,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,17185,Monthly GPC Payment,"£12,847,260.31"
Ministry of Defence,Ministry of Defence,17/10/2022,Raw Materials + Consumables,Defence Equipment and Support,VITOL AVIATION UK LTD,SW1E 5LB,2000021121,RMC Oil Fuel & Lubricants,"£12,311,910.28"
Ministry of Defence,Ministry of Defence,27/10/2022,Raw Materials + Consumables,Defence Equipment and Support,COMPANIA ESPANOLA DE PETROLEOS SA,,2000021226,RMC Oil Fuel & Lubricants,"£11,859,490.85"
Ministry of Defence,Ministry of Defence,28/10/2022,Raw Materials + Consumables,Defence Equipment and Support,MOTOR OIL (HELLAS) CORINTH REFINERIES S.A,,2000021245,RMC Oil Fuel & Lubricants,"£10,236,218.93"
Ministry of Defence,Ministry of Defence,12/10/2022,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,17196,Monthly GPC Payment,"£9,861,288.44"
Ministry of Defence,Ministry of Defence,27/10/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,653955,CL MonthEnd Accruals Balance,"£9,669,122.41"
Ministry of Defence,Ministry of Defence,28/10/2022,Defence Equip General Services,Defence Equipment and Support,BAE SYSTEMS (OPERATIONS) LIMITED,PR4 1AX,654259,Defence Eqpt Serv Chrge+Off BS,"£9,233,007.00"
Ministry of Defence,Ministry of Defence,11/10/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,CF10 2GE,650823,Prop NonDw SCA Srv Chrg+Off BS,"£9,157,323.91"
Ministry of Defence,Ministry of Defence,28/10/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,654228,CL MonthEnd Accruals Balance,"£8,454,264.86"
Ministry of Defence,Ministry of Defence,19/10/2022,Assets under Construction,Defence Equipment and Support,BOEING DEFENCE UK LTD,BS16 1EJ,652373,SUME AUC Capital Additions,"£8,381,837.00"
Ministry of Defence,Ministry of Defence,27/10/2022,P+M General Services,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,653955,P+M General Services,"£7,977,656.51"
Ministry of Defence,Ministry of Defence,24/10/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7UT,653116,Prop Dw SCA Serv Chrge+ Off BS,"£7,577,793.50"
Ministry of Defence,Ministry of Defence,26/10/2022,Assets under Construction,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000021212,SUME AUC Capital Additions,"£7,007,944.89"
Ministry of Defence,Ministry of Defence,18/10/2022,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,17210,Monthly GPC Payment,"£6,525,762.59"
Ministry of Defence,Ministry of Defence,04/10/2022,Defence Equip General Services,Defence Equipment and Support,BAE SYSTEMS (OPERATIONS) LIMITED,PR4 1AX,649563,Defence Eqpt Serv Chrge+Off BS,"£6,494,776.00"
Ministry of Defence,Ministry of Defence,26/10/2022,Research+Development Expend,Defence Equipment and Support,ROLLS-ROYCE PLC,BS34 7QE,653637,Research+Development Expend,"£6,488,785.00"
Ministry of Defence,Ministry of Defence,21/10/2022,Assets under Construction,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 OXN,2000021181,SUME AUC Capital Additions,"£6,259,412.23"
Ministry of Defence,Ministry of Defence,27/10/2022,P+M General Services,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,654077,P+M General Services,"£5,931,985.96"
Ministry of Defence,Ministry of Defence,27/10/2022,Assets under Construction,Defence Equipment and Support,OCCAR-EA,,6000072681,SUME AUC Capital Additions,"£5,886,686.43"
Ministry of Defence,Ministry of Defence,05/10/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,VINCI CONSTRUCTION UK LIMITED,WD24 4WW,649926,Estate+Facilities Mgmnt Servs,"£5,720,773.96"
Ministry of Defence,Ministry of Defence,25/10/2022,Defence Equip General Services,Defence Equipment and Support,BOEING DEFENCE UK LTD,BS16 1EJ,653362,Defence Eqpt Serv Chrge+Off BS,"£5,474,844.05"
Ministry of Defence,Ministry of Defence,25/10/2022,Heating Oil+Utilities Consumed,DEFENCE INFRASTRUCTURE ORGANISATION,TOTALENERGIES GAS & POWER LIMITED,RH1 1RX,653402,Gas,"£5,394,857.97"
Ministry of Defence,Ministry of Defence,21 Oct 2022,Assets under Construction,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,6000072587,SUME AUC Capital Additions,"£5,330,274.03"
Ministry of Defence,Ministry of Defence,19/10/2022,Research+Development Expend,Defence Equipment and Support,LEONARDO UK LTD,LU1 3PG,652448,Research+Development Expend,"£5,274,744.19"
Ministry of Defence,Ministry of Defence,03/10/2022,Raw Materials + Consumables,Defence Equipment and Support,MOTOR OIL (HELLAS) CORINTH REFINERIES S.A,,2000021032,RMC Oil Fuel & Lubricants,"£5,169,385.89"
Ministry of Defence,Ministry of Defence,27/10/2022,Assets under Construction,Defence Equipment and Support,OCCAR-EA,,3209642,SUME AUC Capital Additions,"£5,104,386.00"
Ministry of Defence,Ministry of Defence,13/10/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,651432,CL MonthEnd Accruals Balance,"£5,083,874.64"
Ministry of Defence,Ministry of Defence,13/10/2022,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,17199,Monthly GPC Payment,"£5,039,933.68"
Ministry of Defence,Ministry of Defence,28/10/2022,P+M General Services,Defence Equipment and Support,THALES UK LIMITED,RH10 9HA,654195,P+M General Services,"£4,913,360.56"
Ministry of Defence,Ministry of Defence,04/10/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,649361,CL MonthEnd Accruals Balance,"£4,859,583.92"
Ministry of Defence,Ministry of Defence,21/10/2022,Intangibles SUME,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000021184,Intangible Cap Additions In Yr,"£4,754,465.87"
Ministry of Defence,Ministry of Defence,03/10/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,ANCALA WATER SERVICES (ESTATES) LIMITED,S75 3JR,649095,Prop NonDw SCA Srv Chrg+Off BS,"£4,593,429.65"
Ministry of Defence,Ministry of Defence,12/10/2022,Assets under Construction,Defence Equipment and Support,BOEING DEFENCE UK LTD,BS16 1EJ,2000021087,SUME AUC Capital Additions,"£4,412,673.20"
Ministry of Defence,Ministry of Defence,03/10/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,SEVERN TRENT SERVICES DEFENCE LIMITED,CV3 9NT,649133,Prop NonDw SCA Srv Chrg+Off BS,"£4,120,168.01"
Ministry of Defence,Ministry of Defence,26/10/2022,P+M General Services,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000021212,P+M General Services,"£3,960,460.84"
Ministry of Defence,Ministry of Defence,11/10/2022,Raw Materials + Consumables,Defence Equipment and Support,KUWAIT PETROLEUM INTERNATIONAL AVIATION COMPANY (UK) LTD,GU21 5BH,2000021079,RMC Oil Fuel & Lubricants,"£3,936,669.31"
Ministry of Defence,Ministry of Defence,12 Oct 2022,Assets under Construction,Defence Equipment and Support,AIRBUS HELICOPTERS UK LIMITED,OX5 1QZ,6000072394,Fiscal AUC Capital Additions,"£3,700,768.20"
Ministry of Defence,Ministry of Defence,12/10/2022,P+M General Services,Defence Equipment and Support,BOEING DEFENCE UK LTD,BS16 1EJ,2000021087,P+M General Services,"£3,469,791.81"
Ministry of Defence,Ministry of Defence,25/10/2022,Defence Equip General Services,Defence Equipment and Support,BOEING DEFENCE UK LTD,BS16 1EJ,2000021205,Defence Eqpt Serv Chrge+Off BS,"£3,391,027.73"
Ministry of Defence,Ministry of Defence,03/10/2022,P+M General Services,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,649086,P+M General Services,"£3,242,729.41"
Ministry of Defence,Ministry of Defence,06/10/2022,Heating Oil+Utilities Consumed,DEFENCE INFRASTRUCTURE ORGANISATION,TOTALENERGIES GAS & POWER LIMITED,RH1 1RX,650234,Gas,"£2,938,733.68"
Ministry of Defence,Ministry of Defence,04 Oct 2022,Assets under Construction,Defence Equipment and Support,BOHEMIA INTERACTIVE SIMULATIONS (UK) LIMITED,GU14 6UU,649483,SUME AUC Capital Additions,"£2,880,000.00"
