Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total,,
Ministry of Defence,Ministry of Defence,16/09/2022,Assets under Construction,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,646786,SUME AUC Capital Additions,"£34,933,751.46",,
Ministry of Defence,Ministry of Defence,02/09/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,644039,Prop Dw SCA Serv Chrge+ Off BS,"£29,601,176.54",,
Ministry of Defence,Ministry of Defence,16/09/2022,Assets under Construction,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000020922,SUME AUC Capital Additions,"£27,248,911.64",,
Ministry of Defence,Ministry of Defence,27/09/2022,P+M General Services,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,648230,P+M General Services,"£24,878,126.24",,
Ministry of Defence,Ministry of Defence,27/09/2022,Intangibles SUME,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000020987,Intangible Cap Additions In Yr,"£14,552,544.21",,
Ministry of Defence,Ministry of Defence,26/09/2022,Heating Oil+Utilities Consumed,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS LIMITED,SW1X 7EN,648110,Electricity,"£14,532,481.58",,
Ministry of Defence,Ministry of Defence,27/09/2022,P+M General Services,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,648376,P+M General Services,"£12,721,765.29",,
Ministry of Defence,Ministry of Defence,13/09/2022,Research+Development Expend,Defence Equipment and Support,BAE SYSTEMS (OPERATIONS) LIMITED,PR4 1AX,645859,Research+Development Expend,"£12,409,820.00",,
Ministry of Defence,Ministry of Defence,14/09/2022,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,17105,Monthly GPC Payment,"£12,462,245.29",,
Ministry of Defence,Ministry of Defence,27/09/2022,Assets under Construction,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000020987,SUME AUC Capital Additions,"£12,299,736.58",,
Ministry of Defence,Ministry of Defence,20/09/2022,Assets under Construction,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000020926,SUME AUC Capital Additions,"£11,353,588.55",,
Ministry of Defence,Ministry of Defence,15/09/2022,Telecomms + IT non capital,Defence Equipment and Support,BOEING DEFENCE UK LTD,BS16 1EJ,646426,IT+Comms Rental Payments,"£9,783,097.02",,
Ministry of Defence,Ministry of Defence,29/09/2022,Research+Development Expend,Defence Equipment and Support,LEONARDO UK LTD,LU1 3PG,648735,Research+Development Expend,"£9,498,481.86",,
Ministry of Defence,Ministry of Defence,28/09/2022,Capital Spares,Defence Equipment and Support,BRIGANTES CONSULTING LIMITED,EX1 1AP,648440,CS Engineering + Technical,"£9,421,402.13",,
Ministry of Defence,Ministry of Defence,13/09/2022,Research+Development Expend,Defence Equipment and Support,ROLLS-ROYCE PLC,BS34 7QE,645850,Research+Development Expend,"£9,310,178.00",,
Ministry of Defence,Ministry of Defence,07/09/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,CF10 2GE,645025,Prop NonDw SCA Srv Chrg+Off BS,"£9,156,079.73",,
Ministry of Defence,Ministry of Defence,27/09/2022,Raw Materials + Consumables,Defence Equipment and Support,MOTOR OIL (HELLAS) CORINTH REFINERIES S.A,,2000020991,RMC Oil Fuel & Lubricants,"£9,144,580.38",,
Ministry of Defence,Ministry of Defence,28/09/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,VIVO DEFENCE SERVICES LIMITED,NE12 8EX,648633,Estate+Facilities Mgmnt Servs,"£9,028,797.02",,
Ministry of Defence,Ministry of Defence,15/09/2022,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,17119,Monthly GPC Payment,"£8,949,392.93",,
