Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total,,,
Ministry of Defence,Royal Hospital Chelsea,20/08/2021,Purchased Services,Royal Hospital Chelsea,EDF Energy,DA6 8ET,PIN134446,Electricity,"£14,478.83",,44,#NAME?
Ministry of Defence,Royal Hospital Chelsea,20/08/2021,Purchased Services,Royal Hospital Chelsea,EDF Energy,DA6 8ET,PIN134448,Electricity,"£10,674.68",,,
Ministry of Defence,Royal Hospital Chelsea,20/08/2021,Purchased Services,Royal Hospital Chelsea,EDF Energy,DA6 8ET,PIN134447,Electricity,£212.65,,,
Ministry of Defence,UKHO,31/08/2021,Contractor costs,Corporate Comms,Alexander Mann Solutions Limited,,2000098438,Contractor costs,"£28,974.81",,,
Ministry of Defence,UKHO,31/08/2021,Misc Expenses Unclassified,"Sales, Channel & Customer Services",FCDO Services,,2000098435,Misc Expenses Unclassified,"£25,679.89",,,
Ministry of Defence,Royal Hospital Chelsea,27/08/2021,Purchased Services,Royal Hospital Chelsea,CBRE Managed Services LTD,SE1 0HL,PIN134575,Maintenanace,"£82,212.25",,,
Ministry of Defence,Royal Hospital Chelsea,27/08/2021,Purchased Services,Royal Hospital Chelsea,Wilson James Limited,SS0 9HR,PIN134585,Security,"£66,846.67",,,
Ministry of Defence,Royal Hospital Chelsea,27/08/2021,Purchased Services,Royal Hospital Chelsea,CBRE Managed Services LTD,SE1 0HL,PIN134576,Maintenanace,"£60,000.00",,,
Ministry of Defence,Royal Hospital Chelsea,27/08/2021,Purchased Services,Royal Hospital Chelsea,CBRE Managed Services LTD,SE1 0HL,PIN134574,Maintenanace,"£57,980.17",,,
Ministry of Defence,Royal Hospital Chelsea,27/08/2021,Purchased Services,Royal Hospital Chelsea,Key Structures Ltd,SW19 8DR,PIN134583,Founders Day Seatings,"£36,393.74",,,
Ministry of Defence,Royal Hospital Chelsea,27/08/2021,Purchased Services,Royal Hospital Chelsea,Wilson James Limited,SS0 9HR,PIN134479,Security,"£4,920.71",,,
Ministry of Defence,Ministry of Defence,27/08/2021,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,GALLIFORD TRY BUILDING 2014 LIMITED,G33 1AP,575958,Fiscal asset under construction - capital in year addition,"£1,034,849.40",,,
Ministry of Defence,Ministry of Defence,27/08/2021,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,576077,Property dwellings private finance initiative - service concession arrangement service charge,"£474,043.48",,,
Ministry of Defence,Ministry of Defence,27/08/2021,"Transportation of personnel, freight and travel expenses",Defence Equipment and Support,JAMES FISHER EVERARD LIMITED,EC2M 7JH,576107,Freight movement costs,"£435,000.00",,,
Ministry of Defence,Ministry of Defence,27/08/2021,IT and communication services,Strategic Command,CGI IT UK LIMITED,CF31 9AP,576101,Information technology services,"£434,840.00",,,
Ministry of Defence,Ministry of Defence,27/08/2021,IT and communication services,Navy Command,EITEC LTD,WC1N 3AX,576058,Information technology services,"£223,713.66",,,
Ministry of Defence,Ministry of Defence,27/08/2021,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,Kier Graham Defence Limited,SG19 2BD,576064,Fiscal asset under construction - capital in year addition,"£205,203.60",,,
Ministry of Defence,Ministry of Defence,27/08/2021,Fees for professional services,Air Command,CATALYZE LIMITED,SO21 1RR,576072,The provision of advice and assistance relating to the strategy of an organisation,"£194,577.90",,,
Ministry of Defence,Ministry of Defence,27/08/2021,"Transportation of personnel, freight and travel expenses",Defence Equipment and Support,JAMES FISHER EVERARD LIMITED,EC2M 7JH,2000018104,Freight movement costs,"£184,317.67",,,
Ministry of Defence,Ministry of Defence,27/08/2021,Spend on Inventory - General,Defence Equipment and Support,BABCOCK INTEGRATED TECHNOLOGY  LIMITED,BS3 2HQ,576050,Spend on Inventory - General,"£178,952.56",,,
Ministry of Defence,Ministry of Defence,27/08/2021,IT and communication services,Air Command,CENTIANT INTL LIMITED,NN7 2FA,575985,Information technology services,"£155,196.20",,,
Ministry of Defence,Ministry of Defence,27/08/2021,IT and communication services,Navy Command,EVOLVE SECURE SOLUTIONS LTD,GU14 0LX,575960,Information technology services,"£147,250.00",,,
Ministry of Defence,Ministry of Defence,27/08/2021,Purchase of inventory and services ,Head Office and Corporate Services,BRITANNIC TRADING LIMITED,E14 5NJ,2000018103,Cost of other material consumed,"£144,247.88",,,
Ministry of Defence,Ministry of Defence,27/08/2021,IT and communication services,Air Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,576009,Information technology services,"£120,000.00",,,
Ministry of Defence,Ministry of Defence,27/08/2021,Environmental clear up,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE (DEFENCE) LIMITED,B70 1DA,575990,Non nuclear environmental decommissioning liability provision payment against provision,"£108,957.77",,,
Ministry of Defence,Ministry of Defence,27/08/2021,Fees for professional services,Head Office and Corporate Services,INSIGHT DIRECT (U K) LTD,S9 2BU,576087,Fees for professional services excluding legal fees,"£89,055.00",,,
Ministry of Defence,Ministry of Defence,27/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,QINETIQ LIMITED,GU14 0LX,575998,Equipment support non-project costs,"£87,848.40",,,
Ministry of Defence,Ministry of Defence,27/08/2021,Purchase of general transport equipment,Strategic Command,LUCAS IMOSSI MOTORS (2017) LIMITED,,3208192,Transport other asset - in year capital addition,"£78,540.00",,,
Ministry of Defence,Ministry of Defence,27/08/2021,Purchase of buildings and military equipment ,Defence Equipment and Support,KELLOGG BROWN & ROOT LIMITED,KT22 7NL,576068,Fiscal asset under construction - capital in year addition,"£72,113.17",,,
Ministry of Defence,Ministry of Defence,27/08/2021,IT and communication services,Navy Command,DYNAMA SOLUTIONS LTD,TW9 2QE,576046,Information technology services,"£64,620.02",,,
Ministry of Defence,Ministry of Defence,27/08/2021,Rent and rates,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007056,Rent buildings - non civil estate property and married quarter property,"£47,968.02",,,
Ministry of Defence,Ministry of Defence,27/08/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE (DEFENCE) LIMITED,B70 1DA,575990,Estate management,"£43,335.55",,,
Ministry of Defence,Ministry of Defence,27/08/2021,Externally delivered education and training,Strategic Command,CAPITA BUSINESS SERVICES LTD,EC4A 1EN,575971,External training - civilian,"£38,470.45",,,
Ministry of Defence,Ministry of Defence,27-Aug-21,Design services and minor equipment purchases,Defence Equipment and Support,ALLAN WEBB LTD,GL10 3RF,576070,Equipment support non-project costs,"£35,064.54",,,
Ministry of Defence,Ministry of Defence,27/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,SYSTEMS ENGINEERING & ASSESSMENT LTD,BA11 6TB,576062,Equipment support project costs,"£32,995.50",,,
Ministry of Defence,Ministry of Defence,27/08/2021,Medical treatment & stores and welfare services,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007054,Schools + community relations initiatives,"£31,449.81",,,
Ministry of Defence,Ministry of Defence,27/08/2021,IT and communication services,Air Command,BOXXE LIMITED,YO31 7RE,576024,Computer equipment costing below the capitalisation threshold,"£30,753.58",,,
Ministry of Defence,Ministry of Defence,27/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,575997,Equipment support non-project costs,"£28,258.79",,,
Ministry of Defence,Ministry of Defence,27/08/2021,Design services and minor equipment purchases,Head Office and Corporate Services,THE AEROSPACE CORPORATION UK LIMITED,SP3 5SN,576116,Equipment support non-project costs,"£27,454.50",,,
Ministry of Defence,Ministry of Defence,27/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,PO1 9NW,576040,Equipment support non-project costs,"£25,672.51",,,
Ministry of Defence,Ministry of Defence,27/08/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,6000064324,Estate management,"£21,981.16",,,
Ministry of Defence,Ministry of Defence,27/08/2021,IT and communication services,Navy Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,576009,Computer equipment costing below the capitalisation threshold,"£21,051.25",,,
Ministry of Defence,Ministry of Defence,27/08/2021,Externally delivered education and training,Navy Command,EITEC LTD,WC1N 3AX,576058,External training - civilian,"£20,026.00",,,
Ministry of Defence,Ministry of Defence,27/08/2021,Inventory Accruals,Defence Equipment and Support,BABCOCK INTEGRATED TECHNOLOGY  LIMITED,BS3 2HQ,576050,Contract Expenditure on Capital Spares that are managed by DE+S Inventory Systems.,"£20,006.50",,,
Ministry of Defence,Ministry of Defence,27/08/2021,Externally delivered education and training,Air Command,INZPIRE LIMITED,LN6 3TA,575917,External training - civilian,"£12,712.50",,,
Ministry of Defence,Ministry of Defence,27/08/2021,Spend on Inventory - General,Defence Equipment and Support,LEONARDO UK LTD,SS14 3EL,575959,Spend on Inventory - General,"£8,823.22",,,
Ministry of Defence,Ministry of Defence,27/08/2021,Development costs for military equipment,Defence Equipment and Support,KELLOGG BROWN & ROOT LIMITED,KT22 7NL,576068,Intangible fiscal asset  - in year capital addition,"£7,058.00",,,
Ministry of Defence,Ministry of Defence,27/08/2021,International contributions,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007054,Defence military assistance fund international subscriptions and other payments,"£6,375.93",,,
Ministry of Defence,Ministry of Defence,27/08/2021,Medical treatment & stores and welfare services,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007056,Schools + community relations initiatives,"£6,307.00",,,
Ministry of Defence,Ministry of Defence,27/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,ULTRA ELECTRONICS LIMITED,UB6 8UA,576056,Equipment support project costs,"£5,080.12",,,
Ministry of Defence,Ministry of Defence,27/08/2021,"Transportation of personnel, freight and travel expenses",Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007056,Military short term detached duty,"£4,570.15",,,
Ministry of Defence,Ministry of Defence,27/08/2021,Spend on Inventory - General,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,575997,Spend on Inventory - General,"£3,860.03",,,
Ministry of Defence,Ministry of Defence,27/08/2021,Inventory Accruals,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,575997,Contract Expenditure on Capital Spares that are managed by DE+S Inventory Systems.,"£3,271.15",,,
Ministry of Defence,Ministry of Defence,27/08/2021,IT and communication services,Army Command,BOXXE LIMITED,YO31 7RE,576024,Computer equipment costing below the capitalisation threshold,"£2,588.37",,,
Ministry of Defence,Ministry of Defence,27/08/2021,Official entertainment and hospitality,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007056,Entertainment + hospitality,"£1,936.33",,,
Ministry of Defence,Ministry of Defence,27/08/2021,Spend on Inventory - General,DES Bespoke Trading Entity,BABCOCK INTEGRATED TECHNOLOGY  LIMITED,BS3 2HQ,576050,Spend on Inventory - General,"£1,658.16",,,
Ministry of Defence,Ministry of Defence,27/08/2021,Estate management,Army Command,H. J. ENTHOVEN LIMITED,WS10 8JR,576053,Estate + facilities management services - accommodation inventory + service,"£1,444.20",,,
Ministry of Defence,Ministry of Defence,27/08/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,H. J. ENTHOVEN LIMITED,WS10 8JR,576053,Estate management,"£1,365.24",,,
Ministry of Defence,Ministry of Defence,27/08/2021,International contributions,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007056,Defence military assistance fund international subscriptions and other payments,£557.51,,,
Ministry of Defence,Ministry of Defence,27/08/2021,Purchase of inventory and services ,Air Command,H. J. ENTHOVEN LIMITED,WS10 8JR,576053,Cost of other material consumed,£546.50,,,
Ministry of Defence,Ministry of Defence,27/08/2021,IT and communication services,Air Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,576009,Computer equipment costing below the capitalisation threshold,£500.64,,,
Ministry of Defence,Ministry of Defence,27/08/2021,"Transportation of personnel, freight and travel expenses",Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007056,Military air travel costs for short term detached duty,£377.27,,,
Ministry of Defence,Ministry of Defence,27/08/2021,IT and communication services,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007056,Line + telephone rental including commercial charge for use of radio frequencies,£361.71,,,
Ministry of Defence,Ministry of Defence,27/08/2021,IT and communication services,Air Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,576009,IT Services -internal costs,£312.00,,,
Ministry of Defence,Ministry of Defence,27/08/2021,IT and communication services,Head Office and Corporate Services,BOXXE LIMITED,YO31 7RE,576024,IT Services -internal costs,£282.06,,,
Ministry of Defence,Ministry of Defence,27/08/2021,IT and communication services,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007056,Computer equipment costing below the capitalisation threshold,£236.14,,,
Ministry of Defence,Ministry of Defence,27/08/2021,IT and communication services,Army Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,576009,Computer equipment costing below the capitalisation threshold,£228.00,,,
Ministry of Defence,Ministry of Defence,27/08/2021,Estate management,DES Bespoke Trading Entity,H. J. ENTHOVEN LIMITED,WS10 8JR,576053,Estate + facilities management services - accommodation inventory + service,£159.93,,,
Ministry of Defence,Ministry of Defence,27/08/2021,Medical treatment & stores and welfare services,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007056,Medical-non hospital treatment,£139.19,,,
Ministry of Defence,Ministry of Defence,27/08/2021,Design services and minor equipment purchases,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007056,Equipment support non-project costs,£121.83,,,
Ministry of Defence,Ministry of Defence,27/08/2021,"Transportation of personnel, freight and travel expenses",Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007056,Movement of service personnel,£107.42,,,
Ministry of Defence,Ministry of Defence,27/08/2021,IT and communication services,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007054,Line + telephone rental including commercial charge for use of radio frequencies,£103.65,,,
Ministry of Defence,Ministry of Defence,27/08/2021,IT and communication services,DES Bespoke Trading Entity,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007056,Line + telephone rental including commercial charge for use of radio frequencies,£69.83,,,
Ministry of Defence,Ministry of Defence,27/08/2021,Purchase of inventory and services ,Army Command,H. J. ENTHOVEN LIMITED,WS10 8JR,576053,Cost of other material consumed,£21.32,,,
Ministry of Defence,Ministry of Defence,27/08/2021,Medical treatment & stores and welfare services,Army Command,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007056,Medical health services,£19.23,,,
Ministry of Defence,Ministry of Defence,26/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,575669,Equipment support non-project costs,"£1,124,397.93",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,575716,Works services - excluding United States forces/NATO + married quarters,"£750,670.89",,,
Ministry of Defence,Ministry of Defence,26/08/2021,General services and support,Defence Equipment and Support,SAAB AB,,3208188,Defence equipment CLS/IOS service charge,"£547,090.00",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,575716,Fiscal asset under construction - capital in year addition,"£455,830.77",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Estate management,Head Office and Corporate Services,EMCOR GROUP (UK) PLC,SO53 3YE,575643,Works - estate management,"£441,945.58",,,
