Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,14/12/2022,Assets under Construction,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,663350,SUME AUC Capital Additions,"£88,241,215.59"
Ministry of Defence,Ministry of Defence,14/12/2022,Assets under Construction,Defence Equipment and Support,BOEING DEFENCE UK LTD,BS16 1EJ,2000021559,SUME AUC Capital Additions,"£32,971,214.26"
Ministry of Defence,Ministry of Defence,06/12/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,661721,Prop Dw SCA Serv Chrge+ Off BS,"£29,542,726.72"
Ministry of Defence,Ministry of Defence,21/12/2022,Assets under Construction,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000021626,SUME AUC Capital Additions,"£29,306,549.10"
Ministry of Defence,Ministry of Defence,20/12/2022,P+M General Services,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,664665,P+M General Services,"£16,187,029.02"
Ministry of Defence,Ministry of Defence,02/12/2022,Research+Development Expend,Defence Equipment and Support,BAE SYSTEMS (OPERATIONS) LIMITED,PR4 1AX,661243,Research+Development Expend,"£15,259,502.00"
Ministry of Defence,Ministry of Defence,13/12/2022,Research+Development Expend,Defence Equipment and Support,BAE SYSTEMS (OPERATIONS) LIMITED,PR4 1AX,663059,Research+Development Expend,"£13,136,729.97"
Ministry of Defence,Ministry of Defence,07/12/2022,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,17349,Monthly GPC Payment,"£11,689,209.74"
Ministry of Defence,Ministry of Defence,16 Dec 2022,Assets under Construction,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,664115,SUME AUC Capital Additions,"£11,593,963.41"
Ministry of Defence,Ministry of Defence,23/12/2022,Raw Materials + Consumables,Defence Equipment and Support,VITOL AVIATION UK LTD,SW1E 5LB,2000021658,RMC Oil Fuel & Lubricants,"£11,312,474.76"
Ministry of Defence,Ministry of Defence,13/12/2022,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,17362,Monthly GPC Payment,"£10,869,911.86"
Ministry of Defence,Ministry of Defence,20/12/2022,P+M General Services,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,664665,P+M General Services,"£10,341,318.05"
Ministry of Defence,Ministry of Defence,08/12/2022,P+M General Services,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000021518,P+M General Services,"£10,335,198.60"
Ministry of Defence,Ministry of Defence,22/12/2022,Intangibles SUME,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000021645,Intangible Cap Additions In Yr,"£9,947,900.22"
Ministry of Defence,Ministry of Defence,21/12/2022,P+M General Services,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000021626,P+M General Services,"£9,509,277.83"
Ministry of Defence,Ministry of Defence,12/12/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,CF10 2GE,662786,Prop NonDw SCA Srv Chrg+Off BS,"£9,068,859.74"
Ministry of Defence,Ministry of Defence,19/12/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,VIVO DEFENCE SERVICES LIMITED,NE12 8EX,664422,Estate+Facilities Mgmnt Servs,"£8,899,346.76"
