Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,30/01/2023,Assets under Construction,Defence Equipment and Support,TEAM XLVI LIMITED,,10534,SUME AUC Capital Additions,"£64,380,000.00"
Ministry of Defence,Ministry of Defence,17/01/2023,Raw Materials + Consumables,Defence Equipment and Support,MOTOR OIL (HELLAS) CORINTH REFINERIES S.A,,2000021744,RMC Oil Fuel & Lubricants,"£31,930,293.82"
Ministry of Defence,Ministry of Defence,26/01/2023,Assets under Construction,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,670273,SUME AUC Capital Additions,"£29,668,041.46"
Ministry of Defence,Ministry of Defence,04/01/2023,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,665890,Prop Dw SCA Serv Chrge+ Off BS,"£29,597,196.88"
Ministry of Defence,Ministry of Defence,25/01/2023,Intangibles SUME,Defence Equipment and Support,OCCAR-EA,,6000074365,Intangible Cap Additions In Yr,"£23,095,822.19"
Ministry of Defence,Ministry of Defence,19/01/2023,Assets under Construction,Defence Equipment and Support,OCCAR-EA,,6000074266,SUME AUC Capital Additions,"£19,593,984.72"
Ministry of Defence,Ministry of Defence,26/01/2023,P+M General Services,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,670165,P+M General Services,"£17,186,744.54"
Ministry of Defence,Ministry of Defence,18/01/2023,Assets under Construction,Defence Nuclear Organisation,SHEFFIELD FORGEMASTERS ENGINEERING LIMITED,S9 2RW,668671,Fiscal AUC Capital Additions,"£15,000,000.00"
Ministry of Defence,Ministry of Defence,26/01/2023,Assets under Construction,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000021823,SUME AUC Capital Additions,"£10,008,985.83"
Ministry of Defence,Ministry of Defence,26/01/2023,Research+Development Expend,Defence Equipment and Support,BAE SYSTEMS (OPERATIONS) LIMITED,PR4 1AX,670369,Research+Development Expend,"£9,816,811.00"
Ministry of Defence,Ministry of Defence,18/01/2023,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,CF10 2GE,668764,Prop NonDw SCA Srv Chrg+Off BS,"£9,017,747.17"
Ministry of Defence,Ministry of Defence,30/01/2023,P+M General Services,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,670690,P+M General Services,"£8,855,861.04"
Ministry of Defence,Ministry of Defence,17/01/2023,Intangibles SUME,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000021732,Intangible Cap Additions In Yr,"£8,273,677.52"
Ministry of Defence,Ministry of Defence,12/01/2023,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,17439,Monthly GPC Payment,"£7,406,369.06"
Ministry of Defence,Ministry of Defence,25/01/2023,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7UT,669976,Prop Dw SCA Serv Chrge+ Off BS,"£7,397,085.43"
Ministry of Defence,Ministry of Defence,25/01/2023,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,VIVO DEFENCE SERVICES LIMITED,NE12 8EX,670097,Estate+Facilities Mgmnt Servs,"£7,255,554.28"
Ministry of Defence,Ministry of Defence,25/01/2023,Assets under Construction,Defence Equipment and Support,OCCAR-EA,,3209932,SUME AUC Capital Additions,"£6,851,344.20"
Ministry of Defence,Ministry of Defence,18/01/2023,Telecomms + IT non capital,Defence Equipment and Support,BOEING DEFENCE UK LTD,BS16 1EJ,668780,IT+Comms Rental Payments,"£6,695,255.50"
Ministry of Defence,Ministry of Defence,17/01/2023,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,17455,Monthly GPC Payment,"£6,010,665.61"
Ministry of Defence,Ministry of Defence,09/01/2023,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,17434,Monthly GPC Payment,"£5,688,825.15"
Ministry of Defence,Ministry of Defence,09/01/2023,Defence Equip General Services,Defence Equipment and Support,BOEING DEFENCE UK LTD,BS16 1EJ,666997,Defence Eqpt Serv Chrge+Off BS,"£5,474,844.05"
Ministry of Defence,Ministry of Defence,26/01/2023,Defence Equip General Services,Defence Equipment and Support,BOEING DEFENCE UK LTD,BS16 1EJ,670328,Defence Eqpt Serv Chrge+Off BS,"£5,474,844.05"
Ministry of Defence,Ministry of Defence,06/01/2023,P+M General Services,Defence Equipment and Support,BOEING DEFENCE UK LTD,BS16 1EJ,666658,P+M General Services,"£5,400,559.83"
Ministry of Defence,Ministry of Defence,25/01/2023,Defence Equip General Services,Defence Equipment and Support,BAE SYSTEMS (OPERATIONS) LIMITED,PR4 1AX,669997,Defence Eqpt Serv Chrge+Off BS,"£5,137,189.00"
Ministry of Defence,Ministry of Defence,27/01/2023,Assets under Construction,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,6000074407,SUME AUC Capital Additions,"£4,971,732.54"
Ministry of Defence,Ministry of Defence,09/01/2023,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,17433,Monthly GPC Payment,"£4,427,024.64"
Ministry of Defence,Ministry of Defence,27/01/2023,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,ROBERTSON CONSTRUCTION GROUP LIMITED,IV30 6AE,670468,Fiscal AUC Capital Additions,"£4,382,339.56"
Ministry of Defence,Ministry of Defence,10/01/2023,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,SEVERN TRENT SERVICES DEFENCE LIMITED,CV3 9NT,667191,Prop NonDw SCA Srv Chrg+Off BS,"£4,360,805.91"
Ministry of Defence,Ministry of Defence,18/01/2023,Assets under Construction,Defence Equipment and Support,BOEING DEFENCE UK LTD,BS16 1EJ,668780,Fiscal AUC Capital Additions,"£4,172,685.16"
Ministry of Defence,Ministry of Defence,25/01/2023,Intangibles SUME,Defence Equipment and Support,OCCAR-EA,,3209932,Intangible Cap Additions In Yr,"£3,802,660.19"
Ministry of Defence,Ministry of Defence,20/01/2023,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,VIVO DEFENCE SERVICES LIMITED,NE12 8EX,669131,Estate+Facilities Mgmnt Servs,"£3,436,753.83"
Ministry of Defence,Ministry of Defence,06/01/2023,P+M General Services,Defence Equipment and Support,BOEING DEFENCE UK LTD,BS16 1EJ,2000021681,P+M General Services,"£3,176,299.42"
Ministry of Defence,Ministry of Defence,09/01/2023,Assets under Construction,Defence Equipment and Support,QIOPTIQ LTD,LL17 0LL,666902,SUME AUC Capital Additions,"£3,134,901.60"
