Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,03/02/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,461369,Property dwellings private finance initiative - service concession arrangement service charge,"£26,985,465.18"
Ministry of Defence,Ministry of Defence,05/02/2020,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,SW1X 7EN,462020,Utilities consumed - electricity,"£13,449,549.16"
Ministry of Defence,Ministry of Defence,06/02/2020,Government Procurement Card,Ministry of Defence,Royal Bank of Scotland,,13567,Monthly GPC,"£10,594,796.25"
Ministry of Defence,Ministry of Defence,13/02/2020,Government Procurement Card,Ministry of Defence,Royal Bank of Scotland,,13573,Monthly GPC,"£9,751,080.06"
Ministry of Defence,Ministry of Defence,20/02/2020,"Purchase of munitions, other inventory or fuel",Defence Equipment and Support,KUWAIT PETROLEUM INTERNATIONAL AVIATION COMPANY (UK) LTD,GU21 5BH,2000013746,Raw materials and consumable aviation fuel inventory purchased,"£9,471,071.29"
Ministry of Defence,Ministry of Defence,21/02/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES (HOUSING) LIMITED,WV3 0SR,466087,Estate management,"£8,741,291.14"
Ministry of Defence,Ministry of Defence,26/02/2020,Spend on Inventory - General,Defence Equipment and Support,BABCOCK DSG LTD,SP11 8HT,467020,Spend on Inventory - General,"£8,457,247.23"
Ministry of Defence,Ministry of Defence,14/02/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,CF10 2GE,464485,Property non dwellings private finance initiative - service concession arrangement service charge,"£8,140,570.06"
Ministry of Defence,Ministry of Defence,11/02/2020,IT and communication services,Joint Forces Command,FUJITSU SERVICES LIMITED,EC2A 1SL,463251,Information technology services,"£7,831,865.73"
Ministry of Defence,Ministry of Defence,17/02/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,464735,Property dwellings private finance initiative - service concession arrangement service charge,"£7,628,309.20"
Ministry of Defence,Ministry of Defence,07/02/2020,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,462704,Utilities consumed - gas,"£7,024,671.10"
Ministry of Defence,Ministry of Defence,20/02/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7UT,465670,Property dwellings private finance initiative - service concession arrangement service charge,"£6,903,244.57"
Ministry of Defence,Ministry of Defence,25/02/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,466517,Estate management,"£6,169,272.25"
Ministry of Defence,Ministry of Defence,07/02/2020,Estate management,Army Command,HOLDFAST TRAINING SERVICES LIMITED,W1U 1QX,462587,Estate + facilities management services - accommodation inventory + service,"£6,064,016.86"
Ministry of Defence,Ministry of Defence,24/02/2020,Design services and minor equipment purchases,Defence Equipment and Support,LEONARDO MW LTD,BA20 2YB,466255,Equipment support non-project costs,"£5,973,750.00"
Ministry of Defence,Ministry of Defence,25/02/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,466532,Estate core services charge,"£5,895,662.00"
Ministry of Defence,Ministry of Defence,10/02/2020,Design services and minor equipment purchases,Defence Equipment and Support,BABCOCK DSG LTD,SP11 8HT,463183,Equipment support non-project costs,"£5,819,087.29"
Ministry of Defence,Ministry of Defence,11/02/2020,Spend on Inventory - General,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,463357,Spend on Inventory - General,"£5,635,522.17"
Ministry of Defence,Ministry of Defence,14/02/2020,Government Procurement Card,Ministry of Defence,Royal Bank of Scotland,,13576,Monthly GPC,"£5,199,427.42"
Ministry of Defence,Ministry of Defence,04/02/2020,General services and support,Defence Equipment and Support,AQUILA AIR TRAFFIC MANAGEMENT SERVICES LIMITED,PO15 7FL,461651,Defence equipment CLS/IOS service charge,"£5,183,772.03"
Ministry of Defence,Ministry of Defence,19/02/2020,General services and support,Defence Equipment and Support,ROLLS-ROYCE PLC,BS34 7QE,6000053786,Defence equipment CLS/IOS service charge,"£5,071,283.19"
Ministry of Defence,Ministry of Defence,24/02/2020,General services and support,Defence Equipment and Support,ROLLS-ROYCE PLC,BS34 7QE,2000013767,Defence equipment CLS/IOS service charge,"£4,948,302.03"
Ministry of Defence,Ministry of Defence,27/02/2020,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,467397,Utilities consumed - gas,"£4,805,323.91"
Ministry of Defence,Ministry of Defence,18/02/2020,Fees for professional services,Army Command,CAPITA BUSINESS SERVICES LTD,DL1 9HN,465096,Fees for professional services excluding legal fees,"£4,695,093.09"
Ministry of Defence,Ministry of Defence,21/02/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ANCALA WATER SERVICES (ESTATES) LIMITED,S75 3JR,465967,Property non dwellings private finance initiative - service concession arrangement service charge,"£4,660,536.10"
Ministry of Defence,Ministry of Defence,13/02/2020,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,ANCALA WATER SERVICES (ESTATES) LIMITED,S75 3JR,464117,Utilities consumed - water + sewage,"£4,278,759.78"
Ministry of Defence,Ministry of Defence,12/02/2020,Fees for professional services,Head Office and Corporate Services,CSC COMPUTER SCIENCES LIMITED.,GU11 1PZ,463473,Fees for professional services excluding legal fees,"£4,191,227.08"
Ministry of Defence,Ministry of Defence,14/02/2020,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,JACOBS U.K. LIMITED,G2 7HX,464366,Fiscal asset under construction - capital in year addition,"£4,087,364.88"
Ministry of Defence,Ministry of Defence,04/02/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,461543,Works services - excluding United States forces/NATO + married quarters,"£3,915,262.88"
Ministry of Defence,Ministry of Defence,25/02/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,SEVERN TRENT SERVICES DEFENCE LIMITED,CV3 9NT,466553,Property non dwellings private finance initiative - service concession arrangement service charge,"£3,872,543.88"
