Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,17/01/2020,General services and support,Defence Equipment and Support,ROLLS-ROYCE PLC,BS34 7QE,6000053160,Defence equipment CLS/IOS service charge,"£35,103,000.84"
Ministry of Defence,Ministry of Defence,03/01/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,454618,Property dwellings private finance initiative - service concession arrangement service charge,"£27,049,686.83"
Ministry of Defence,Ministry of Defence,17/01/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,457810,Single use military equipment asset under construction - capital in year addition,"£18,840,349.24"
Ministry of Defence,Ministry of Defence,30/01/2020,Design services and minor equipment purchases,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,460860,Equipment support non-project costs,"£13,449,142.89"
Ministry of Defence,Ministry of Defence,21/01/2020,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,458329,Fiscal asset under construction - capital in year addition,"£10,721,704.96"
Ministry of Defence,Ministry of Defence,27/01/2020,Spend on Inventory - General,Defence Equipment and Support,BABCOCK DSG LTD,SP11 8HT,459815,Spend on Inventory - General,"£10,532,642.01"
Ministry of Defence,Ministry of Defence,21/01/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES (HOUSING) LIMITED,WV3 0SR,458255,Estate + facilities management services - accommodation inventory + service,"£8,741,291.14"
Ministry of Defence,Ministry of Defence,17/01/2020,Spend on Inventory - General,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,457873,Spend on Inventory - General,"£8,612,710.50"
Ministry of Defence,Ministry of Defence,14/01/2020,IT and communication services,Joint Forces Command,FUJITSU SERVICES LIMITED,EC2A 1SL,456743,Information technology services,"£8,319,523.11"
Ministry of Defence,Ministry of Defence,16/01/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,CF10 2GE,457228,Property non dwellings private finance initiative - service concession arrangement service charge,"£8,162,132.80"
Ministry of Defence,Ministry of Defence,24/01/2020,"Purchase of munitions, other inventory or fuel",Defence Equipment and Support,MOTOR OIL (HELLAS) CORINTH REFINERIES S.A,,2000013533,Raw materials and consumable aviation fuel inventory purchased,"£8,070,134.99"
Ministry of Defence,Ministry of Defence,23/01/2020,Design services and minor equipment purchases,Defence Equipment and Support,BABCOCK DSG LTD,SP11 8HT,458717,Equipment support non-project costs,"£7,642,710.06"
Ministry of Defence,Ministry of Defence,21/01/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7UT,458332,Property dwellings private finance initiative - service concession arrangement service charge,"£6,903,555.95"
Ministry of Defence,Ministry of Defence,28/01/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,460032,Works - estate management,"£6,622,120.89"
Ministry of Defence,Ministry of Defence,22/01/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,458540,Works services - excluding United States forces/NATO + married quarters,"£6,363,057.73"
Ministry of Defence,Ministry of Defence,08/01/2020,Government Procurement Card,Ministry of Defence,ROYAL BANK OF SCOTLAND PLC,,13506,Monthly GPC Payment,"6,134,024.80"
Ministry of Defence,Ministry of Defence,27/01/2020,Design services and minor equipment purchases,Defence Equipment and Support,BABCOCK DSG LTD,SP11 8HT,459815,Equipment support non-project costs,"£6,063,913.47"
Ministry of Defence,Ministry of Defence,22/01/2020,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,458540,Fiscal asset under construction - capital in year addition,"£6,050,880.37"
Ministry of Defence,Ministry of Defence,13/01/2020,Estate management,Army Command,HOLDFAST TRAINING SERVICES LIMITED,W1U 1QX,456498,Estate + facilities management services - accommodation inventory + service,"£6,008,971.53"
Ministry of Defence,Ministry of Defence,14/01/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,456840,Estate core services charge,"£5,784,987.84"
Ministry of Defence,Ministry of Defence,27/01/2020,Spend on Inventory - General,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,459671,Spend on Inventory - General,"£5,752,889.75"
Ministry of Defence,Ministry of Defence,10/01/2020,Government Procurement Card,Ministry of Defence,ROYAL BANK OF SCOTLAND PLC,,13520,Monthly GPC Payment,"5,627,376.75"
Ministry of Defence,Ministry of Defence,22/01/2020,General services and support,Defence Equipment and Support,ROLLS-ROYCE PLC,BS34 7QE,6000053238,Defence equipment CLS/IOS service charge,"£5,121,357.15"
Ministry of Defence,Ministry of Defence,16/01/2020,Fees for professional services,Army Command,CAPITA BUSINESS SERVICES LTD,DL1 9HN,457408,Fees for professional services excluding legal fees,"£4,685,480.67"
Ministry of Defence,Ministry of Defence,15/01/2020,"Purchase of munitions, other inventory or fuel",Defence Equipment and Support,KUWAIT PETROLEUM INTERNATIONAL AVIATION COMPANY (UK) LTD,GU21 5BH,2000013477,Raw materials and consumable aviation fuel inventory purchased,"£4,655,919.98"
Ministry of Defence,Ministry of Defence,20/01/2020,Government Procurement Card,Ministry of Defence,RBS PROCSERVE,,13526,Monthly GPC Payment,"4,124,038.03"
Ministry of Defence,Ministry of Defence,17/01/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES (HOUSING) LIMITED,WV3 0SR,457989,Works - estate management,"£4,009,873.76"
Ministry of Defence,Ministry of Defence,06/01/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,SEVERN TRENT SERVICES DEFENCE LIMITED,CV3 9NT,454723,Property non dwellings private finance initiative - service concession arrangement service charge,"£3,917,829.71"
Ministry of Defence,Ministry of Defence,21/01/2020,General services and support,Defence Equipment and Support,AQUILA AIR TRAFFIC MANAGEMENT SERVICES LIMITED,PO15 7FL,458177,Defence equipment CLS/IOS service charge,"£3,871,167.86"
Ministry of Defence,Ministry of Defence,30/01/2020,"Purchase of munitions, other inventory or fuel",Defence Equipment and Support,MOTOR OIL (HELLAS) CORINTH REFINERIES S.A,,2000013585,Raw materials and consumable marine fuel inventory purchased,"£3,725,344.84"
Ministry of Defence,Ministry of Defence,24/01/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,JANKEL ARMOURING LIMITED,KT13 8XR,458957,Fiscal asset under construction - capital in year addition,"£3,712,289.42"
Ministry of Defence,Ministry of Defence,21/01/2020,Design services and minor equipment purchases,Defence Equipment and Support,BABCOCK DSG LTD,SP11 8HT,458371,Equipment support non-project costs,"£3,695,631.50"
Ministry of Defence,Ministry of Defence,22/01/2020,Development costs for military equipment,Defence Equipment and Support,RAFAEL ADVANCED DEFENSE SYSTEMS LTD,,3206154,Intangible single use military equipment asset  - in year capital addition,"£3,600,000.00"
Ministry of Defence,Ministry of Defence,17/01/2020,IT and communication services,Joint Forces Command,BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,PR1 1BA,457777,Information technology services,"£3,531,812.39"
Ministry of Defence,Ministry of Defence,21/01/2020,Spend on Inventory - General,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,458315,Spend on Inventory - General,"£3,325,900.50"
Ministry of Defence,Ministry of Defence,28/01/2020,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,MORGAN SINDALL CONSTRUCTION & INFRASTRUCTURE LTD,CV21 2DW,460043,Fiscal asset under construction - capital in year addition,"£3,218,775.90"
Ministry of Defence,Ministry of Defence,02/01/2020,Design services and minor equipment purchases,Defence Equipment and Support,SAAB DYNAMICS AB,,3206101,Equipment support non-project costs,"£3,204,819.60"
Ministry of Defence,Ministry of Defence,03/01/2020,Rental of plant and machinery,Defence Equipment and Support,ALC (SPC) LIMITED,OX25 2LD,454617,Plant + machinery private finance initiative - service concession arrangements service charge,"£3,192,469.67"
Ministry of Defence,Ministry of Defence,17/01/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,6000053147,Single use military equipment asset under construction - capital in year addition,"£3,178,453.35"
Ministry of Defence,Ministry of Defence,30/01/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,SODEXO LTD,M50 0AL,460934,Works - estate management,"£3,024,986.13"
Ministry of Defence,Ministry of Defence,03/01/2020,General services and support,Defence Equipment and Support,LEONARDO MW LTD,BA20 2YB,454657,Defence equipment CLS/IOS service charge,"£2,979,738.00"
