Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,04/05/2021,Purchase of buildings and military equipment ,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,552002,Single use military equipment asset under construction - capital in year addition,"£55,831,612.93"
Ministry of Defence,Ministry of Defence,24/05/2021,Purchase of buildings and military equipment ,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,556785,Single use military equipment asset under construction - capital in year addition,"£29,469,739.94"
Ministry of Defence,Ministry of Defence,06/05/2021,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,552856,Property dwellings private finance initiative - service concession arrangement service charge,"£23,582,367.52"
Ministry of Defence,Ministry of Defence,05/05/2021,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,SW1X 7EN,552508,Utilities consumed - electricity,"£14,900,353.77"
Ministry of Defence,Ministry of Defence,27/05/2021,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,SW1X 7EN,557576,Utilities consumed - electricity,"£13,089,902.55"
Ministry of Defence,Ministry of Defence,10/05/2021,Design services and minor equipment purchases,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,553294,Equipment support non-project costs,"£9,749,470.30"
Ministry of Defence,Ministry of Defence,26/05/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES (HOUSING) LIMITED,WV3 0SR,557361,Works - estate management,"£9,407,615.48"
Ministry of Defence,Ministry of Defence,12/05/2021,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,CF10 2GE,554135,Property non dwellings private finance initiative - service concession arrangement service charge,"£8,893,390.83"
Ministry of Defence,Ministry of Defence,27/05/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,557541,Estate core services charge,"£8,415,917.19"
Ministry of Defence,Ministry of Defence,24/05/2021,Purchase of buildings and military equipment ,Defence Equipment and Support,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",,2000017394,Single use military equipment asset under construction - capital in year addition,"£7,996,648.36"
Ministry of Defence,Ministry of Defence,18/05/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES (HOUSING) LIMITED,WV3 0SR,555420,Works - estate management,"£7,351,242.73"
