Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,14/08/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,498992,Single use military equipment asset under construction - capital in year addition,"£40,195,113.09"
Ministry of Defence,Ministry of Defence,04/08/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,497081,Property dwellings private finance initiative - service concession arrangement service charge,"£27,405,016.07"
Ministry of Defence,Ministry of Defence,06/08/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,TEXTRON AVIATION INC,,2000015052,Fiscal asset under construction - capital in year addition,"£18,500,797.44"
Ministry of Defence,Ministry of Defence,21/08/2020,Development costs for military equipment,Defence Equipment and Support,ROSYTH ROYAL DOCKYARD LTD,KY11 2YD,500371,Intangible single use military equipment asset  - in year capital addition,"£12,871,183.17"
Ministry of Defence,Ministry of Defence,14/08/2020,Spend on Inventory - General,Defence Equipment and Support,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,498845,Spend on Inventory - General,"£12,247,513.64"
Ministry of Defence,Ministry of Defence,20/08/2020,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,SW1X 7EN,500235,Utilities consumed - electricity,"£12,218,325.99"
Ministry of Defence,Ministry of Defence,24/08/2020,Design services and minor equipment purchases,Defence Equipment and Support,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,500657,Equipment support non-project costs,"£8,988,031.00"
Ministry of Defence,Ministry of Defence,13/08/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,CF10 2GE,498663,Property non dwellings private finance initiative - service concession arrangement service charge,"£8,840,842.54"
Ministry of Defence,Ministry of Defence,17/08/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES (HOUSING) LIMITED,WV3 0SR,499391,Estate + facilities management services - accommodation inventory + service,"£8,741,291.14"
Ministry of Defence,Ministry of Defence,13/08/2020,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,VOLKERFITZPATRICK LIMITED,EN11 9BX,498588,Fiscal asset under construction - capital in year addition,"£7,387,120.50"
Ministry of Defence,Ministry of Defence,04/08/2020,Design services and minor equipment purchases,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,497147,Equipment support non-project costs,"£7,299,365.08"
Ministry of Defence,Ministry of Defence,21/08/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7UT,500576,Property dwellings private finance initiative - service concession arrangement service charge,"£7,162,377.37"
Ministry of Defence,Ministry of Defence,07/08/2020,Estate management,Army Command,HOLDFAST TRAINING SERVICES LIMITED,W1U 1QX,497923,Estate + facilities management services - accommodation inventory + service,"£6,611,349.37"
Ministry of Defence,Ministry of Defence,27/08/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,501603,Estate core services charge,"£6,438,492.52"
