Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,02/12/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,2000016042,Single use military equipment asset under construction - capital in year addition,"£129,149,889.84"
Ministry of Defence,Ministry of Defence,11/12/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,524001,Single use military equipment asset under construction - capital in year addition,"£39,700,507.72"
Ministry of Defence,Ministry of Defence,17/12/2020,Development costs for military equipment,Defence Equipment and Support,ROSYTH ROYAL DOCKYARD LTD,KY11 2YD,525464,Intangible single use military equipment asset  - in year capital addition,"£32,750,010.50"
Ministry of Defence,Ministry of Defence,02/12/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,521506,Property dwellings private finance initiative - service concession arrangement service charge,"£27,347,769.78"
Ministry of Defence,Ministry of Defence,11/12/2020,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,SW1X 7EN,523866,Utilities consumed - electricity,"£14,087,605.43"
Ministry of Defence,Ministry of Defence,02/12/2020,Design services and minor equipment purchases,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,521569,Equipment support non-project costs,"£13,429,133.99"
Ministry of Defence,Ministry of Defence,21/12/2020,Design services and minor equipment purchases,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,526388,Equipment support non-project costs,"£13,125,354.36"
Ministry of Defence,Ministry of Defence,24/12/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,527139,Single use military equipment asset under construction - capital in year addition,"£10,994,281.42"
Ministry of Defence,Ministry of Defence,15/12/2020,Purchase of buildings and military equipment ,Army Command,CAPITA BUSINESS SERVICES LTD,DL1 9HN,524737,Fiscal asset under construction - capital in year addition,"£10,000,000.00"
Ministry of Defence,Ministry of Defence,17/12/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES (HOUSING) LIMITED,WV3 0SR,525589,Estate + facilities management services - accommodation inventory + service,"£9,407,615.47"
Ministry of Defence,Ministry of Defence,21/12/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,OCCAR-EA,,3207317,Single use military equipment asset under construction - capital in year addition,"£9,224,152.83"
Ministry of Defence,Ministry of Defence,21/12/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,IBM UNITED KINGDOM LIMITED,SE1 9PZ,526396,Fiscal asset under construction - capital in year addition,"£9,164,788.11"
Ministry of Defence,Ministry of Defence,15/12/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,CF10 2GE,524814,Property non dwellings private finance initiative - service concession arrangement service charge,"£8,510,387.34"
Ministry of Defence,Ministry of Defence,02/12/2020,Development costs for military equipment,Defence Equipment and Support,LOCKHEED MARTIN UK LIMITED,PO9 1SA,521237,Intangible fiscal asset  - in year capital addition,"£7,834,089.60"
Ministry of Defence,Ministry of Defence,08/12/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,AQUILA AIR TRAFFIC MANAGEMENT SERVICES LIMITED,PO15 7FL,522903,Fiscal asset under construction - capital in year addition,"£7,787,921.20"
Ministry of Defence,Ministry of Defence,18/12/2020,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,526002,Utilities consumed - gas,"£7,271,165.61"
Ministry of Defence,Ministry of Defence,16/12/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7UT,524910,Property dwellings private finance initiative - service concession arrangement service charge,"£7,137,804.92"
Ministry of Defence,Ministry of Defence,10/12/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,AQUILA AIR TRAFFIC MANAGEMENT SERVICES LIMITED,PO15 7FL,523824,Fiscal asset under construction - capital in year addition,"£7,111,719.91"
Ministry of Defence,Ministry of Defence,15/12/2020,Fees for professional services,Army Command,CAPITA BUSINESS SERVICES LTD,DL1 9HN,524737,Fees for professional services excluding legal fees,"£6,845,926.79"
Ministry of Defence,Ministry of Defence,08/12/2020,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,VOLKERFITZPATRICK LIMITED,EN11 9BX,523035,Fiscal asset under construction - capital in year addition,"£6,768,500.28"
Ministry of Defence,Ministry of Defence,08/12/2020,Government Procurement Card,Ministry of Defence,Royal Bank of Scotland,,13992,Monthly GPC Payment,"£6,632,029.88"
Ministry of Defence,Ministry of Defence,10/12/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,523446,Estate core services charge,"£6,475,553.06"
Ministry of Defence,Ministry of Defence,21/12/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,526475,Estate core services charge,"£6,353,625.75"
Ministry of Defence,Ministry of Defence,15/12/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,524646,Estate + facilities management services - accommodation inventory + service,"£6,260,759.17"
Ministry of Defence,Ministry of Defence,07/12/2020,Estate management,Army Command,HOLDFAST TRAINING SERVICES LIMITED,ME4 4UG,522774,Estate + facilities management services - accommodation inventory + service,"£6,181,927.30"
Ministry of Defence,Ministry of Defence,15/12/2020,Government Procurement Card,Ministry of Defence,Royal Bank of Scotland,,14003,Monthly GPC Payment,"£6,018,759.42"
Ministry of Defence,Ministry of Defence,16/12/2020,General services and support,Defence Equipment and Support,AQUILA AIR TRAFFIC MANAGEMENT SERVICES LIMITED,PO15 7FL,525021,Defence equipment CLS/IOS service charge,"£5,861,720.67"
Ministry of Defence,Ministry of Defence,11/12/2020,Spend on Inventory - General,Defence Equipment and Support,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,524019,Spend on Inventory - General,"£5,821,802.44"
Ministry of Defence,Ministry of Defence,10/12/2020,General services and support,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,523656,Defence equipment CLS/IOS service charge,"£5,799,051.54"
Ministry of Defence,Ministry of Defence,04/12/2020,Design services and minor equipment purchases,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,PO3 5PQ,522324,Equipment support non-project costs,"£5,449,477.62"
Ministry of Defence,Ministry of Defence,22/12/2020,Design services and minor equipment purchases,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,526746,Equipment support non-project costs,"£5,324,768.91"
Ministry of Defence,Ministry of Defence,07/12/2020,Design services and minor equipment purchases,Defence Equipment and Support,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,522614,Equipment support non-project costs,"£5,064,756.03"
Ministry of Defence,Ministry of Defence,17/12/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,LEONARDO MW LTD,BA20 2YB,525586,Fiscal asset under construction - capital in year addition,"£4,987,500.00"
Ministry of Defence,Ministry of Defence,11/12/2020,"Purchase of munitions, other inventory or fuel",Defence Equipment and Support,BP OIL INTERNATIONAL LIMITED,E14 5NJ,2000016127,Raw materials and consumable aviation fuel inventory purchased,"£4,976,621.81"
Ministry of Defence,Ministry of Defence,02/12/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,LEONARDO MW LTD,BA20 2YB,521316,Fiscal asset under construction - capital in year addition,"£4,938,750.00"
Ministry of Defence,Ministry of Defence,22/12/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES (HOUSING) LIMITED,WV3 0SR,526823,Works - estate management,"£4,845,791.35"
Ministry of Defence,Ministry of Defence,04/12/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,LEONARDO MW LTD,BA20 2YB,522285,Fiscal asset under construction - capital in year addition,"£4,763,062.50"
Ministry of Defence,Ministry of Defence,18/12/2020,General services and support,Defence Equipment and Support,BAE SYSTEMS (OPERATIONS) LIMITED,PR4 1AX,525871,Defence equipment CLS/IOS service charge,"£4,439,763.00"
Ministry of Defence,Ministry of Defence,16/12/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,525171,Estate core services charge,"£4,417,853.28"
Ministry of Defence,Ministry of Defence,15/12/2020,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,524670,Fiscal asset under construction - capital in year addition,"£4,367,995.53"
Ministry of Defence,Ministry of Defence,11/12/2020,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,ANCALA WATER SERVICES (ESTATES) LIMITED,S75 3JR,523977,Utilities consumed - water + sewage,"£4,339,399.97"
Ministry of Defence,Ministry of Defence,18/12/2020,Design services and minor equipment purchases,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,PO3 5PQ,526123,Equipment support non-project costs,"£4,218,670.53"
Ministry of Defence,Ministry of Defence,23/12/2020,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,526916,Utilities consumed - gas,"£4,184,661.02"
Ministry of Defence,Ministry of Defence,21/12/2020,Design services and minor equipment purchases,Defence Equipment and Support,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,526421,Equipment support non-project costs,"£4,165,110.16"
Ministry of Defence,Ministry of Defence,16/12/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,ARAMARK DEFENCE SERVICES LIMITED,WV3 0SR,524897,Estate + facilities management services - accommodation inventory + service,"£4,164,421.07"
Ministry of Defence,Ministry of Defence,18/12/2020,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,SEVERN TRENT SERVICES DEFENCE LIMITED,CV3 9NT,525865,Utilities consumed - water + sewage,"£4,090,742.76"
Ministry of Defence,Ministry of Defence,15/12/2020,General services and support,Defence Equipment and Support,BAE SYSTEMS (OPERATIONS) LIMITED,PR4 1AX,524636,Defence equipment CLS/IOS service charge,"£3,845,536.77"
