Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,22/02/2021,Purchase of buildings and military equipment ,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,537389,Single use military equipment asset under construction - capital in year addition,"£33,294,810.59"
Ministry of Defence,Ministry of Defence,01/02/2021,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,532974,Property dwellings private finance initiative - service concession arrangement service charge,"£27,682,986.99"
Ministry of Defence,Ministry of Defence,25/02/2021,Development costs for military equipment,Defence Equipment and Support,ROSYTH ROYAL DOCKYARD LTD,KY11 2YD,538257,Intangible single use military equipment asset  - in year capital addition,"£21,308,958.80"
Ministry of Defence,Ministry of Defence,16/02/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES (HOUSING) LIMITED,WV3 0SR,535419,Works - estate management,"£14,147,297.52"
Ministry of Defence,Ministry of Defence,22/02/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,537294,Estate core services charge,"£11,792,385.88"
Ministry of Defence,Ministry of Defence,04/02/2021,Design services and minor equipment purchases,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,534011,Equipment support non-project costs,"£10,271,143.74"
Ministry of Defence,Ministry of Defence,18/02/2021,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,CF10 2GE,536364,Property non dwellings private finance initiative - service concession arrangement service charge,"£8,998,955.77"
Ministry of Defence,Ministry of Defence,16/02/2021,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7UT,535735,Property dwellings private finance initiative - service concession arrangement service charge,"£7,204,005.96"
Ministry of Defence,Ministry of Defence,09/02/2021,Government Procurement Card,Ministry of Defence,Royal Bank of Scotland,,14088,Monthly GPC Payment,"£6,806,512.79"
Ministry of Defence,Ministry of Defence,24/02/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,537741,Works - estate management,"£6,318,388.90"
Ministry of Defence,Ministry of Defence,17/02/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,536152,Works - estate management,"£6,227,750.53"
Ministry of Defence,Ministry of Defence,16/02/2021,Estate management,Army Command,HOLDFAST TRAINING SERVICES LIMITED,ME4 4UG,535521,Estate + facilities management services - accommodation inventory + service,"£6,181,927.30"
Ministry of Defence,Ministry of Defence,17/02/2021,General services and support,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,536095,Defence equipment CLS/IOS service charge,"£5,799,051.54"
Ministry of Defence,Ministry of Defence,03/02/2021,Design services and minor equipment purchases,Defence Equipment and Support,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,533790,Equipment support non-project costs,"£5,780,721.52"
Ministry of Defence,Ministry of Defence,17/02/2021,General services and support,Defence Equipment and Support,AQUILA AIR TRAFFIC MANAGEMENT SERVICES LIMITED,PO15 7FL,536220,Defence equipment CLS/IOS service charge,"£5,627,394.53"
Ministry of Defence,Ministry of Defence,05/02/2021,Spend on Inventory - General,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,534572,Spend on Inventory - General,"£5,072,397.58"
Ministry of Defence,Ministry of Defence,16/02/2021,Government Procurement Card,Ministry of Defence,Royal Bank of Scotland,,14091,Monthly GPC Payment,"£4,832,263.49"
Ministry of Defence,Ministry of Defence,23/02/2021,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,ANCALA WATER SERVICES (ESTATES) LIMITED,S75 3JR,537496,Utilities consumed - water + sewage,"£4,568,856.18"
Ministry of Defence,Ministry of Defence,22/02/2021,Government Procurement Card,Ministry of Defence,Royal Bank of Scotland,,14118,Monthly GPC Payment,"£4,471,096.64"
Ministry of Defence,Ministry of Defence,24/02/2021,Spend on Inventory - General,Defence Equipment and Support,PORTON BIOPHARMA LIMITED,SP4 0JG,537732,Spend on Inventory - General,"£4,250,000.16"
Ministry of Defence,Ministry of Defence,23/02/2021,"Purchase of munitions, other inventory or fuel",Defence Equipment and Support,MOTOR OIL (HELLAS) CORINTH REFINERIES S.A,,2000016695,Raw materials and consumable aviation fuel inventory purchased,"£4,111,399.09"
