Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,22/01/2021,Purchase of buildings and military equipment ,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,531497,Single use military equipment asset under construction - capital in year addition,"£42,764,000.00"
Ministry of Defence,Ministry of Defence,04/01/2021,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,527365,Property dwellings private finance initiative - service concession arrangement service charge,"£27,473,584.43"
Ministry of Defence,Ministry of Defence,28/01/2021,Development costs for military equipment,Defence Equipment and Support,ROSYTH ROYAL DOCKYARD LTD,KY11 2YD,532549,Intangible single use military equipment asset  - in year capital addition,"£18,591,709.02"
Ministry of Defence,Ministry of Defence,11/01/2021,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,SW1X 7EN,528740,Utilities consumed - electricity,"£13,915,325.72"
Ministry of Defence,Ministry of Defence,28/01/2021,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,SW1X 7EN,532599,Utilities consumed - electricity,"£12,219,316.37"
Ministry of Defence,Ministry of Defence,18/01/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES (HOUSING) LIMITED,WV3 0SR,530272,Estate + facilities management services - accommodation inventory + service,"£9,407,615.48"
Ministry of Defence,Ministry of Defence,14/01/2021,General services and support,Defence Equipment and Support,ROLLS-ROYCE PLC,BS34 7QE,529709,Defence equipment CLS/IOS service charge,"£8,763,476.10"
Ministry of Defence,Ministry of Defence,14/01/2021,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,CF10 2GE,529806,Property non dwellings private finance initiative - service concession arrangement service charge,"£8,731,136.86"
Ministry of Defence,Ministry of Defence,26/01/2021,Development costs for military equipment,Defence Equipment and Support,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",,2000016468,Intangible single use military equipment asset  - in year capital addition,"£8,360,524.56"
Ministry of Defence,Ministry of Defence,14/01/2021,General services and support,Defence Equipment and Support,ROLLS-ROYCE PLC,BS34 7QE,6000060051,Defence equipment CLS/IOS service charge,"£7,895,163.93"
Ministry of Defence,Ministry of Defence,14/01/2021,Purchase of buildings and military equipment ,Defence Equipment and Support,AQUILA AIR TRAFFIC MANAGEMENT SERVICES LIMITED,PO15 7FL,529651,Fiscal asset under construction - capital in year addition,"£7,531,127.62"
Ministry of Defence,Ministry of Defence,27/01/2021,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7UT,532456,Property dwellings private finance initiative - service concession arrangement service charge,"£7,202,834.74"
Ministry of Defence,Ministry of Defence,27/01/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,532351,Estate core services charge,"£6,353,625.75"
Ministry of Defence,Ministry of Defence,13/01/2021,General services and support,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,529465,Defence equipment CLS/IOS service charge,"£6,311,961.84"
Ministry of Defence,Ministry of Defence,27/01/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,532281,Estate + facilities management services - accommodation inventory + service,"£6,218,749.03"
Ministry of Defence,Ministry of Defence,08/01/2021,Estate management,Army Command,HOLDFAST TRAINING SERVICES LIMITED,ME4 4UG,528568,Estate + facilities management services - accommodation inventory + service,"£6,181,927.30"
Ministry of Defence,Ministry of Defence,19/01/2021,Spend on Inventory - General,Defence Equipment and Support,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,530509,Spend on Inventory - General,"£6,084,468.53"
Ministry of Defence,Ministry of Defence,22/01/2021,Development costs for military equipment,Defence Equipment and Support,LOCKHEED MARTIN UK LIMITED,PO9 1SA,531447,Intangible fiscal asset  - in year capital addition,"£5,818,089.60"
Ministry of Defence,Ministry of Defence,12/01/2021,General services and support,Defence Equipment and Support,AQUILA AIR TRAFFIC MANAGEMENT SERVICES LIMITED,PO15 7FL,529120,Defence equipment CLS/IOS service charge,"£5,384,554.93"
Ministry of Defence,Ministry of Defence,05/01/2021,"Purchase of munitions, other inventory or fuel",Defence Equipment and Support,KUWAIT PETROLEUM INTERNATIONAL AVIATION COMPANY (UK) LTD,GU21 5BH,2000016258,Raw materials and consumable aviation fuel inventory purchased,"£5,346,876.82"
Ministry of Defence,Ministry of Defence,28/01/2021,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,532765,Utilities consumed - gas,"£5,327,909.67"
Ministry of Defence,Ministry of Defence,28/01/2021,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,ANCALA WATER SERVICES (ESTATES) LIMITED,S75 3JR,532595,Utilities consumed - water + sewage,"£5,036,811.11"
Ministry of Defence,Ministry of Defence,20/01/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES (HOUSING) LIMITED,WV3 0SR,530736,Works - estate management,"£5,008,188.60"
Ministry of Defence,Ministry of Defence,06/01/2021,Design services and minor equipment purchases,Defence Equipment and Support,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,527855,Equipment support non-project costs,"£4,995,392.03"
