Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,18/06/2021,Purchase of buildings and military equipment ,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,561962,Single use military equipment asset under construction - capital in year addition,"£56,966,449.71"
Ministry of Defence,Ministry of Defence,04/06/2021,Purchase of buildings and military equipment ,Defence Equipment and Support,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",,2000017473,Single use military equipment asset under construction - capital in year addition,"£42,643,826.36"
Ministry of Defence,Ministry of Defence,03/06/2021,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,558525,Property dwellings private finance initiative - service concession arrangement service charge,"£28,508,470.65"
Ministry of Defence,Ministry of Defence,28/06/2021,Development costs for military equipment,Defence Equipment and Support,ROSYTH ROYAL DOCKYARD LTD,KY11 2YD,563497,Intangible single use military equipment asset  - in year capital addition,"£20,021,840.48"
Ministry of Defence,Ministry of Defence,01/06/2021,Development costs for military equipment,Defence Equipment and Support,ROSYTH ROYAL DOCKYARD LTD,KY11 2YD,557891,Intangible single use military equipment asset  - in year capital addition,"£15,731,446.09"
Ministry of Defence,Ministry of Defence,09/06/2021,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,SW1X 7EN,559894,Utilities consumed - electricity,"£12,818,687.64"
Ministry of Defence,Ministry of Defence,23/06/2021,Design services and minor equipment purchases,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,562680,Equipment support non-project costs,"£10,596,670.62"
Ministry of Defence,Ministry of Defence,16/06/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES (HOUSING) LIMITED,WV3 0SR,561301,Works - estate management,"£9,962,286.46"
Ministry of Defence,Ministry of Defence,28/06/2021,"Purchase of munitions, other inventory or fuel",Defence Equipment and Support,COMPANIA ESPANOLA DE PETROLEOS SA,,2000017640,Raw materials and consumable marine fuel inventory purchased,"£9,912,142.69"
Ministry of Defence,Ministry of Defence,11/06/2021,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,CF10 2GE,560511,Property non dwellings private finance initiative - service concession arrangement service charge,"£9,346,502.36"
Ministry of Defence,Ministry of Defence,24/06/2021,Design services and minor equipment purchases,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,PO3 5PQ,563003,Equipment support non-project costs,"£9,187,946.99"
Ministry of Defence,Ministry of Defence,02/06/2021,Design services and minor equipment purchases,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,558117,Equipment support non-project costs,"£8,861,028.85"
Ministry of Defence,Ministry of Defence,24/06/2021,Purchase of buildings and military equipment ,Defence Equipment and Support,LEONARDO UK LTD,LU1 3PG,562987,Single use military equipment asset under construction - capital in year addition,"£8,060,058.18"
Ministry of Defence,Ministry of Defence,29/06/2021,General services and support,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,2000017646,Defence equipment CLS/IOS service charge,"£7,216,043.31"
Ministry of Defence,Ministry of Defence,24/06/2021,"Purchase of major spares armaments, medical & general stores",Defence Equipment and Support,LOCKHEED MARTIN UK LIMITED,PO9 1SA,562937,Capital spares engineering and technical inventory fiscal capital in year addition,"£7,213,450.60"
Ministry of Defence,Ministry of Defence,22/06/2021,General services and support,Defence Equipment and Support,BAE SYSTEMS (OPERATIONS) LIMITED,PR4 1AX,562334,Defence equipment CLS/IOS service charge,"£7,050,897.00"
Ministry of Defence,Ministry of Defence,22/06/2021,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7UT,562363,Property dwellings private finance initiative - service concession arrangement service charge,"£6,998,409.14"
Ministry of Defence,Ministry of Defence,21/06/2021,Government Procurement Card,Ministry of Defence,Royal Bank of Scotland,,14326,Monthly GPC Payment,"£6,815,045.31"
Ministry of Defence,Ministry of Defence,29/06/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,563808,Estate core services charge,"£6,534,161.78"
