Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,19/03/2021,Purchase of buildings and military equipment ,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,543835,Single use military equipment asset under construction - capital in year addition,"£35,100,187.19"
Ministry of Defence,Ministry of Defence,18/03/2021,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,SW1X 7EN,543231,Utilities consumed - electricity,"£31,232,690.42"
Ministry of Defence,Ministry of Defence,03/03/2021,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,539666,Property dwellings private finance initiative - service concession arrangement service charge,"£27,537,472.38"
Ministry of Defence,Ministry of Defence,10/03/2021,Design services and minor equipment purchases,Defence Equipment and Support,BABCOCK INTEGRATED TECHNOLOGY  LIMITED,BS3 2HQ,541205,Purchase of medical support equipment excluding that supplied from the inventory system,"£18,000,000.00"
Ministry of Defence,Ministry of Defence,11/03/2021,Development costs for military equipment,Defence Equipment and Support,ROSYTH ROYAL DOCKYARD LTD,KY11 2YD,541664,Intangible single use military equipment asset  - in year capital addition,"£15,302,406.65"
Ministry of Defence,Ministry of Defence,29/03/2021,Design services and minor equipment purchases,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,546139,Equipment support non-project costs,"£12,601,369.45"
Ministry of Defence,Ministry of Defence,16/03/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES (HOUSING) LIMITED,WV3 0SR,542251,Estate + facilities management services - accommodation inventory + service,"£10,127,955.61"
Ministry of Defence,Ministry of Defence,25/03/2021,Design services and minor equipment purchases,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,PO3 5PQ,545079,Equipment support non-project costs,"£9,364,121.54"
Ministry of Defence,Ministry of Defence,04/03/2021,"Purchase of munitions, other inventory or fuel",Defence Equipment and Support,UNIOIL SUPPLY A/S,,2000016763,Raw materials and consumable marine fuel inventory purchased,"£8,910,842.57"
Ministry of Defence,Ministry of Defence,10/03/2021,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,CF10 2GE,541398,Property non dwellings private finance initiative - service concession arrangement service charge,"£8,585,170.81"
Ministry of Defence,Ministry of Defence,02/03/2021,Research and development,Defence Equipment and Support,QINETIQ LIMITED,GU14 0LX,538725,Reasearch+Development Frasc,"£8,321,024.00"
Ministry of Defence,Ministry of Defence,30/03/2021,Development costs for military equipment,Defence Equipment and Support,RHEINMETALL BAE SYSTEMS LAND LIMITED,NP15 1XL,546541,Intangible single use military equipment asset  - in year capital addition,"£7,867,438.80"
Ministry of Defence,Ministry of Defence,26/03/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,545712,Estate + facilities management services - accommodation inventory + service,"£7,679,632.85"
Ministry of Defence,Ministry of Defence,03/03/2021,Design services and minor equipment purchases,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,539815,Equipment support non-project costs,"£7,660,040.04"
Ministry of Defence,Ministry of Defence,15/03/2021,Government Procurement Card,Ministry of Defence,Royal Bank of Scotland,,14137,Monthly GPC Payment,"£7,659,049.11"
Ministry of Defence,Ministry of Defence,10/03/2021,Government Procurement Card,Ministry of Defence,Royal Bank of Scotland,,14132,Monthly GPC Payment,"£7,541,185.39"
Ministry of Defence,Ministry of Defence,23/03/2021,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7UT,544290,Property dwellings private finance initiative - service concession arrangement service charge,"£7,203,371.31"
