Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,12/11/2020,Medical treatment & stores and welfare services,Defence Equipment and Support,NATO SUPPORT AND PROCUREMENT AGENCY (NSPA),,6000058777,Medical treatment & stores and welfare services,"£66,767,740.86"
Ministry of Defence,Ministry of Defence,13/11/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,517522,Single use military equipment asset under construction - capital in year addition,"£47,834,455.91"
Ministry of Defence,Ministry of Defence,04/11/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,515041,Property dwellings private finance initiative - service concession arrangement service charge,"£24,645,715.84"
Ministry of Defence,Ministry of Defence,03/11/2020,General services and support,Defence Equipment and Support,AQUILA AIR TRAFFIC MANAGEMENT SERVICES LIMITED,PO15 7FL,514839,Defence equipment CLS/IOS service charge,"£21,372,475.50"
Ministry of Defence,Ministry of Defence,19/11/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES (HOUSING) LIMITED,WV3 0SR,518891,Works - estate management,"£13,562,832.13"
Ministry of Defence,Ministry of Defence,04/11/2020,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,VOLKERFITZPATRICK LIMITED,EN11 9BX,514994,Fiscal asset under construction - capital in year addition,"£12,575,625.79"
Ministry of Defence,Ministry of Defence,26/11/2020,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,SW1X 7EN,520348,Utilities consumed - electricity,"£12,545,704.50"
Ministry of Defence,Ministry of Defence,06/11/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,CF10 2GE,516033,Property non dwellings private finance initiative - service concession arrangement service charge,"£8,705,941.75"
Ministry of Defence,Ministry of Defence,18/11/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,6000058922,Single use military equipment asset under construction - capital in year addition,"£8,421,524.45"
Ministry of Defence,Ministry of Defence,13/11/2020,Government Procurement Card,Ministry of Defence,Royal Bank of Scotland,,13953,Monthly GPC Payment,"£7,153,547.45"
Ministry of Defence,Ministry of Defence,02/11/2020,Design services and minor equipment purchases,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,514433,Equipment support non-project costs,"£7,142,913.97"
Ministry of Defence,Ministry of Defence,24/11/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7UT,519881,Property dwellings private finance initiative - service concession arrangement service charge,"£7,126,246.70"
Ministry of Defence,Ministry of Defence,03/11/2020,Design services and minor equipment purchases,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,514800,Equipment support non-project costs,"£7,040,259.09"
Ministry of Defence,Ministry of Defence,11/11/2020,"Purchase of munitions, other inventory or fuel",Defence Equipment and Support,MOTOR OIL (HELLAS) CORINTH REFINERIES S.A,,2000015882,Raw materials and consumable marine fuel inventory purchased,"£6,859,646.68"
Ministry of Defence,Ministry of Defence,27/11/2020,Design services and minor equipment purchases,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,PO3 5PQ,520767,Equipment support non-project costs,"£6,745,466.80"
Ministry of Defence,Ministry of Defence,09/11/2020,Government Procurement Card,Ministry of Defence,Royal Bank of Scotland,,13943,Monthly GPC Payment,"£6,663,622.72"
Ministry of Defence,Ministry of Defence,25/11/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,520222,Works - estate management,"£6,334,522.62"
Ministry of Defence,Ministry of Defence,06/11/2020,Design services and minor equipment purchases,Defence Equipment and Support,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,515985,Equipment support non-project costs,"£6,321,910.16"
Ministry of Defence,Ministry of Defence,05/11/2020,Estate management,Army Command,HOLDFAST TRAINING SERVICES LIMITED,ME4 4UG,515597,Estate + facilities management services - accommodation inventory + service,"£6,187,627.30"
Ministry of Defence,Ministry of Defence,10/11/2020,General services and support,Defence Equipment and Support,AQUILA AIR TRAFFIC MANAGEMENT SERVICES LIMITED,PO15 7FL,516637,Defence equipment CLS/IOS service charge,"£6,081,347.22"
Ministry of Defence,Ministry of Defence,19/11/2020,Design services and minor equipment purchases,Defence Equipment and Support,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,518983,Equipment support non-project costs,"£6,074,030.23"
Ministry of Defence,Ministry of Defence,16/11/2020,General services and support,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,517765,Defence equipment CLS/IOS service charge,"£5,799,051.54"
Ministry of Defence,Ministry of Defence,17/11/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,ORGANISATION FOR JOINT ARMAMENTS CO-OPERATION EXECUTIVE ADMIN,,6000058828,Purchase of buildings and military equipment ,"£5,628,419.00"
Ministry of Defence,Ministry of Defence,11/11/2020,Spend on Inventory - General,Defence Equipment and Support,PORTON BIOPHARMA LIMITED,SP4 0JG,516773,Spend on Inventory - General,"£5,484,489.48"
Ministry of Defence,Ministry of Defence,17/11/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,TEXTRON AVIATION INC,,2000015928,Purchase of buildings and military equipment ,"£5,040,467.96"
Ministry of Defence,Ministry of Defence,26/11/2020,Design services and minor equipment purchases,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,PO3 5PQ,520247,Equipment support non-project costs,"£4,796,794.00"
Ministry of Defence,Ministry of Defence,18/11/2020,IT and communication services,Joint Forces Command,CAPGEMINI UK PLC,GU21 6DB,518512,Information technology services,"£4,658,823.65"
Ministry of Defence,Ministry of Defence,26/11/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,520259,Estate core services charge,"£4,489,179.22"
Ministry of Defence,Ministry of Defence,19/11/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ANCALA WATER SERVICES (ESTATES) LIMITED,S75 3JR,518882,Property non dwellings private finance initiative - service concession arrangement service charge,"£4,339,399.97"
Ministry of Defence,Ministry of Defence,25/11/2020,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,SEVERN TRENT SERVICES DEFENCE LIMITED,CV3 9NT,520213,Utilities consumed - water + sewage,"£4,090,742.76"
Ministry of Defence,Ministry of Defence,23/11/2020,Development costs for military equipment,Defence Equipment and Support,LOCKHEED MARTIN UK LIMITED,PO9 1SA,519440,Intangible fiscal asset  - in year capital addition,"£3,994,089.60"
Ministry of Defence,Ministry of Defence,26/11/2020,Research and development,Air Command,SHORT BROTHERS P.L.C.,BT3 9DZ,18631,Reasearch+Development Frasc,"£3,750,000.00"
Ministry of Defence,Ministry of Defence,10/11/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,516674,Works services - excluding United States forces/NATO + married quarters,"£3,678,669.99"
Ministry of Defence,Ministry of Defence,17/11/2020,Spend on Inventory - General,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,518050,Spend on Inventory - General,"£3,532,067.65"
Ministry of Defence,Ministry of Defence,03/11/2020,General services and support,Defence Equipment and Support,LEONARDO MW LTD,BA20 2YB,514752,Defence equipment CLS/IOS service charge,"£3,473,614.00"
Ministry of Defence,Ministry of Defence,09/11/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,A&P GROUP LIMITED,NE31 1SP,516306,Purchase of buildings and military equipment ,"£3,436,075.15"
Ministry of Defence,Ministry of Defence,19/11/2020,General services and support,Defence Equipment and Support,AQUILA AIR TRAFFIC MANAGEMENT SERVICES LIMITED,PO15 7FL,518862,Defence equipment CLS/IOS service charge,"£3,269,456.64"
Ministry of Defence,Ministry of Defence,02/11/2020,Rental of plant and machinery,Defence Equipment and Support,ALC (SPC) LIMITED,OX25 2LD,514566,Plant + machinery private finance initiative - service concession arrangements service charge,"£3,245,906.12"
Ministry of Defence,Ministry of Defence,09/11/2020,Government Procurement Card,Ministry of Defence,Royal Bank of Scotland,,13942,Monthly GPC Payment,"£3,155,216.14"
Ministry of Defence,Ministry of Defence,03/11/2020,Spend on Inventory - General,Defence Equipment and Support,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,514820,Spend on Inventory - General,"£3,149,464.22"
Ministry of Defence,Ministry of Defence,19/11/2020,Spend on Inventory - General,Defence Equipment and Support,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,518983,Spend on Inventory - General,"£3,136,944.62"
Ministry of Defence,Ministry of Defence,26/11/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,ORGANISATION FOR JOINT ARMAMENTS CO-OPERATION EXECUTIVE ADMIN,,6000059095,Purchase of buildings and military equipment ,"£3,104,416.50"
Ministry of Defence,Ministry of Defence,16/11/2020,General services and support,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,2000015919,Defence equipment CLS/IOS service charge,"£3,050,071.32"
Ministry of Defence,Ministry of Defence,10/11/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,516674,Works - estate management,"£2,920,795.26"
Ministry of Defence,Ministry of Defence,19/11/2020,General services and support,Defence Equipment and Support,BAE SYSTEMS (OPERATIONS) LIMITED,PR4 1AX,518757,Defence equipment CLS/IOS service charge,"£2,861,912.00"
Ministry of Defence,Ministry of Defence,16/11/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,ORGANISATION FOR JOINT ARMAMENTS CO-OPERATION EXECUTIVE ADMIN,,6000058812,Purchase of buildings and military equipment ,"£2,814,209.50"
Ministry of Defence,Ministry of Defence,12/11/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,PO1 9NW,517241,Purchase of buildings and military equipment ,"£2,791,004.89"
Ministry of Defence,Ministry of Defence,25/11/2020,Design services and minor equipment purchases,Defence Equipment and Support,BAE SYSTEMS (OPERATIONS) LIMITED,PR4 1AX,520195,Equipment support non-project costs,"£2,779,463.36"
Ministry of Defence,Ministry of Defence,16/11/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,INTERSERVE (DEFENCE) LTD,BS32 4NH,6000058814,Works - estate management,"£2,739,605.15"
Ministry of Defence,Ministry of Defence,25/11/2020,Design services and minor equipment purchases,Defence Equipment and Support,BAE SYSTEMS INFORMATION & ELECTRONIC SYSTEMS INTEGRATION INC,,2000016001,Design services and minor equipment purchases,"£2,677,135.53"
Ministry of Defence,Ministry of Defence,24/11/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES (HOUSING) LIMITED,WV3 0SR,519714,Works - estate management,"£2,677,004.21"
Ministry of Defence,Ministry of Defence,10/11/2020,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,516674,Fiscal asset under construction - capital in year addition,"£2,662,492.68"
Ministry of Defence,Ministry of Defence,11/11/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,516776,Property dwellings private finance initiative - service concession arrangement service charge,"£2,662,347.22"
Ministry of Defence,Ministry of Defence,11/11/2020,Property leases,Joint Forces Command,DEFENCE MANAGEMENT (WATCHFIELD) LIMITED,SN6 8TS,516860,Property non dwellings private finance initiative - service concession arrangement service charge,"£2,414,969.99"
Ministry of Defence,Ministry of Defence,23/11/2020,Design services and minor equipment purchases,Defence Equipment and Support,BAE SYSTEMS (OPERATIONS) LIMITED,PR4 1AX,519553,Equipment support non-project costs,"£2,354,255.00"
Ministry of Defence,Ministry of Defence,10/11/2020,Spend on Inventory - General,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,516568,Spend on Inventory - General,"£2,313,860.28"
Ministry of Defence,Ministry of Defence,12/11/2020,Design services and minor equipment purchases,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,PO3 5PQ,517272,Equipment support non-project costs,"£2,298,976.00"
Ministry of Defence,Ministry of Defence,16/11/2020,Transport hire charges,Army Command,BABCOCK LAND LIMITED,BH23 6BS,517786,Transport other operating lease,"£2,277,350.65"
Ministry of Defence,Ministry of Defence,19/11/2020,Externally delivered education and training,Navy Command,BABCOCK MARINE TRAINING LIMITED,BS23 6BS,518771,External military training ,"£2,254,645.94"
Ministry of Defence,Ministry of Defence,24/11/2020,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,Kier Graham Defence Limited,SG19 2BD,519841,Fiscal asset under construction - capital in year addition,"£2,205,380.40"
Ministry of Defence,Ministry of Defence,19/11/2020,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES (HOUSING) LIMITED,WV3 0SR,518891,Fiscal asset under construction - capital in year addition,"£2,126,046.89"
Ministry of Defence,Ministry of Defence,13/11/2020,Spend on Inventory - General,Defence Equipment and Support,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,517585,Spend on Inventory - General,"£2,080,387.18"
Ministry of Defence,Ministry of Defence,09/11/2020,Design services and minor equipment purchases,Defence Equipment and Support,THALES UK LIMITED,RH10 9HA,516311,Equipment support non-project costs,"£2,002,187.60"
Ministry of Defence,Ministry of Defence,16/11/2020,Design services and minor equipment purchases,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,517893,Equipment support non-project costs,"£2,001,553.45"
Ministry of Defence,Ministry of Defence,05/11/2020,Property leases,Army Command,DEFENCE TRAINING SERVICES LIMITED,BA2 3RH,515614,Property non dwellings private finance initiative - service concession arrangement service charge,"£1,987,545.35"
Ministry of Defence,Ministry of Defence,12/11/2020,Externally delivered education and training,Air Command,BABCOCK LAND LIMITED,BH23 9BS,517100,External military training ,"£1,952,379.58"
Ministry of Defence,Ministry of Defence,04/11/2020,Medical treatment & stores and welfare services,Head Office and Corporate Services,BFBS,SL9 8TN,515404,Welfare services including sports equipment and ministers of religion.,"£1,915,084.00"
Ministry of Defence,Ministry of Defence,20/11/2020,Fees for professional services,Joint Forces Command,SERCO LIMITED,RG27 9UY,519257,Fees for professional services excluding legal fees,"£1,914,336.96"
Ministry of Defence,Ministry of Defence,05/11/2020,Design services and minor equipment purchases,Defence Equipment and Support,AIRBUS HELICOPTERS UK LIMITED,OX5 1QZ,6000058687,Design services and minor equipment purchases,"£1,903,705.00"
Ministry of Defence,Ministry of Defence,03/11/2020,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,514915,Utilities consumed - gas,"£1,875,255.99"
Ministry of Defence,Ministry of Defence,24/11/2020,Design services and minor equipment purchases,Defence Equipment and Support,AQUILA AIR TRAFFIC MANAGEMENT SERVICES LIMITED,PO15 7FL,519896,Equipment support project costs,"£1,857,208.09"
Ministry of Defence,Ministry of Defence,25/11/2020,Design services and minor equipment purchases,Defence Equipment and Support,ORGANISATION FOR JOINT ARMAMENTS CO-OPERATION EXECUTIVE ADMIN,,6000059053,Design services and minor equipment purchases,"£1,842,749.20"
Ministry of Defence,Ministry of Defence,17/11/2020,Inventory Accruals,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,518050,Contract Expenditure on Capital Spares that are managed by DE+S Inventory Systems.,"£1,840,038.88"
Ministry of Defence,Ministry of Defence,18/11/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,SODEXO LTD,M50 0AL,518529,Works - estate management,"£1,819,469.53"
Ministry of Defence,Ministry of Defence,23/11/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,MAN TRUCK & BUS UK LTD,SN5 8YU,6000059013,Fiscal asset under construction - capital in year addition,"£1,817,840.93"
Ministry of Defence,Ministry of Defence,04/11/2020,Fees for professional services,Joint Forces Command,KPMG LLP,WD17 1DE,515362,"The provision of independent advice and guidance related to the structure, management and operations of an organisation","£1,805,030.40"
Ministry of Defence,Ministry of Defence,13/11/2020,Inventory Accruals,Defence Equipment and Support,MARLBOROUGH COMMUNICATIONS  LIMITED,RH6 9UU,517660,Contract Expenditure on Capital Spares that are managed by DE+S Inventory Systems.,"£1,758,696.00"
