Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,19/10/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,511897,Single use military equipment asset under construction - capital in year addition,"£53,142,766.30"
Ministry of Defence,Ministry of Defence,01/10/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,507799,Property dwellings private finance initiative - service concession arrangement service charge,"£27,471,577.80"
Ministry of Defence,Ministry of Defence,01/10/2020,Development costs for military equipment,Defence Equipment and Support,ROSYTH ROYAL DOCKYARD LTD,KY11 2YD,507910,Intangible single use military equipment asset  - in year capital addition,"£18,586,248.90"
Ministry of Defence,Ministry of Defence,26/10/2020,Development costs for military equipment,Defence Equipment and Support,ROSYTH ROYAL DOCKYARD LTD,KY11 2YD,513176,Intangible single use military equipment asset  - in year capital addition,"£18,305,682.73"
Ministry of Defence,Ministry of Defence,13/10/2020,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,VOLKERFITZPATRICK LIMITED,EN11 9BX,510709,Fiscal asset under construction - capital in year addition,"£10,231,281.08"
Ministry of Defence,Ministry of Defence,21/10/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES (HOUSING) LIMITED,WV3 0SR,512391,Estate + facilities management services - accommodation inventory + service,"£8,979,820.64"
Ministry of Defence,Ministry of Defence,12/10/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,CF10 2GE,510321,Property non dwellings private finance initiative - service concession arrangement service charge,"£8,741,646.43"
Ministry of Defence,Ministry of Defence,20/10/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7UT,512067,Property dwellings private finance initiative - service concession arrangement service charge,"£7,207,088.00"
Ministry of Defence,Ministry of Defence,28/10/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,513901,Estate core services charge,"£7,005,114.13"
Ministry of Defence,Ministry of Defence,09/10/2020,Government Procurement Card,Ministry of Defence,Royal Bank of Scotland,,13890,Monthly GPC Payment,"£6,449,267.96"
Ministry of Defence,Ministry of Defence,08/10/2020,Estate management,Army Command,HOLDFAST TRAINING SERVICES LIMITED,ME4 4UG,509833,Estate + facilities management services - accommodation inventory + service,"£6,181,927.30"
