Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,15/09/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,504695,Single use military equipment asset under construction - capital in year addition,"£34,038,226.22"
Ministry of Defence,Ministry of Defence,02/09/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,502096,Property dwellings private finance initiative - service concession arrangement service charge,"£27,636,553.62"
Ministry of Defence,Ministry of Defence,25/09/2020,Design services and minor equipment purchases,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,507189,Equipment support non-project costs,"£14,008,669.62"
Ministry of Defence,Ministry of Defence,25/09/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,2000015508,Single use military equipment asset under construction - capital in year addition,"£13,598,310.83"
Ministry of Defence,Ministry of Defence,03/09/2020,Research and development,Defence Equipment and Support,OCCAR-EA,,3206902,R+D Proj Ac Pre MG DES Frasc,"£12,933,000.00"
Ministry of Defence,Ministry of Defence,01/09/2020,Design services and minor equipment purchases,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,501900,Equipment support non-project costs,"£11,478,335.04"
Ministry of Defence,Ministry of Defence,24/09/2020,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,SW1X 7EN,506660,Utilities consumed - electricity,"£11,098,638.88"
Ministry of Defence,Ministry of Defence,04/09/2020,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,VOLKERFITZPATRICK LIMITED,EN11 9BX,502603,Fiscal asset under construction - capital in year addition,"£10,585,812.27"
Ministry of Defence,Ministry of Defence,10/09/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,CF10 2GE,503968,Property non dwellings private finance initiative - service concession arrangement service charge,"£8,768,539.07"
Ministry of Defence,Ministry of Defence,15/09/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES (HOUSING) LIMITED,WV3 0SR,504817,Estate core services charge,"£8,741,291.14"
Ministry of Defence,Ministry of Defence,21/09/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,505924,Fiscal asset under construction - capital in year addition,"£8,652,607.00"
Ministry of Defence,Ministry of Defence,22/09/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7UT,506240,Property dwellings private finance initiative - service concession arrangement service charge,"£7,292,379.04"
Ministry of Defence,Ministry of Defence,25/09/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,507221,Estate core services charge,"£6,842,202.73"
Ministry of Defence,Ministry of Defence,07/09/2020,Estate management,Army Command,HOLDFAST TRAINING SERVICES LIMITED,ME4 4UG,502872,Estate + facilities management services - accommodation inventory + service,"£6,181,927.30"
Ministry of Defence,Ministry of Defence,02/09/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,502257,Estate core services charge,"£6,161,039.17"
Ministry of Defence,Ministry of Defence,08/09/2020,General services and support,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,503302,Defence equipment CLS/IOS service charge,"£5,937,489.00"
Ministry of Defence,Ministry of Defence,23/09/2020,Design services and minor equipment purchases,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,PO3 5PQ,506589,Equipment support non-project costs,"£5,925,269.97"
Ministry of Defence,Ministry of Defence,14/09/2020,General services and support,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,504598,Defence equipment CLS/IOS service charge,"£5,799,051.54"
Ministry of Defence,Ministry of Defence,07/09/2020,Design services and minor equipment purchases,Defence Equipment and Support,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,503135,Equipment support non-project costs,"£5,722,977.34"
Ministry of Defence,Ministry of Defence,23/09/2020,"Purchase of munitions, other inventory or fuel",Defence Equipment and Support,BP Singapore Pte Limited,,2000015472,Raw materials and consumable marine fuel inventory purchased,"£5,526,106.20"
Ministry of Defence,Ministry of Defence,24/09/2020,Design services and minor equipment purchases,Defence Equipment and Support,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,506644,Equipment support non-project costs,"£5,356,215.44"
Ministry of Defence,Ministry of Defence,07/09/2020,"Purchase of munitions, other inventory or fuel",Defence Equipment and Support,MOTOR OIL (HELLAS) CORINTH REFINERIES S.A,,2000015329,Raw materials and consumable marine fuel inventory purchased,"£5,263,785.11"
Ministry of Defence,Ministry of Defence,10/09/2020,General services and support,Defence Equipment and Support,AQUILA AIR TRAFFIC MANAGEMENT SERVICES LIMITED,PO15 7FL,503735,Defence equipment CLS/IOS service charge,"£5,187,356.58"
Ministry of Defence,Ministry of Defence,23/09/2020,Government Procurement Card,Ministry of Defence,Royal Bank of Scotland,,13856,Monthly GPC Payment,"£5,008,721.88"
Ministry of Defence,Ministry of Defence,16/09/2020,Design services and minor equipment purchases,Defence Equipment and Support,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,505016,Equipment support non-project costs,"£4,927,870.73"
Ministry of Defence,Ministry of Defence,15/09/2020,Government Procurement Card,Ministry of Defence,Royal Bank of Scotland,,13840,Monthly GPC Payment,"£4,867,260.20"
Ministry of Defence,Ministry of Defence,21/09/2020,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,VOLKERSTEVIN LIMITED,PR2 5PE,505969,Fiscal asset under construction - capital in year addition,"£4,799,931.01"
Ministry of Defence,Ministry of Defence,16/09/2020,Design services and minor equipment purchases,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,504980,Equipment support non-project costs,"£4,650,000.00"
Ministry of Defence,Ministry of Defence,01/09/2020,Spend on Inventory - General,Defence Equipment and Support,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,501720,Spend on Inventory - General,"£4,473,159.86"
