Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,14/07/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,493127,Single use military equipment asset under construction - capital in year addition,"£65,391,041.67"
Ministry of Defence,Ministry of Defence,08/07/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",,2000014810,Single use military equipment asset under construction - capital in year addition,"£37,438,427.74"
Ministry of Defence,Ministry of Defence,02/07/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,490760,Property dwellings private finance initiative - service concession arrangement service charge,"£27,512,897.02"
Ministry of Defence,Ministry of Defence,28/07/2020,Design services and minor equipment purchases,Defence Equipment and Support,BABCOCK INTEGRATED TECHNOLOGY  LIMITED,BS3 2HQ,495926,Purchase of medical support equipment excluding that supplied from the inventory system,"£18,000,000.00"
Ministry of Defence,Ministry of Defence,23/07/2020,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,SW1X 7EN,495254,Utilities consumed - electricity,"£12,830,657.41"
Ministry of Defence,Ministry of Defence,27/07/2020,Development costs for military equipment,Defence Equipment and Support,ROSYTH ROYAL DOCKYARD LTD,KY11 2YD,495574,Intangible single use military equipment asset  - in year capital addition,"£12,728,170.02"
Ministry of Defence,Ministry of Defence,10/07/2020,Development costs for military equipment,Defence Equipment and Support,ROSYTH ROYAL DOCKYARD LTD,KY11 2YD,492659,Intangible single use military equipment asset  - in year capital addition,"£11,303,498.68"
Ministry of Defence,Ministry of Defence,09/07/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,CF10 2GE,492255,Property non dwellings private finance initiative - service concession arrangement service charge,"£8,730,996.31"
Ministry of Defence,Ministry of Defence,27/07/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,RAYTHEON SYSTEMS LIMITED,CM17 9NA,495804,Fiscal asset under construction - capital in year addition,"£7,542,541.10"
Ministry of Defence,Ministry of Defence,21/07/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7UT,494639,Property dwellings private finance initiative - service concession arrangement service charge,"£7,198,155.00"
Ministry of Defence,Ministry of Defence,20/07/2020,Spend on Inventory - General,Defence Equipment and Support,BABCOCK DSG LTD,SP11 8HT,494272,Spend on Inventory - General,"£7,176,853.51"
Ministry of Defence,Ministry of Defence,09/07/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,IBM UNITED KINGDOM LIMITED,SE1 9PZ,492427,Fiscal asset under construction - capital in year addition,"£6,895,917.08"
Ministry of Defence,Ministry of Defence,30/07/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,496345,Estate core services charge,"£6,363,769.57"
Ministry of Defence,Ministry of Defence,01/07/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,490369,Works - estate management,"£6,202,319.74"
Ministry of Defence,Ministry of Defence,09/07/2020,Government Procurement Card,Ministry of Defence,RBS PLC,,13776,Monthly GPC Payment,"6,199,029.58"
Ministry of Defence,Ministry of Defence,10/07/2020,Estate management,Army Command,HOLDFAST TRAINING SERVICES LIMITED,W1U 1QX,492574,Estate + facilities management services - accommodation inventory + service,"£6,181,927.30"
Ministry of Defence,Ministry of Defence,14/07/2020,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,VOLKERFITZPATRICK LIMITED,EN11 9BX,493146,Fiscal asset under construction - capital in year addition,"£6,007,195.06"
Ministry of Defence,Ministry of Defence,20/07/2020,General services and support,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,494386,Defence equipment CLS/IOS service charge,"£5,799,051.54"
Ministry of Defence,Ministry of Defence,07/07/2020,General services and support,Defence Equipment and Support,AQUILA AIR TRAFFIC MANAGEMENT SERVICES LIMITED,PO15 7FL,491696,Defence equipment CLS/IOS service charge,"£5,668,015.88"
Ministry of Defence,Ministry of Defence,17/07/2020,General services and support,Defence Equipment and Support,ROLLS-ROYCE PLC,BS34 7QE,6000056712,Defence equipment CLS/IOS service charge,"£5,384,437.43"
Ministry of Defence,Ministry of Defence,15/07/2020,Government Procurement Card,Ministry of Defence,RBS,,13785,Monthly GPC Payment,"5,336,644.51"
Ministry of Defence,Ministry of Defence,14/07/2020,Design services and minor equipment purchases,Defence Equipment and Support,BABCOCK DSG LTD,SP11 8HT,493234,Equipment support non-project costs,"£5,324,380.96"
Ministry of Defence,Ministry of Defence,29/07/2020,Design services and minor equipment purchases,Defence Equipment and Support,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,496068,Equipment support non-project costs,"£5,287,434.50"
Ministry of Defence,Ministry of Defence,16/07/2020,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,493713,Fiscal asset under construction - capital in year addition,"£5,081,752.34"
Ministry of Defence,Ministry of Defence,20/07/2020,"Purchase of munitions, other inventory or fuel",Defence Equipment and Support,COMPANIA ESPANOLA DE PETROLEOS SA,,2000014885,Raw materials and consumable marine fuel inventory purchased,"£5,050,366.32"
Ministry of Defence,Ministry of Defence,13/07/2020,Fees for professional services,Army Command,CAPITA BUSINESS SERVICES LTD,DL1 9HN,492951,Fees for professional services excluding legal fees,"£4,715,945.46"
Ministry of Defence,Ministry of Defence,22/07/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,HARRIS CORPORATION,,2000014908,Single use military equipment asset under construction - capital in year addition,"£4,672,146.41"
Ministry of Defence,Ministry of Defence,23/07/2020,General services and support,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,2000014927,Defence equipment CLS/IOS service charge,"£4,590,002.45"
Ministry of Defence,Ministry of Defence,29/07/2020,Spend on Inventory - General,Defence Equipment and Support,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,496068,Spend on Inventory - General,"£4,566,597.11"
Ministry of Defence,Ministry of Defence,22/07/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ANCALA WATER SERVICES (ESTATES) LIMITED,S75 3JR,494944,Property non dwellings private finance initiative - service concession arrangement service charge,"£4,375,523.94"
Ministry of Defence,Ministry of Defence,23/07/2020,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,495214,Estate core services charge,"£4,345,390.99"
Ministry of Defence,Ministry of Defence,10/07/2020,"Purchase of munitions, other inventory or fuel",Defence Equipment and Support,KUWAIT PETROLEUM INTERNATIONAL AVIATION COMPANY (UK) LTD,GU21 5BH,2000014832,Raw materials and consumable aviation fuel inventory purchased,"£3,933,844.93"
Ministry of Defence,Ministry of Defence,02/07/2020,Research and development,Defence Equipment and Support,FOREIGN & COMMONWEALTH OFFICE SERVICES,MK19 7BH,490691,Research and development excluding defence science and technology laboratory,"£3,784,861.93"
Ministry of Defence,Ministry of Defence,21/07/2020,Purchase of inventory and services ,Head Office and Corporate Services,Merrill Lynch International,EC1A 1HQ,2000014904,Cost of other material consumed,"£3,644,580.27"
Ministry of Defence,Ministry of Defence,20/07/2020,Design services and minor equipment purchases,Defence Equipment and Support,BABCOCK DSG LTD,SP11 8HT,494272,Equipment support non-project costs,"£3,602,455.69"
Ministry of Defence,Ministry of Defence,20/07/2020,Fees for professional services,Head Office and Corporate Services,CSC COMPUTER SCIENCES LIMITED.,GU11 1PZ,494397,Fees for professional services excluding legal fees,"£3,524,823.38"
Ministry of Defence,Ministry of Defence,02/07/2020,General services and support,Defence Equipment and Support,LEONARDO MW LTD,BA20 2YB,490829,Defence equipment CLS/IOS service charge,"£3,473,614.00"
Ministry of Defence,Ministry of Defence,09/06/2020,Design services and minor equipment purchases,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,2206893,Equipment support project costs,"£3,335,698.46"
Ministry of Defence,Ministry of Defence,02/07/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,LEVEL PEAKS ASSOCIATES LTD.,HR4 9SG,490692,Single use military equipment asset under construction - capital in year addition,"£3,319,684.93"
Ministry of Defence,Ministry of Defence,07/07/2020,Rental of plant and machinery,Defence Equipment and Support,ALC (SPC) LIMITED,OX25 2LD,491706,Plant + machinery private finance initiative - service concession arrangements service charge,"£3,245,906.12"
Ministry of Defence,Ministry of Defence,21/07/2020,Purchase of inventory and services ,Head Office and Corporate Services,GOLDMAN SACHS INTERNATIONAL,EC4A 2BB,2000014892,Cost of other material consumed,"£3,162,541.91"
Ministry of Defence,Ministry of Defence,21/07/2020,Design services and minor equipment purchases,Defence Equipment and Support,ORGANISATION FOR JOINT ARMAMENTS CO-OPERATION EXECUTIVE ADMIN,,6000056739,Equipment support non-project costs,"£3,145,326.66"
Ministry of Defence,Ministry of Defence,23/07/2020,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,495020,Utilities consumed - gas,"£3,122,109.31"
