Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,19/03/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,2000013968,Single use military equipment asset under construction - capital in year addition,"£38,604,076.59"
Ministry of Defence,Ministry of Defence,23/03/2020,Development costs for military equipment,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,473617,Intangible single use military equipment asset  - in year capital addition,"£32,606,997.37"
Ministry of Defence,Ministry of Defence,20/03/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,473334,Single use military equipment asset under construction - capital in year addition,"£32,408,607.47"
Ministry of Defence,Ministry of Defence,03/03/2020,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,468201,Property dwellings private finance initiative - service concession arrangement service charge,"£26,776,065.61"
Ministry of Defence,Ministry of Defence,24/03/2020,Purchase of buildings and military equipment ,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,474160,Fiscal asset under construction - capital in year addition,"£21,856,387.20"
Ministry of Defence,Ministry of Defence,19/03/2020,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,SW1X 7EN,472778,Utilities consumed - electricity,"£14,293,146.39"
Ministry of Defence,Ministry of Defence,05/03/2020,Design services and minor equipment purchases,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,468944,Equipment support non-project costs,"£13,816,190.99"
Ministry of Defence,Ministry of Defence,10/03/2020,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,SW1X 7EN,470267,Utilities consumed - electricity,"£11,928,625.29"
Ministry of Defence,Ministry of Defence,11/03/2020,Government Procurement Card,Ministry of Defence,ROYAL BANK OF SCOTLAND PLC,,13606,Monthly GPC Payment,"£10,327,186.55"
Ministry of Defence,Ministry of Defence,06/03/2020,Government Procurement Card,Ministry of Defence,ROYAL BANK OF SCOTLAND PLC,,13602,Monthly GPC Payment,"£10,234,594.73"
